Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
CEN11R-GM1816970-CEN-F-EGG5	targets	685969.0	1.0	1734170252.0	849876249.0	3730730833.0	0.409206	0.590794	0.671106	2528.059216	0.270685	0.120434	1256.049161	9170606.0	7.363455	7.396224	7.418071	7.445378	7.468317	7.599394	685969.0	3137454505.0	44636412.0	44636412.0	6406603329.0	33184844.0	33083434.0	6314777334.0	4690480781.0	771573406.0	1.0	0.743448	0.996944	1124.793403	1140.0	2867.0	0.0	0.000211	0.257222	0.0	0.063043	0.015694	0.148583	0.393315	1.208156	0.999264	0.999083	0.998819	0.998504	0.998328	0.998032	0.997781	0.997414	4.014284	0.603174	0.246194	1.0			
CEN21R-GM1903739-CEN-M-EGG5	targets	685969.0	1.0	980082488.0	469602530.0	2128584468.0	0.405136	0.594864	0.676066	1428.756238	0.27029	0.143875	1252.744578	8566031.0	7.302747	7.33695	7.365452	7.388254	7.415616	7.566109	685969.0	3137454505.0	25296864.0	25296864.0	3626034621.0	20520442.0	20475746.0	3578269486.0	2903958520.0	521696246.0	1.0	0.811185	0.997822	760.524522	777.0	1692.0	0.0	0.000519	0.188446	0.0	0.067934	0.016389	0.167312	0.414168	1.306743	0.99994	0.999758	0.99921	0.999036	0.998905	0.998794	0.998643	0.997697	5.938384	0.72172	0.854676	8.0			
CEN31R-GM1818496-CEN-F-EGG5	targets	685969.0	1.0	1591634500.0	771101537.0	3330934762.0	0.414976	0.585024	0.67364	2320.271762	0.275662	0.134655	1278.568317	10590262.0	7.090197	7.118587	7.137514	7.161172	7.175368	7.288929	685969.0	3137454505.0	40178684.0	40178684.0	5773857619.0	31322594.0	31229192.0	5693670799.0	4437141901.0	777476069.0	1.0	0.779582	0.997018	1133.398257	1134.0	2257.0	0.0	0.000346	0.220689	0.0	0.064114	0.01582	0.158416	0.404454	1.238687	0.999956	0.999773	0.999385	0.999127	0.999032	0.998962	0.998878	0.998398	5.371099	0.546462	0.264206	1.0			
CEN32-GM1903170-CEN-F-EGG5	targets	685969.0	1.0	1612746769.0	787060412.0	3463751480.0	0.409275	0.590725	0.672032	2351.049055	0.271518	0.128023	1257.991925	9840986.0	7.071113	7.100555	7.120183	7.144718	7.165328	7.283097	685969.0	3137454505.0	41365154.0	41365154.0	5939740384.0	31489624.0	31422006.0	5863558661.0	4461450696.0	760424287.0	1.0	0.76126	0.997853	1108.540309	1130.0	2690.0	0.0	0.000346	0.239122	0.0	0.060073	0.015089	0.158138	0.397937	1.202321	0.999831	0.99973	0.999331	0.999111	0.999019	0.998934	0.998859	0.99822	2.890372	0.673927	0.259697	1.0			
CEN33-GM1814397-CEN-M-EGG5	targets	685969.0	1.0	916515611.0	447948490.0	2009509907.0	0.404409	0.595591	0.671704	1336.088965	0.267946	0.137785	1242.427574	7042546.0	7.45442	7.503554	7.536309	7.569065	7.60182	7.798353	685969.0	3137454505.0	23790386.0	23790386.0	3420525880.0	18896362.0	18848873.0	3373974008.0	2679280885.0	471296468.0	1.0	0.794286	0.997487	687.052138	705.0	1335.0	0.0	0.0005	0.205898	0.0	0.06729	0.016411	0.160643	0.410115	1.306183	0.99978	0.999688	0.999385	0.999119	0.999013	0.99888	0.998719	0.99771	5.798286	0.65454	0.942254	12.0			
CEN34-GM2102271-CEN-M-EGG5	targets	685969.0	1.0	1147969384.0	565837962.0	2478038211.0	0.408843	0.591157	0.669836	1673.500383	0.270274	0.130553	1252.558388	7253716.0	7.324357	7.355437	7.396877	7.427957	7.463181	7.62894	685969.0	3137454505.0	29502316.0	29502316.0	4247422048.0	22368011.0	22321356.0	4191845557.0	3176693758.0	554514311.0	1.0	0.758178	0.997914	808.366429	836.0	1555.0	0.0	0.000403	0.242173	0.0	0.062137	0.015194	0.150579	0.397676	1.273018	0.999921	0.999761	0.999344	0.999131	0.99901	0.998889	0.998812	0.998064	4.696477	0.789118	0.801965	7.0			
CEN35-GM1911749-CEN-F-EGG5	targets	685969.0	1.0	1086168825.0	531800886.0	2297788819.0	0.413194	0.586806	0.671316	1583.408033	0.273715	0.139583	1268.686674	8295235.0	6.841525	6.870113	6.889172	6.92729	6.950161	7.087386	685969.0	3137454505.0	27623436.0	27623436.0	3968254454.0	21942779.0	21892435.0	3915758530.0	3109579415.0	553899767.0	1.0	0.794354	0.997706	807.470552	819.0	2152.0	0.0	0.000615	0.205881	0.0	0.061244	0.01678	0.164648	0.410039	1.214241	0.999883	0.999751	0.999173	0.999051	0.998945	0.998822	0.998646	0.997727	2.915657	0.592193	0.851166	8.0			
CEN36-GM1907941-CEN-M-EGG5	targets	685969.0	1.0	1158386084.0	560781428.0	2463188751.0	0.411052	0.588948	0.673806	1688.685763	0.27329	0.13485	1266.791832	7881227.0	7.37388	7.415341	7.436072	7.477534	7.502412	7.668259	685969.0	3137454505.0	29480944.0	29480944.0	4238673599.0	23028778.0	22979064.0	4182356263.0	3266126489.0	571584163.0	1.0	0.781141	0.997841	833.25072	854.0	2095.0	0.0	0.00121	0.21907	0.0	0.062419	0.015876	0.158243	0.407771	1.285881	0.988314	0.988292	0.987887	0.987584	0.987469	0.987389	0.987244	0.986494	6.331079	0.732928	0.725133	6.0			
CEN37-GM1908436-CEN-F-EGG5	targets	685969.0	1.0	2127255474.0	1049139700.0	4511134650.0	0.413188	0.586812	0.669707	3101.095638	0.27305	0.122362	1265.627153	11258001.0	7.193455	7.213176	7.226324	7.252619	7.268396	7.378837	685969.0	3137454505.0	54160064.0	54160064.0	7790719270.0	39831706.0	39739059.0	7687529824.0	5650513126.0	953290946.0	1.0	0.735444	0.997674	1389.699747	1410.0	3511.0	0.0	0.000384	0.264977	0.0	0.059106	0.014781	0.147405	0.389768	1.209486	0.999889	0.999786	0.999515	0.999284	0.999182	0.999073	0.999028	0.998654	3.563414	0.610489	0.087606	0.0			
CEN38-GM2000636-CEN-M-EGG5	targets	685969.0	1.0	2501289555.0	1230787170.0	5683538888.0	0.396371	0.603629	0.670214	3646.359464	0.261957	0.10806	1215.033344	11181721.0	8.345552	8.371363	8.405778	8.422986	8.443635	8.567529	685969.0	3137454505.0	66380424.0	66380424.0	9548468908.0	48494603.0	48351336.0	9415615613.0	6865579923.0	1031803325.0	1.0	0.730556	0.997046	1504.154452	1559.0	3706.0	0.0	0.000192	0.27083	0.0	0.065023	0.0152	0.144211	0.395194	1.251376	0.999812	0.999792	0.999453	0.999344	0.999254	0.999083	0.99899	0.998606	4.983379	0.665745	0.109848	1.0			
