Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-CEN-F-EGG5	targets	685969.0	1.0	1716044375.0	763492566.0	2114906365.0	0.539682	0.460318	0.692083	2501.63546	0.368961	0.181395	1708.3174	12366012.0	5.592341	5.603233	5.625017	5.635909	5.659871	5.738294	685969.0	3137454505.0	32958736.0	32958736.0	4651014021.0	25058357.0	25014800.0	4594443306.0	3499947623.0	843672563.0	1.0	0.760295	0.998262	1229.898965	1203.0	2770.0	0.0	0.000423	0.238222	0.0	0.052188	0.013575	0.173323	0.339111	1.344152	0.999793	0.999776	0.99965	0.999227	0.999087	0.998934	0.998848	0.998217	9.441719	0.35685	0.256142	1.0			
X219109-GM2114308-CEN-F-EGG5	targets	685969.0	1.0	1427668006.0	657526707.0	1984746787.0	0.51234	0.48766	0.684669	2081.242747	0.346227	0.171158	1604.397614	10630435.0	5.556474	5.576089	5.589165	5.605511	5.623164	5.709468	685969.0	3137454505.0	28709532.0	28709532.0	4123508141.0	22544383.0	22501820.0	4069941500.0	3191672546.0	705771759.0	1.0	0.785258	0.998112	1028.8683	1044.0	2682.0	0.0	0.000423	0.215794	0.0	0.046985	0.015349	0.180405	0.368111	1.224843	0.999743	0.999628	0.999372	0.999175	0.999007	0.998886	0.998767	0.998223	4.653784	0.532747	0.377599	2.0			
X219111-GM2114039-CEN-F-EGG5	targets	685969.0	1.0	1731979214.0	812640489.0	2454802537.0	0.508983	0.491017	0.680644	2524.865138	0.342076	0.165905	1584.512994	11715464.0	5.825413	5.849724	5.861879	5.874035	5.900776	5.978571	685969.0	3137454505.0	35149498.0	35149498.0	5063142923.0	26988502.0	26937209.0	4999422240.0	3832414407.0	840002811.0	1.0	0.76782	0.998099	1224.54923	1209.0	4132.0	0.0	0.000269	0.233429	0.0	0.054185	0.014519	0.16488	0.365019	1.274245	0.999962	0.999777	0.999496	0.999194	0.999022	0.998891	0.998818	0.998309	7.506612	0.53014	0.21477	1.0			
X219117-GM2110579-CEN-M-EGG5	targets	685969.0	1.0	1718372481.0	819637091.0	2466005958.0	0.507195	0.492805	0.677055	2505.029354	0.338903	0.166616	1570.621751	11872174.0	5.852319	5.876459	5.888529	5.900599	5.922325	6.009229	685969.0	3137454505.0	35090232.0	35090232.0	5070400982.0	26888982.0	26834196.0	5004015530.0	3829629178.0	844809876.0	1.0	0.766281	0.997963	1231.55693	1275.0	3205.0	0.0	0.000384	0.234689	0.0	0.050849	0.015794	0.161896	0.367999	1.288239	0.999787	0.999691	0.999195	0.999087	0.998809	0.998689	0.998582	0.998119	5.891633	0.682353	0.211219	1.0			
X219587-GM2119128-CEN-F-EGG5	targets	685969.0	1.0	2048930006.0	981995844.0	2901747843.0	0.510887	0.489113	0.676008	2986.913412	0.340546	0.162462	1579.60903	12845377.0	5.725233	5.739682	5.75413	5.768579	5.777248	5.8466	685969.0	3137454505.0	41473650.0	41473650.0	6016605880.0	31088140.0	31007140.0	5932673693.0	4438983169.0	977472627.0	1.0	0.749588	0.997395	1424.951604	1446.0	3845.0	0.0	0.000307	0.251774	0.0	0.050877	0.015758	0.155229	0.361652	1.256571	0.999803	0.999786	0.99937	0.999283	0.999172	0.999063	0.998997	0.998719	5.917196	0.44156	0.100206	0.0			
X219592-GM2119011-CEN-M-EGG5	targets	685969.0	1.0	1902865249.0	903259329.0	2709633542.0	0.508747	0.491253	0.678111	2773.981403	0.340533	0.166625	1577.886532	12631411.0	6.114995	6.128439	6.146365	6.168773	6.17684	6.262885	685969.0	3137454505.0	38446056.0	38446056.0	5587907662.0	29459769.0	29398398.0	5515758120.0	4219923736.0	931087782.0	1.0	0.766262	0.997917	1357.332156	1382.0	4927.0	0.0	0.00025	0.234933	0.0	0.050908	0.014447	0.15869	0.372269	1.345225	0.999808	0.999786	0.999408	0.999278	0.999092	0.999019	0.998978	0.9987	8.09466	0.625809	0.182523	1.0			
X219593-GM2118969-CEN-M-EGG5	targets	685969.0	1.0	1919935992.0	892620006.0	2694438801.0	0.510724	0.489276	0.68263	2798.866993	0.344002	0.165564	1594.575295	12374698.0	6.238312	6.251734	6.26963	6.291999	6.305421	6.402057	685969.0	3137454505.0	38513014.0	38513014.0	5581174810.0	29251947.0	29180476.0	5506994799.0	4175949691.0	924039138.0	1.0	0.759534	0.997557	1347.056701	1360.0	3852.0	0.0	0.000327	0.241701	0.0	0.0532	0.014325	0.160679	0.362352	1.375952	0.999896	0.999792	0.999407	0.999308	0.999206	0.99907	0.998997	0.99867	9.004419	0.585213	0.198217	1.0			
X219594-GM2118970-CEN-F-EGG5	targets	685969.0	1.0	2047248263.0	1009696827.0	2947677363.0	0.509099	0.490901	0.669704	2984.46178	0.336669	0.167854	1559.4008	13962049.0	5.726945	5.741533	5.751258	5.770708	5.776544	5.846565	685969.0	3137454505.0	41619314.0	41619314.0	6080890990.0	31998552.0	31939041.0	6004622453.0	4609217512.0	1020701150.0	1.0	0.768839	0.99814	1487.969792	1492.0	3984.0	0.0	0.000288	0.232388	0.0	0.052814	0.01501	0.15162	0.378232	1.26528	0.999805	0.999792	0.99937	0.999239	0.999045	0.998923	0.998867	0.998503	6.603706	0.522905	0.08211	0.0			
X219637-GM2119104-CEN-F-EGG5	targets	685969.0	1.0	1963612162.0	941083545.0	2687424134.0	0.519427	0.480573	0.676013	2862.537756	0.34685	0.166694	1606.024591	12550496.0	5.52186	5.535398	5.55345	5.569245	5.578722	5.654539	685969.0	3137454505.0	39173634.0	39173634.0	5661268374.0	29330862.0	29276236.0	5592119841.0	4182074194.0	943696825.0	1.0	0.74874	0.998138	1375.713516	1391.0	2705.0	0.0	0.000211	0.252149	0.0	0.047255	0.013509	0.157419	0.360964	1.243864	0.999923	0.999794	0.999379	0.999292	0.999208	0.999051	0.998974	0.998617	5.563813	0.531746	0.112747	1.0			
X219641-GM2119109-CEN-M-EGG5	targets	685969.0	1.0	1699373398.0	779536304.0	2228806707.0	0.526563	0.473437	0.685533	2477.332646	0.356704	0.170445	1651.016713	11014244.0	5.743206	5.765906	5.78104	5.799957	5.815847	5.906649	685969.0	3137454505.0	33308668.0	33308668.0	4764104805.0	24942680.0	24901608.0	4707716409.0	3527621628.0	812016889.0	1.0	0.748835	0.998353	1183.751582	1208.0	4134.0	0.0	0.000327	0.250672	0.0	0.051561	0.013717	0.165303	0.346308	1.318209	0.999889	0.99956	0.999369	0.999315	0.999175	0.998998	0.998825	0.998268	7.094683	0.670524	0.255521	1.0			
