Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-CEN-F-EGG5	targets	685969.0	1.0	2103867097.0	992616949.0	2652367133.0	0.538627	0.461373	0.679437	3067.000254	0.359672	0.166874	1673.825511	12173213.0	6.794025	6.822557	6.836824	6.865356	6.888182	7.002312	685969.0	3137454505.0	41268414.0	41268414.0	5849408737.0	30263282.0	30166374.0	5748851179.0	4222250368.0	976113721.0	1.0	0.733328	0.996798	1422.970602	1360.0	3386.0	0.0	0.000307	0.265549	0.0	0.053844	0.018142	0.141964	0.350747	1.565424	0.999803	0.99979	0.999691	0.999482	0.999318	0.999192	0.999114	0.998899	14.009751	0.303283	0.245478	1.0			
X219223-GM2115372-CEN-F-EGG5	targets	685969.0	1.0	1548298034.0	730258912.0	1951146099.0	0.538704	0.461296	0.679508	2257.096216	0.35896	0.17923	1674.239684	11296662.0	5.369158	5.389468	5.409779	5.419934	5.434151	5.515393	685969.0	3137454505.0	30102822.0	30102822.0	4313291715.0	23280335.0	23181590.0	4229703045.0	3271775709.0	773069945.0	1.0	0.773361	0.995758	1126.975046	1123.0	3223.0	0.0	0.000346	0.226476	0.0	0.052676	0.021339	0.159871	0.356911	1.266264	0.9998	0.999749	0.999423	0.999201	0.999099	0.998968	0.99887	0.998411	6.392075	0.477101	0.283609	1.0			
X219231-GM2115421-CEN-M-EGG5	targets	685969.0	1.0	2564396695.0	1239418109.0	3292494024.0	0.536027	0.463973	0.674164	3738.356537	0.355278	0.161125	1652.820338	13904626.0	5.74907	5.757953	5.772758	5.784601	5.798814	5.869876	685969.0	3137454505.0	50267706.0	50267706.0	7218000374.0	36378812.0	36257713.0	7096308828.0	5137544796.0	1163000752.0	1.0	0.723701	0.996671	1695.412988	1745.0	3733.0	0.0	0.000307	0.276026	0.0	0.045993	0.018177	0.1413	0.354656	1.297179	0.999904	0.999774	0.999464	0.99931	0.99922	0.999165	0.999099	0.998888	6.421058	0.630654	0.08606	0.0			
X219232-GM2115419-CEN-M-EGG5	targets	685969.0	1.0	1767951892.0	853822969.0	2355863334.0	0.526711	0.473289	0.674334	2577.305814	0.349421	0.160449	1624.501304	9879753.0	5.77099	5.795676	5.816248	5.832705	5.852454	5.951199	685969.0	3137454505.0	35295060.0	35295060.0	5059661947.0	25582089.0	25500939.0	4977638195.0	3611480555.0	811817153.0	1.0	0.724807	0.996828	1183.460409	1217.0	4004.0	0.0	0.000384	0.274459	0.0	0.050948	0.017358	0.141296	0.352885	1.293399	0.999866	0.999812	0.999437	0.999275	0.999067	0.998608	0.998424	0.998052	6.180728	0.681757	0.240372	1.0			
X219264-GM2115450-CEN-F-EGG5	targets	685969.0	1.0	1923066353.0	926044043.0	2604955649.0	0.522383	0.477617	0.674971	2803.430407	0.346313	0.155494	1612.67489	10096143.0	6.944275	6.97158	6.994334	7.026189	7.045302	7.198208	685969.0	3137454505.0	38672042.0	38672042.0	5552977321.0	27615766.0	27514908.0	5454066045.0	3897653805.0	863454713.0	1.0	0.714102	0.996348	1258.737221	1254.0	3812.0	0.0	0.000307	0.285367	0.0	0.051545	0.017704	0.135628	0.351479	1.53131	0.999767	0.999684	0.999452	0.999293	0.99921	0.999143	0.999064	0.998519	13.133956	0.183557	0.304674	2.0			
X219292-GM2115754-CEN-F-EGG5	targets	685969.0	1.0	1918698682.0	936001391.0	2473199214.0	0.535802	0.464198	0.672119	2797.063252	0.354474	0.160424	1647.114224	10299932.0	5.428328	5.448145	5.463558	5.481173	5.497027	5.59215	685969.0	3137454505.0	37695614.0	37695614.0	5412798956.0	26859247.0	26782672.0	5327899287.0	3800646320.0	868340208.0	1.0	0.71253	0.997149	1265.859256	1278.0	2617.0	0.0	0.000288	0.286652	0.0	0.052752	0.016538	0.136891	0.344224	1.237399	0.999805	0.999774	0.999388	0.999222	0.999137	0.999057	0.999006	0.99878	5.295241	0.516734	0.158055	1.0			
X219293-GM2116148-CEN-M-EGG5	targets	685969.0	1.0	1741460950.0	806983472.0	2205840395.0	0.536031	0.463969	0.683343	2538.687535	0.360127	0.167787	1675.334346	10084364.0	6.938385	6.973821	6.98957	7.021069	7.058867	7.20061	685969.0	3137454505.0	33671716.0	33671716.0	4835684189.0	24957834.0	24876426.0	4754284817.0	3523350970.0	811365598.0	1.0	0.741211	0.996738	1182.802135	1082.0	4242.0	0.0	0.000403	0.25891	0.0	0.06097	0.018461	0.142801	0.348235	1.591928	0.999796	0.999771	0.999688	0.999472	0.999179	0.999127	0.99901	0.998768	15.197554	0.731132	0.414073	2.0			
X219294-GM2116118-CEN-F-EGG5	targets	685969.0	1.0	1677912323.0	795389140.0	2111148762.0	0.539498	0.460502	0.67841	2446.046867	0.360376	0.169288	1673.998055	10028466.0	5.63267	5.644023	5.666728	5.689433	5.703056	5.802959	685969.0	3137454505.0	32495174.0	32495174.0	4656001054.0	24196060.0	24134909.0	4584450225.0	3414983229.0	788204534.0	1.0	0.744605	0.997473	1149.038126	1134.0	2369.0	0.0	0.000346	0.255094	0.0	0.053135	0.017721	0.147804	0.354355	1.295421	0.999792	0.999606	0.999271	0.999047	0.998975	0.998905	0.998775	0.998414	7.761477	0.441333	0.289517	1.0			
X219296-GM2116122-CEN-F-EGG5	targets	685969.0	1.0	1961615644.0	948786006.0	2611250842.0	0.527089	0.472911	0.674002	2859.627248	0.349483	0.141993	1624.866905	8435112.0	5.953475	5.96803	5.997139	6.018971	6.037893	6.165974	685969.0	3137454505.0	39110838.0	39110838.0	5612905077.0	26914034.0	26823284.0	5521652492.0	3798089936.0	796995390.0	1.0	0.688148	0.996628	1161.853364	1166.0	2988.0	0.0	0.000346	0.312146	0.0	0.052281	0.016463	0.131188	0.34362	1.243954	0.9998	0.999773	0.999461	0.99937	0.999194	0.999099	0.999013	0.998723	6.028656	0.480726	0.241138	1.0			
X219300-GM2116124-CEN-M-EGG5	targets	685969.0	1.0	1468668424.0	699884097.0	1987565086.0	0.521774	0.478226	0.677257	2141.012821	0.347909	0.168037	1616.251261	9350048.0	5.982376	6.00276	6.019747	6.053721	6.065951	6.188257	685969.0	3137454505.0	29578838.0	29578838.0	4221420526.0	22261971.0	22204463.0	4156117607.0	3131407894.0	709353054.0	1.0	0.752632	0.997417	1034.089083	1045.0	2048.0	0.0	0.000384	0.246555	0.0	0.05952	0.017642	0.146761	0.358884	1.349986	0.999797	0.999774	0.999434	0.99929	0.999184	0.999105	0.998968	0.998538	8.073134	0.599333	0.403272	2.0			
