Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-2-CEN-F-EGG5	targets	685969.0	1.0	2255757209.0	1118572364.0	2938243693.0	0.534541	0.465459	0.668505	3288.424417	0.352691	0.170415	1634.401942	13681825.0	5.786008	5.801382	5.816756	5.832129	5.847503	5.921298	685969.0	3137454505.0	44412288.0	44412288.0	6395838800.0	32631675.0	32550263.0	6312573266.0	4635371559.0	1089946758.0	1.0	0.734744	0.997505	1588.915473	1534.0	3732.0	0.0	0.000307	0.265692	0.0	0.050154	0.01587	0.134606	0.361054	1.358047	0.999803	0.999797	0.999567	0.999353	0.999235	0.999178	0.999095	0.998907	9.856309	0.469637	0.090343	0.0			
X219301-GM2104791-2-CEN-M-EGG5	targets	685969.0	1.0	1792312228.0	877188160.0	2560429018.0	0.510428	0.489572	0.671404	2612.818113	0.338256	0.174927	1567.439505	13453468.0	6.074764	6.087348	6.104127	6.112516	6.127617	6.208156	685969.0	3137454505.0	37024658.0	37024658.0	5298693330.0	28890252.0	28816102.0	5229929406.0	4078102622.0	926884887.0	1.0	0.780298	0.997433	1351.20521	1345.0	4119.0	0.0	0.000288	0.220238	0.0	0.055903	0.016177	0.149085	0.381413	1.375973	0.999676	0.999596	0.999217	0.999055	0.998902	0.998834	0.998768	0.99842	9.260494	0.709998	0.195864	1.0			
X219302-GM2116270-2-CEN-F-EGG5	targets	685969.0	1.0	1935205178.0	975392643.0	2637061713.0	0.524653	0.475347	0.664882	2821.126287	0.343903	0.166069	1595.475592	11961567.0	5.742039	5.755748	5.774027	5.796876	5.810586	5.887357	685969.0	3137454505.0	39020348.0	39020348.0	5627185383.0	29284437.0	29186325.0	5547659534.0	4157659629.0	934500851.0	1.0	0.750491	0.99665	1362.3077	1345.0	3094.0	0.0	0.000231	0.250556	0.0	0.049271	0.017408	0.138234	0.376124	1.287625	0.999888	0.999792	0.999624	0.999359	0.99929	0.999181	0.999082	0.998844	7.635824	0.494166	0.137589	1.0			
X219303-GM2116276-2-CEN-F-EGG5	targets	685969.0	1.0	1342628074.0	681582021.0	1855596225.0	0.52173	0.47827	0.663285	1957.27223	0.341426	0.183172	1582.77297	11168270.0	5.586324	5.604835	5.623346	5.641857	5.652964	5.734413	685969.0	3137454505.0	27232626.0	27232626.0	3932411595.0	21689028.0	21633616.0	3879806320.0	3087616152.0	720308311.0	1.0	0.796435	0.997445	1050.059567	1032.0	2955.0	0.0	0.000423	0.204183	0.0	0.052406	0.01864	0.146063	0.393094	1.299579	0.999794	0.99977	0.999379	0.999255	0.999079	0.999012	0.998966	0.998528	7.741138	0.537955	0.412213	2.0			
X219318-GM2111236-2-CEN-F-EGG5	targets	685969.0	1.0	2324869583.0	1128630525.0	3254868764.0	0.514805	0.485195	0.673192	3389.175871	0.341963	0.16471	1585.092488	14858295.0	5.763427	5.779962	5.790985	5.796497	5.819646	5.885785	685969.0	3137454505.0	47708350.0	47708350.0	6798604370.0	36165311.0	36065643.0	6708368872.0	5077240282.0	1119798600.0	1.0	0.75805	0.997244	1632.433244	1624.0	3458.0	0.0	0.000307	0.243148	0.0	0.056739	0.015392	0.148742	0.369097	1.268402	0.999803	0.99979	0.999458	0.999378	0.999308	0.999239	0.999185	0.998901	6.894169	0.461848	0.047898	0.0			
X219320-GM2116115-2-CEN-M-EGG5	targets	685969.0	1.0	1679082665.0	846809460.0	2460748138.0	0.506532	0.493468	0.664748	2447.752982	0.332238	0.171731	1540.057677	12494269.0	5.954574	5.966621	5.982683	6.00276	6.014806	6.10154	685969.0	3137454505.0	35113420.0	35113420.0	5053853331.0	27392771.0	27323501.0	4986640263.0	3885740798.0	867902647.0	1.0	0.780123	0.997471	1265.221383	1287.0	2317.0	0.0	0.000384	0.22077	0.0	0.063268	0.017548	0.140668	0.383741	1.326228	0.999797	0.999781	0.999452	0.999306	0.999213	0.999127	0.999036	0.998768	7.55978	0.635857	0.211974	1.0			
X219321-GM2116228-2-CEN-F-EGG5	targets	685969.0	1.0	1927537872.0	970830906.0	2585109670.0	0.528564	0.471436	0.665042	2809.948951	0.346966	0.167794	1607.754472	11834020.0	5.603696	5.617132	5.635047	5.650722	5.670877	5.74612	685969.0	3137454505.0	38434268.0	38434268.0	5555414816.0	28539574.0	28470337.0	5483478448.0	4067959850.0	932164973.0	1.0	0.742555	0.997574	1358.902477	1347.0	2857.0	0.0	0.000288	0.258142	0.0	0.049506	0.016224	0.136731	0.369442	1.280775	0.999978	0.999879	0.999414	0.999239	0.999168	0.999077	0.999036	0.998853	7.294257	0.541802	0.136678	1.0			
X219322-GM2116437-2-CEN-F-EGG5	targets	685969.0	1.0	2058386149.0	1018165488.0	2875923420.0	0.516853	0.483147	0.669056	3000.698499	0.341476	0.178712	1581.62024	16287282.0	5.60631	5.62057	5.630077	5.641961	5.649091	5.706133	685969.0	3137454505.0	41923638.0	41923638.0	6027915834.0	33081379.0	33008310.0	5952475057.0	4694883179.0	1077262377.0	1.0	0.789087	0.997791	1570.424286	1551.0	3379.0	0.0	0.00025	0.211272	0.0	0.059895	0.018002	0.149748	0.380149	1.284075	0.999972	0.999776	0.999414	0.999257	0.999166	0.999115	0.998981	0.998582	7.277601	0.559706	0.063309	0.0			
X219331-GM2116207-2-CEN-F-EGG5	targets	685969.0	1.0	2357346690.0	1144105468.0	3072445898.0	0.53263	0.46737	0.673248	3436.520732	0.35364	0.165417	1640.111751	13892273.0	5.593435	5.601546	5.615065	5.625879	5.638857	5.710235	685969.0	3137454505.0	46781696.0	46781696.0	6665942917.0	34439722.0	34331830.0	6573898056.0	4834434888.0	1102660047.0	1.0	0.736179	0.996867	1607.448802	1592.0	4548.0	0.0	0.000327	0.264601	0.0	0.047196	0.016561	0.144025	0.359925	1.271716	0.999853	0.999797	0.999423	0.999309	0.999195	0.999085	0.999025	0.998618	7.181307	0.506334	0.052346	0.0			
X219335-GM2116174-2-CEN-F-EGG5	targets	685969.0	1.0	1460905959.0	724224473.0	1960559242.0	0.527085	0.472915	0.668567	2129.696763	0.347608	0.190632	1611.752743	13615757.0	5.567962	5.577807	5.594216	5.607343	5.623095	5.69398	685969.0	3137454505.0	29317760.0	29317760.0	4202734385.0	23972512.0	23908511.0	4145689674.0	3386433370.0	801175767.0	1.0	0.817679	0.99733	1167.947483	1147.0	2705.0	0.0	0.00048	0.183144	0.0	0.051205	0.01907	0.157006	0.396365	1.313777	0.999828	0.999706	0.99944	0.999258	0.99916	0.999082	0.999023	0.998719	8.132255	0.488923	0.283849	1.0			
