Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	1951930406.0	1022524089.0	2434739018.0	0.549889	0.450111	0.656231	2845.508188	0.355882	0.169109	1650.459068	10959114.0	5.330394	5.343538	5.365447	5.376401	5.393489	5.477617	685969.0	3137454505.0	38028178.0	38028178.0	5484769541.0	26895699.0	26827853.0	5409193513.0	3819504238.0	927523979.0	1.0	0.707257	0.997477	1352.136874	1342.0	2957.0	0.0	0.000423	0.293887	0.0	0.047167	0.015124	0.117354	0.355029	1.290207	0.999917	0.999776	0.999541	0.999385	0.999248	0.999114	0.999083	0.998905	7.413678	0.47123	0.145221	1.0			
X219694-GM2113474-1-CEN-F-EGG5	targets	685969.0	1.0	1392877601.0	736475464.0	1841616071.0	0.53623	0.46377	0.654132	2030.525579	0.346122	0.177859	1604.314062	9649832.0	5.266617	5.276141	5.298366	5.31424	5.331384	5.422821	685969.0	3137454505.0	27646390.0	27646390.0	4024241319.0	20895246.0	20850811.0	3970969136.0	2997141391.0	715746750.0	1.0	0.755804	0.997873	1043.40976	1049.0	2440.0	0.0	0.000538	0.245237	0.0	0.049566	0.017112	0.130037	0.37784	1.252593	0.999786	0.999755	0.999343	0.999176	0.999079	0.998988	0.998918	0.998385	5.435968	0.671488	0.384344	2.0			
X219695-GM2120203-1-CEN-F-EGG5	targets	685969.0	1.0	1849921364.0	985583182.0	2461148181.0	0.535339	0.464661	0.652413	2696.80024	0.344681	0.165079	1597.440591	10662322.0	5.393852	5.406883	5.424258	5.432946	5.448583	5.531983	685969.0	3137454505.0	36948010.0	36948010.0	5367052816.0	26770695.0	26711467.0	5296652727.0	3829814572.0	885988735.0	1.0	0.72455	0.997788	1291.587134	1298.0	3430.0	0.0	0.000327	0.276937	0.0	0.048063	0.015651	0.12195	0.370161	1.243106	0.999636	0.999614	0.999404	0.999318	0.999217	0.999168	0.999117	0.998873	5.603275	0.54385	0.148762	1.0			
X219746-GM2118410-1-CEN-M-EGG5	targets	685969.0	1.0	1430919233.0	748032909.0	1939906061.0	0.529018	0.470982	0.656701	2085.982359	0.342898	0.176931	1588.953644	9981150.0	5.523026	5.5427	5.559095	5.582048	5.60369	5.698127	685969.0	3137454505.0	28766668.0	28766668.0	4173015274.0	21689848.0	21643628.0	4118858203.0	3102273228.0	738334223.0	1.0	0.753992	0.997869	1076.337594	1102.0	2551.0	0.0	0.000365	0.246812	0.0	0.054171	0.015744	0.128439	0.375613	1.311008	0.999716	0.999568	0.99921	0.999112	0.99898	0.998904	0.998813	0.998382	6.792684	0.71813	0.343335	2.0			
X219756-GM2120750-1-CEN-M-EGG5	targets	685969.0	1.0	1929946264.0	988158102.0	2422692608.0	0.54638	0.45362	0.66137	2813.459885	0.356282	0.158911	1652.76876	9603037.0	5.734609	5.754717	5.774825	5.801637	5.817723	5.924968	685969.0	3137454505.0	37433948.0	37433948.0	5416899875.0	26144021.0	26062281.0	5340796974.0	3720970283.0	860804533.0	1.0	0.698404	0.996873	1254.873811	1276.0	3453.0	0.0	0.000288	0.303293	0.0	0.041255	0.014933	0.121611	0.357769	1.322312	0.999978	0.999915	0.9995	0.99931	0.999109	0.999074	0.999033	0.998835	7.887538	0.653189	0.218341	1.0			
X219757-GM2120273-1-CEN-M-EGG5	targets	685969.0	1.0	1771624840.0	941143312.0	2406665704.0	0.529896	0.470104	0.653069	2582.660208	0.341046	0.168746	1582.788084	10910641.0	5.556264	5.568595	5.585036	5.605587	5.62285	5.701768	685969.0	3137454505.0	35741552.0	35741552.0	5194681792.0	25993939.0	25919243.0	5119433856.0	3717606941.0	876579269.0	1.0	0.727275	0.997126	1277.870092	1308.0	2854.0	0.0	0.000288	0.273825	0.0	0.049875	0.016904	0.119478	0.368727	1.305281	0.999805	0.999786	0.999395	0.99934	0.999206	0.999087	0.999044	0.998777	6.451405	0.727748	0.196411	1.0			
X219758-GM2119796-1-CEN-F-EGG5	targets	685969.0	1.0	1704756193.0	870809839.0	2171542246.0	0.542555	0.457445	0.661896	2485.179641	0.354177	0.169433	1642.502678	10068642.0	5.367508	5.390548	5.405909	5.425109	5.441237	5.533399	685969.0	3137454505.0	33279802.0	33279802.0	4813284840.0	24088748.0	24031553.0	4747108278.0	3430488068.0	815531160.0	1.0	0.723825	0.997626	1188.874658	1181.0	4135.0	0.0	0.000403	0.277352	0.0	0.046382	0.016199	0.129793	0.358517	1.272885	0.999656	0.999577	0.99938	0.999178	0.999074	0.999041	0.99899	0.998724	6.624977	0.606514	0.242951	1.0			
X219772-GM2120311-1-CEN-F-EGG5	targets	685969.0	1.0	1553616361.0	819610948.0	2068336157.0	0.534323	0.465677	0.654643	2264.849229	0.345372	0.178947	1599.855878	10998763.0	5.245093	5.266291	5.27689	5.298088	5.310807	5.38712	685969.0	3137454505.0	31048872.0	31048872.0	4498382160.0	23470318.0	23428065.0	4441563466.0	3353879636.0	804972687.0	1.0	0.755915	0.9982	1173.482602	1175.0	2441.0	0.0	0.000307	0.244888	0.0	0.054705	0.01568	0.127694	0.375833	1.256405	0.999802	0.999736	0.999433	0.999294	0.999093	0.999052	0.999	0.998704	5.863503	0.553061	0.243662	1.0			
X219781-GM2120404-1-CEN-F-EGG5	targets	685969.0	1.0	1867452550.0	984713443.0	2458897166.0	0.537024	0.462976	0.654749	2722.35706	0.347192	0.168083	1608.2037	11069325.0	5.23841	5.251247	5.272641	5.283338	5.300025	5.37191	685969.0	3137454505.0	37173530.0	37173530.0	5378733995.0	26711988.0	26659382.0	5311063159.0	3812360418.0	904076361.0	1.0	0.718576	0.998031	1317.955128	1329.0	3242.0	0.0	0.000288	0.282185	0.0	0.047698	0.014275	0.123101	0.362552	1.23868	0.999867	0.999781	0.999398	0.999319	0.999233	0.999133	0.99905	0.998821	5.113615	0.629394	0.131892	1.0			
X219835-GM2120647-1-CEN-M-EGG5	targets	685969.0	1.0	2369035217.0	1232359659.0	3219023857.0	0.528031	0.471969	0.65781	3453.560171	0.342636	0.144605	1588.669016	10459532.0	5.786326	5.803567	5.826555	5.838049	5.858738	5.948391	685969.0	3137454505.0	47880778.0	47880778.0	6914141335.0	31768910.0	31680705.0	6820418733.0	4515537418.0	999816041.0	1.0	0.6635	0.997224	1457.52365	1508.0	3923.0	0.0	0.000269	0.337938	0.0	0.052089	0.013857	0.111058	0.3385	1.277409	0.999917	0.999786	0.999494	0.999348	0.999249	0.999101	0.999061	0.998749	5.807209	0.735641	0.123721	1.0			
