Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2350122863.0	1177400772.0	2881028663.0	0.55044	0.44956	0.666225	3425.989896	0.360989	0.160748	1677.272328	11613745.0	7.112442	7.144011	7.170318	7.191363	7.229245	7.368147	685969.0	3137454505.0	44858962.0	44858962.0	6510236998.0	30720024.0	30637847.0	6408552298.0	4384188436.0	1046505242.0	1.0	0.684814	0.997325	1525.586786	1488.0	3664.0	0.0	0.000269	0.315885	0.0	0.051132	0.014726	0.122179	0.332813	1.693215	0.999975	0.999915	0.99957	0.999458	0.999345	0.999259	0.999197	0.99899	15.755202	0.223482	0.243326	1.0			
X220822-GM2206395-1-CEN-F-EGG5	targets	685969.0	1.0	2255896138.0	1151123125.0	3295825713.0	0.508295	0.491705	0.662132	3288.626947	0.33111	0.140597	1539.334039	10181873.0	8.37545	8.409876	8.444301	8.478726	8.526922	8.719703	685969.0	3137454505.0	46899310.0	46899310.0	6813136580.0	32149850.0	32053431.0	6702844976.0	4581986690.0	957908817.0	1.0	0.685508	0.997001	1396.431642	1364.0	3238.0	0.0	0.000384	0.316412	0.0	0.048732	0.014905	0.123361	0.353715	1.74336	0.999797	0.999783	0.999563	0.999465	0.999367	0.999275	0.999232	0.999006	16.375901	0.249528	0.308124	2.0			
X220823-GM2205658-1-CEN-F-EGG5	targets	685969.0	1.0	2276403564.0	1156904487.0	3503481477.0	0.494942	0.505058	0.663035	3318.522505	0.323381	0.143346	1500.941227	11402138.0	5.9518	5.969178	5.974971	5.995245	6.014361	6.104726	685969.0	3137454505.0	48709846.0	48709846.0	7039386007.0	34096290.0	34008373.0	6936789528.0	4846006231.0	1009064982.0	1.0	0.699988	0.997422	1471.006681	1476.0	3668.0	0.0	0.000307	0.301405	0.0	0.051008	0.013665	0.134704	0.35379	1.235102	0.999803	0.999784	0.999458	0.999332	0.999254	0.999133	0.999048	0.998853	5.783892	0.558716	0.069207	0.0			
X220824-GM2206405-1-CEN-M-EGG5	targets	685969.0	1.0	2299132075.0	1177877528.0	3419886072.0	0.504141	0.495859	0.661238	3351.655942	0.328175	0.149633	1524.695824	12129131.0	6.017522	6.034587	6.048808	6.060184	6.087488	6.1694	685969.0	3137454505.0	48360076.0	48360076.0	7005817278.0	34154774.0	34051972.0	6896895675.0	4861758506.0	1048300341.0	1.0	0.70626	0.99699	1528.203667	1575.0	4084.0	0.0	0.00025	0.29508	0.0	0.046663	0.015308	0.13289	0.358101	1.293991	0.999888	0.999765	0.999469	0.999373	0.999322	0.999224	0.999093	0.998943	6.551668	0.575062	0.112712	1.0			
X220825-GM2205787-1-CEN-F-EGG5	targets	685969.0	1.0	2309414479.0	1187036554.0	3421638096.0	0.505407	0.494593	0.660502	3366.645547	0.328854	0.147356	1526.822948	11703625.0	5.987174	6.00451	6.024735	6.030514	6.04785	6.137997	685969.0	3137454505.0	48412178.0	48412178.0	7022622654.0	34053866.0	33960700.0	6918089129.0	4856634347.0	1034823918.0	1.0	0.703415	0.997264	1508.557847	1490.0	5484.0	0.0	0.000192	0.29798	0.0	0.047886	0.013884	0.131403	0.359303	1.271971	0.999985	0.999847	0.999497	0.999354	0.99923	0.999175	0.999106	0.9988	7.671015	0.434186	0.078196	0.0			
X220831-GM2204194-1-CEN-M-EGG5	targets	685969.0	1.0	2438493959.0	1259732219.0	3679105785.0	0.501296	0.498704	0.659369	3554.816557	0.325554	0.138343	1511.803356	10985213.0	6.111073	6.129746	6.148419	6.167092	6.193234	6.282864	685969.0	3137454505.0	51609618.0	51609618.0	7490300828.0	34747658.0	34652124.0	7377331963.0	4956354356.0	1036233901.0	1.0	0.673279	0.997251	1510.613309	1559.0	2940.0	0.0	0.000365	0.328164	0.0	0.050995	0.013808	0.12233	0.344276	1.274779	0.999799	0.999787	0.999487	0.999379	0.999305	0.999242	0.99913	0.998789	6.148563	0.67548	0.111359	1.0			
X220832-GM2206432-1-CEN-F-EGG5	targets	685969.0	1.0	1763395537.0	927525462.0	2555689207.0	0.512888	0.487112	0.655313	2570.663597	0.330763	0.159385	1537.247817	10478967.0	5.607399	5.626645	5.639475	5.652305	5.6754	5.767777	685969.0	3137454505.0	36673658.0	36673658.0	5331297536.0	26771046.0	26684352.0	5246610206.0	3823614333.0	849728578.0	1.0	0.72998	0.996762	1238.727374	1247.0	2624.0	0.0	0.000442	0.271222	0.0	0.044786	0.016273	0.133284	0.372516	1.242455	0.999606	0.999501	0.999239	0.999176	0.999127	0.999048	0.998934	0.998668	5.772933	0.464773	0.18048	1.0			
X220887-GM2207213-1-CEN-F-EGG5	targets	685969.0	1.0	1973054425.0	969482850.0	2852278237.0	0.507788	0.492212	0.670528	2876.30261	0.33486	0.150758	1557.300411	10341683.0	6.879933	6.909187	6.938442	6.960382	6.985249	7.113968	685969.0	3137454505.0	40650096.0	40650096.0	5892182697.0	29403518.0	29308665.0	5794815512.0	4179637046.0	888295749.0	1.0	0.723332	0.996774	1294.950281	1276.0	3831.0	0.0	0.00025	0.278728	0.0	0.046502	0.015195	0.141781	0.364543	1.458277	0.999981	0.999905	0.999552	0.999327	0.99921	0.999064	0.998978	0.998599	11.913429	0.182541	0.271058	1.0			
X220888-GM2207215-1-CEN-M-EGG5	targets	685969.0	1.0	1740118044.0	871493556.0	2562229161.0	0.504772	0.495228	0.6663	2536.729858	0.331496	0.152511	1538.291356	9517871.0	6.011502	6.037127	6.05421	6.075563	6.0935	6.206248	685969.0	3137454505.0	36262562.0	36262562.0	5249287096.0	26080178.0	26021400.0	5173840761.0	3714661651.0	800573189.0	1.0	0.719204	0.997746	1167.06905	1200.0	2503.0	0.0	0.000403	0.28203	0.0	0.049291	0.015026	0.139573	0.359386	1.291006	0.999794	0.999767	0.999392	0.999297	0.999185	0.999055	0.999009	0.998743	6.521352	0.585996	0.252731	1.0			
X220975-GM2207688-1-CEN-F-EGG5	targets	685969.0	1.0	2648929762.0	1203651709.0	3039875661.0	0.558956	0.441044	0.687573	3861.58815	0.378389	0.12136	1757.799419	7553536.0	8.87785	8.935166	8.995666	9.05935	9.112845	9.433814	685969.0	3137454505.0	48654132.0	48654132.0	7000542014.0	28373932.0	28288402.0	6892457132.0	4000197690.0	849587671.0	1.0	0.583176	0.996986	1238.521961	996.0	3653.0	0.0	0.00025	0.419627	0.0	0.05615	0.011085	0.106869	0.283041	1.873709	0.999981	0.999965	0.99973	0.999723	0.999678	0.999608	0.999547	0.999137	19.658414	1.21998	0.492418	3.0			
X220978-GM2206960-1-CEN-F-EGG5	targets	685969.0	1.0	2174008994.0	1079253604.0	2767670956.0	0.540325	0.459675	0.668255	3169.252538	0.355144	0.148938	1651.469089	9772003.0	6.095777	6.126355	6.141644	6.164577	6.184452	6.306762	685969.0	3137454505.0	42310480.0	42310480.0	6121485853.0	28655013.0	28552312.0	6020933554.0	4068870398.0	911718823.0	1.0	0.677256	0.996416	1329.096246	1269.0	2916.0	0.0	0.000365	0.324213	0.0	0.05316	0.014746	0.125399	0.331094	1.361779	0.999803	0.999783	0.999641	0.99949	0.999321	0.999232	0.999162	0.998748	10.792239	0.367282	0.200581	1.0			
X221036-GM2208138-1-CEN-F-EGG5	targets	685969.0	1.0	1930611217.0	991003889.0	2434523376.0	0.54547	0.45453	0.660803	2814.429248	0.355398	0.162668	1648.602581	10309079.0	5.290514	5.310334	5.319142	5.33676	5.357901	5.442465	685969.0	3137454505.0	37502760.0	37502760.0	5432251022.0	26476394.0	26422006.0	5356138482.0	3777425910.0	883652825.0	1.0	0.705985	0.997946	1288.181864	1306.0	2613.0	0.0	0.000327	0.294748	0.0	0.046348	0.0139	0.129692	0.350371	1.233891	0.999762	0.999736	0.999452	0.999303	0.999189	0.999079	0.999023	0.99871	5.472968	0.419811	0.146486	1.0			
X221052-GM2208966-1-CEN-M-EGG5	targets	685969.0	1.0	2164281117.0	1073141071.0	2642336051.0	0.550605	0.449395	0.66852	3155.071318	0.362323	0.157721	1683.554377	10328849.0	5.68923	5.703819	5.72327	5.747584	5.762173	5.85554	685969.0	3137454505.0	41352074.0	41352074.0	5973355378.0	28080166.0	27990633.0	5879758239.0	3988883168.0	942125962.0	1.0	0.679051	0.996812	1373.423525	1390.0	2546.0	0.0	0.000365	0.321591	0.0	0.052111	0.01465	0.124303	0.327149	1.338619	0.999953	0.999863	0.999475	0.99942	0.999297	0.99924	0.999152	0.998914	8.497433	0.478823	0.171469	1.0			
X221097-GM2206971-1-CEN-F-EGG5	targets	685969.0	1.0	2745922599.0	1408934246.0	3622470099.0	0.534227	0.465773	0.660895	4002.983515	0.347508	0.137908	1614.845146	11000094.0	5.708455	5.728527	5.741908	5.758635	5.776699	5.856987	685969.0	3137454505.0	54486144.0	54486144.0	7901759403.0	35283722.0	35170295.0	7777326944.0	5025855769.0	1089719273.0	1.0	0.647572	0.996785	1588.583847	1594.0	4037.0	0.0	0.000288	0.353781	0.0	0.048455	0.013996	0.116332	0.327356	1.234331	0.999933	0.999789	0.999563	0.999434	0.999313	0.999208	0.999156	0.998799	6.159336	0.463325	0.041106	0.0			
X221126-GM2209460-1-CEN-F-EGG5	targets	685969.0	1.0	2019737462.0	1060341668.0	2605029516.0	0.54178	0.45822	0.655742	2944.35676	0.349898	0.15818	1624.909207	10430400.0	5.217901	5.231981	5.24606	5.26014	5.27422	5.353066	685969.0	3137454505.0	39751366.0	39751366.0	5772356239.0	27726532.0	27655585.0	5685108646.0	3960911220.0	913073235.0	1.0	0.697499	0.997441	1331.070697	1353.0	2314.0	0.0	0.000346	0.303283	0.0	0.044283	0.014598	0.125614	0.351652	1.199163	0.999125	0.999095	0.998739	0.998662	0.998574	0.99849	0.998322	0.997714	3.490543	0.683189	0.097798	0.0			
X221138-GM2206889-1-CEN-F-EGG5	targets	685969.0	1.0	2386100734.0	1211731124.0	3019136832.0	0.543728	0.456272	0.663205	3478.438142	0.355209	0.1528	1649.311328	11174219.0	5.456308	5.464581	5.481127	5.497673	5.520837	5.600257	685969.0	3137454505.0	46522374.0	46522374.0	6717450298.0	31468522.0	31386659.0	6616968690.0	4469123569.0	1026427372.0	1.0	0.676417	0.997399	1496.317431	1497.0	3419.0	0.0	0.000346	0.324597	0.0	0.045174	0.013356	0.125207	0.336583	1.249013	0.9998	0.999784	0.999458	0.99928	0.999227	0.999153	0.999074	0.99892	6.513797	0.430023	0.070029	0.0			
X221140-GM2206999-1-CEN-F-EGG5	targets	685969.0	1.0	1915397736.0	986998454.0	2491957134.0	0.538043	0.461957	0.659937	2792.25116	0.349396	0.165455	1624.024319	11055500.0	5.482435	5.495672	5.513322	5.522147	5.543327	5.628046	685969.0	3137454505.0	37784054.0	37784054.0	5482020164.0	27383183.0	27300715.0	5394353324.0	3904967978.0	907026168.0	1.0	0.724729	0.996988	1322.255332	1308.0	3620.0	0.0	0.000403	0.276101	0.0	0.04912	0.015682	0.130715	0.360277	1.268959	0.999796	0.999774	0.999586	0.999331	0.999213	0.999122	0.999061	0.998863	7.252042	0.47131	0.148094	1.0			
X221149-GM2209450-1-CEN-F-EGG5	targets	685969.0	1.0	2685189417.0	1363073978.0	3069864610.0	0.568726	0.431274	0.663294	3914.447179	0.371944	0.163735	1725.369357	13028480.0	5.196892	5.205761	5.217587	5.232369	5.248333	5.312192	685969.0	3137454505.0	49738978.0	49738978.0	7219331175.0	34166672.0	34085962.0	7118128005.0	4881844297.0	1182057513.0	1.0	0.686919	0.997638	1723.193778	1713.0	3726.0	0.0	0.000211	0.314167	0.0	0.041608	0.014387	0.125467	0.338342	1.255057	0.999983	0.999724	0.999452	0.999345	0.999271	0.999187	0.999106	0.998952	6.746881	0.468861	0.030095	0.0			
X221219-GM2207022-1-CEN-M-EGG5	targets	685969.0	1.0	2311886608.0	1175658394.0	2885393609.0	0.547243	0.452757	0.662898	3370.249396	0.357321	0.146763	1659.20383	9723302.0	5.843216	5.867767	5.892317	5.908684	5.925051	6.0298	685969.0	3137454505.0	44482948.0	44482948.0	6470052273.0	29489801.0	29401102.0	6372938611.0	4213724796.0	949563389.0	1.0	0.662946	0.996992	1384.265745	1405.0	2931.0	0.0	0.000346	0.33881	0.0	0.052164	0.013544	0.115646	0.330871	1.313345	0.9998	0.999777	0.999561	0.999417	0.999306	0.999211	0.999138	0.998797	8.177704	0.48866	0.159286	1.0			
X221258-GM2207038-1-CEN-M-EGG5	targets	685969.0	1.0	1491184428.0	721828226.0	1861973339.0	0.543072	0.456928	0.673826	2173.836468	0.360111	0.168327	1673.702199	8795987.0	5.300172	5.319748	5.34585	5.358901	5.382393	5.48419	685969.0	3137454505.0	28713944.0	28713944.0	4140905955.0	20662056.0	20600970.0	4074985993.0	2929426140.0	697024393.0	1.0	0.719583	0.997044	1016.116462	1041.0	2426.0	0.0	0.000596	0.28112	0.0	0.050631	0.015582	0.147638	0.334024	1.25757	0.999781	0.999724	0.999415	0.999173	0.999083	0.999006	0.998923	0.998268	1.607306	1.380293	0.395857	2.0			
X221262-GM2209417-1-CEN-M-EGG5	targets	685969.0	1.0	2048975380.0	1061271384.0	2615405747.0	0.543213	0.456787	0.658782	2986.979557	0.352409	0.158348	1636.758859	10309333.0	5.654959	5.669192	5.688168	5.704773	5.726122	5.817209	685969.0	3137454505.0	40017998.0	40017998.0	5814189078.0	27765630.0	27687397.0	5725652511.0	3967535771.0	920663325.0	1.0	0.693829	0.997182	1342.135468	1368.0	3564.0	0.0	0.000327	0.30706	0.0	0.044252	0.014939	0.122172	0.350817	1.306851	0.999765	0.999647	0.999453	0.99937	0.999315	0.999204	0.99915	0.998975	7.394819	0.586049	0.17023	1.0			
X221344-GM2211193-1-CEN-M-EGG5	targets	685969.0	1.0	2531965589.0	1292674982.0	3154811939.0	0.547986	0.452014	0.662014	3691.078735	0.357349	0.169111	1659.240691	14340415.0	5.492721	5.50964	5.515279	5.526559	5.546862	5.614538	685969.0	3137454505.0	48805000.0	48805000.0	7085411200.0	34709184.0	34624586.0	6979452510.0	4961719262.0	1198219403.0	1.0	0.711181	0.997563	1746.75445	1781.0	4197.0	0.0	0.00025	0.289096	0.0	0.047705	0.015911	0.127389	0.348256	1.323299	0.999977	0.999786	0.999526	0.999433	0.999287	0.999184	0.99913	0.998848	7.770467	0.482516	0.084886	0.0			
X221804-GM2209768-1-CEN-F-EGG5	targets	685969.0	1.0	1942350134.0	1000118685.0	2396639156.0	0.551116	0.448884	0.660109	2831.542145	0.35812	0.1618	1663.9174	9948624.0	5.266462	5.286152	5.305842	5.318969	5.337347	5.42136	685969.0	3137454505.0	37353506.0	37353506.0	5423738738.0	25842567.0	25764374.0	5339107975.0	3690176299.0	877563303.0	1.0	0.691838	0.996974	1279.304609	1275.0	2792.0	0.0	0.000403	0.30884	0.0	0.050083	0.015377	0.122424	0.338944	1.249321	0.999689	0.999609	0.999455	0.999334	0.999236	0.999172	0.999119	0.998934	6.488957	0.396636	0.158603	1.0			
X221926-GM2213655-1-CEN-F-EGG5	targets	685969.0	1.0	2119542639.0	1069440097.0	2517260667.0	0.558859	0.441141	0.664645	3089.851931	0.365651	0.164588	1698.888248	10869067.0	5.40952	5.423677	5.437835	5.459071	5.471812	5.56242	685969.0	3137454505.0	40025676.0	40025676.0	5796627700.0	28013301.0	27928699.0	5706243403.0	3988845803.0	954058102.0	1.0	0.699883	0.99698	1390.818101	1378.0	3622.0	0.0	0.000384	0.300968	0.0	0.048771	0.015593	0.126823	0.340685	1.290184	0.999278	0.999168	0.99879	0.998701	0.998535	0.99834	0.997996	0.997679	7.836904	0.404544	0.12518	1.0			
X221928-GM2213573-1-CEN-F-EGG5	targets	685969.0	1.0	2206426151.0	1127964912.0	2766298690.0	0.54656	0.45344	0.661718	3216.510004	0.356072	0.155648	1654.18243	10553981.0	5.434612	5.44975	5.464889	5.480027	5.50122	5.585994	685969.0	3137454505.0	42692260.0	42692260.0	6196575080.0	28972100.0	28876261.0	6100689753.0	4133531009.0	964486994.0	1.0	0.678627	0.996692	1406.021255	1406.0	3809.0	0.0	0.000307	0.322449	0.0	0.050618	0.013647	0.122263	0.332965	1.263272	0.999975	0.999886	0.999471	0.999284	0.999156	0.999068	0.998971	0.998628	6.779604	0.484563	0.108251	0.0			
X221929-GM2213445-1-CEN-F-EGG5	targets	685969.0	1.0	2231774991.0	1110151737.0	2720409260.0	0.551261	0.448739	0.667811	3253.463336	0.362992	0.160879	1683.772265	10999514.0	5.590269	5.605284	5.620299	5.635314	5.656334	5.746423	685969.0	3137454505.0	42354916.0	42354916.0	6148269785.0	29202835.0	29129993.0	6062335988.0	4173330038.0	989129727.0	1.0	0.689479	0.997506	1441.945229	1423.0	3092.0	0.0	0.000327	0.311597	0.0	0.050086	0.013038	0.12991	0.332245	1.320463	0.999821	0.999778	0.999442	0.999322	0.999239	0.999089	0.999035	0.998835	8.552377	0.439786	0.124026	1.0			
X221930-GM2213336-1-CEN-F-EGG5	targets	685969.0	1.0	2400453404.0	1237958566.0	2909219987.0	0.555684	0.444316	0.659753	3499.361347	0.361023	0.152654	1676.802712	10684553.0	5.432386	5.44897	5.471083	5.48214	5.502042	5.581648	685969.0	3137454505.0	45713276.0	45713276.0	6649023468.0	30633341.0	30541713.0	6547631957.0	4378352981.0	1014997916.0	1.0	0.670119	0.997009	1479.655664	1477.0	3069.0	0.0	0.000384	0.331307	0.0	0.04988	0.013937	0.11657	0.333322	1.256074	0.999968	0.999776	0.99959	0.99941	0.999354	0.999309	0.999184	0.99902	6.991907	0.351733	0.076798	0.0			
X221931-GM2213440-1-CEN-M-EGG5	targets	685969.0	1.0	2927945697.0	1461390056.0	3647217357.0	0.546171	0.453829	0.667059	4268.335299	0.359032	0.143373	1666.349694	11627745.0	5.77137	5.791539	5.811707	5.831876	5.843977	5.932719	685969.0	3137454505.0	56103488.0	56103488.0	8155121011.0	35360873.0	35264527.0	8036553110.0	5057692803.0	1169227869.0	1.0	0.630279	0.997275	1704.490828	1738.0	6810.0	0.0	0.000288	0.370664	0.0	0.046772	0.012244	0.115659	0.309207	1.331633	0.999975	0.999789	0.999468	0.999378	0.999332	0.999299	0.999201	0.999016	7.901956	0.526937	0.091636	0.0			
X221932-GM2213331-1-CEN-F-EGG5	targets	685969.0	1.0	2536881717.0	1294840577.0	3004019631.0	0.560542	0.439458	0.662073	3698.245427	0.36508	0.158834	1697.412937	11934814.0	5.51873	5.535846	5.558668	5.570079	5.583772	5.665931	685969.0	3137454505.0	47790874.0	47790874.0	6948834796.0	32533311.0	32416395.0	6835741925.0	4643571682.0	1103710716.0	1.0	0.680743	0.996406	1608.980458	1592.0	3087.0	0.0	0.000327	0.320692	0.0	0.047346	0.015278	0.119534	0.335722	1.309179	0.99977	0.999755	0.999568	0.999544	0.999415	0.999325	0.999268	0.999039	8.479885	0.309656	0.06507	0.0			
X221936-GM2213341-1-CEN-F-EGG5	targets	685969.0	1.0	2172526269.0	1107415727.0	2605763204.0	0.557273	0.442727	0.662367	3167.091033	0.36333	0.160202	1688.260572	10539864.0	5.401692	5.42355	5.433264	5.452693	5.470179	5.563437	685969.0	3137454505.0	41111556.0	41111556.0	5979477822.0	28057744.0	27964991.0	5885705200.0	4009333419.0	957925312.0	1.0	0.682478	0.996694	1396.455688	1385.0	2785.0	0.0	0.000384	0.318802	0.0	0.054083	0.015198	0.119868	0.32933	1.287056	0.999796	0.999665	0.999462	0.99936	0.999249	0.999175	0.999099	0.998878	7.649718	0.371602	0.119574	1.0			
X221937-GM2213232-1-CEN-F-EGG5	targets	685969.0	1.0	2563173430.0	1288504114.0	3123271660.0	0.552216	0.447784	0.665469	3736.573271	0.362174	0.15671	1680.776203	12113875.0	5.366488	5.375199	5.389716	5.401331	5.418752	5.488437	685969.0	3137454505.0	48808626.0	48808626.0	7077182280.0	33248595.0	33163857.0	6974949204.0	4742992816.0	1109063776.0	1.0	0.681203	0.997451	1616.784105	1621.0	4322.0	0.0	0.000384	0.319996	0.0	0.049413	0.014267	0.125452	0.331901	1.250413	0.999797	0.999777	0.999469	0.999433	0.999375	0.999305	0.999233	0.998959	6.360613	0.418546	0.042889	0.0			
