Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	1736203640.0	848481920.0	2127554927.0	0.548505	0.451495	0.671727	2531.023472	0.363439	0.177939	1685.179484	11094920.0	5.455244	5.46653	5.485339	5.500386	5.518443	5.599699	685969.0	3137454505.0	33115000.0	33115000.0	4777150837.0	24418095.0	24362709.0	4712240487.0	3473845853.0	850039424.0	1.0	0.737373	0.997732	1239.180523	1221.0	2647.0	0.0	0.000423	0.262804	0.0	0.049972	0.017181	0.140492	0.349198	1.329593	0.999959	0.999793	0.999497	0.999293	0.999185	0.999125	0.999031	0.998732	8.807961	0.394929	0.237766	1.0			
X220955-GM2207857-1-CEN-F-EGG5	targets	685969.0	1.0	1325784080.0	688332572.0	1680515147.0	0.545147	0.454853	0.658246	1932.717193	0.353912	0.186597	1641.249411	10057713.0	5.055301	5.07278	5.096085	5.107737	5.12172	5.205618	685969.0	3137454505.0	25786374.0	25786374.0	3746082772.0	19783946.0	19733813.0	3694631799.0	2834234518.0	699009106.0	1.0	0.767225	0.997466	1019.00976	1030.0	1986.0	0.0	0.000365	0.232878	0.0	0.05063	0.019344	0.135093	0.372894	1.244212	0.999942	0.999752	0.999353	0.9992	0.999044	0.998997	0.998959	0.998634	4.712056	0.550363	0.403706	2.0			
X221035-GM2208007-1-CEN-F-EGG5	targets	685969.0	1.0	1751574254.0	903230547.0	2471854452.0	0.517843	0.482157	0.659775	2553.430627	0.337043	0.16769	1562.669183	11219054.0	5.536168	5.548554	5.569198	5.585713	5.600577	5.679849	685969.0	3137454505.0	35750568.0	35750568.0	5196892976.0	26543621.0	26482363.0	5126659253.0	3803525665.0	871465037.0	1.0	0.742467	0.997692	1270.414606	1273.0	2503.0	0.0	0.000384	0.258089	0.0	0.04952	0.017459	0.132443	0.37254	1.265353	0.999797	0.999743	0.999385	0.999187	0.999063	0.999015	0.998969	0.998704	6.113567	0.591091	0.174422	1.0			
X221058-GM2209090-1-CEN-F-EGG5	targets	685969.0	1.0	1885675454.0	974560573.0	2740593852.0	0.510681	0.489319	0.659273	2748.92226	0.332145	0.154864	1539.882252	10295503.0	5.831973	5.845859	5.864375	5.880576	5.895851	5.995836	685969.0	3137454505.0	39099030.0	39099030.0	5677269379.0	28040994.0	27968348.0	5600829879.0	4012378996.0	879205697.0	1.0	0.717179	0.997409	1281.698877	1281.0	3447.0	0.0	0.000307	0.28361	0.0	0.045808	0.016988	0.128207	0.368444	1.272789	0.999948	0.99978	0.999449	0.999252	0.999166	0.99907	0.999007	0.998727	6.677915	0.582753	0.172049	1.0			
X221091-GM2209273-1-CEN-M-EGG5	targets	685969.0	1.0	1285375783.0	659299926.0	1685211544.0	0.53574	0.46426	0.660972	1873.810308	0.349332	0.183386	1619.608043	9613163.0	5.483841	5.501046	5.523987	5.535457	5.562985	5.659333	685969.0	3137454505.0	25348696.0	25348696.0	3679525765.0	19419366.0	19375887.0	3629887253.0	2780384951.0	674774684.0	1.0	0.766089	0.997761	983.681018	1006.0	3209.0	0.0	0.000538	0.23403	0.0	0.053194	0.018832	0.134853	0.373232	1.325716	0.999701	0.99955	0.999405	0.99928	0.999175	0.999052	0.998914	0.998363	6.997767	0.677879	0.452436	3.0			
X221101-GM2208748-1-CEN-F-EGG5	targets	685969.0	1.0	1663943034.0	842566650.0	2293442473.0	0.522195	0.477805	0.663849	2425.682551	0.341516	0.177311	1585.530105	12338875.0	5.541076	5.552532	5.571626	5.586901	5.605232	5.678552	685969.0	3137454505.0	33500602.0	33500602.0	4872227277.0	25864487.0	25792733.0	4799952157.0	3700604025.0	863897102.0	1.0	0.77206	0.997226	1259.382132	1247.0	2693.0	0.0	0.000269	0.229033	0.0	0.052326	0.019585	0.142376	0.376741	1.290351	0.999806	0.999783	0.999449	0.999343	0.999289	0.999138	0.999074	0.998845	7.359372	0.423892	0.196725	1.0			
X221102-GM2208807-1-CEN-F-EGG5	targets	685969.0	1.0	2465753539.0	1277098045.0	3271129223.0	0.533627	0.466373	0.65879	3594.55535	0.346765	0.162581	1607.896313	13755451.0	5.481035	5.489728	5.504218	5.515809	5.529719	5.599269	685969.0	3137454505.0	48897842.0	48897842.0	7110735647.0	35361482.0	35274834.0	7013980807.0	5066485971.0	1156073371.0	1.0	0.723171	0.99755	1685.314309	1694.0	3346.0	0.0	0.000231	0.277659	0.0	0.041825	0.01901	0.128631	0.368088	1.247457	0.999856	0.999541	0.999373	0.99924	0.999138	0.999089	0.999007	0.998878	5.637717	0.550559	0.031549	0.0			
X221103-GM2209064-1-CEN-M-EGG5	targets	685969.0	1.0	1653857902.0	841855702.0	2330498068.0	0.517116	0.482884	0.662679	2410.980528	0.337706	0.157437	1567.345619	9048619.0	6.224551	6.248563	6.276578	6.296588	6.318199	6.443063	685969.0	3137454505.0	33693748.0	33693748.0	4897324617.0	24326799.0	24258804.0	4826211672.0	3478853091.0	771018044.0	1.0	0.721997	0.997205	1123.983801	1124.0	2803.0	0.0	0.000288	0.279175	0.0	0.051745	0.018495	0.125862	0.365002	1.374063	0.999978	0.999902	0.999536	0.999456	0.999204	0.999112	0.999061	0.998847	9.319885	0.632262	0.328339	2.0			
X221106-GM2209062-1-CEN-M-EGG5	targets	685969.0	1.0	2375456816.0	1195651673.0	3295214077.0	0.52009	0.47991	0.665188	3462.921526	0.341241	0.157467	1582.325712	12609052.0	6.249986	6.266824	6.283662	6.300499	6.324072	6.418365	685969.0	3137454505.0	47935564.0	47935564.0	6961231157.0	33703821.0	33626114.0	6866322566.0	4823672627.0	1096166125.0	1.0	0.703107	0.997694	1597.982015	1568.0	4765.0	0.0	0.000231	0.297488	0.0	0.050061	0.016652	0.124117	0.352074	1.416651	0.999809	0.999792	0.999647	0.999439	0.999369	0.999281	0.999156	0.998923	10.989202	0.549682	0.135186	1.0			
X221127-GM2208744-1-CEN-F-EGG5	targets	685969.0	1.0	1987996398.0	1029893402.0	2717714162.0	0.526168	0.473832	0.658737	2898.084896	0.341595	0.159687	1585.292425	11042307.0	5.43319	5.447289	5.466088	5.475487	5.492406	5.571361	685969.0	3137454505.0	40057726.0	40057726.0	5819747091.0	28666086.0	28576550.0	5735603962.0	4099606105.0	929340290.0	1.0	0.715619	0.996877	1354.784677	1376.0	2568.0	0.0	0.000288	0.285235	0.0	0.044585	0.018297	0.127816	0.362073	1.228273	0.999977	0.99986	0.9995	0.999313	0.999206	0.999103	0.999055	0.998735	4.550665	0.556077	0.106041	0.0			
