Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2067013126.0	1051938721.0	2670162921.0	0.538761	0.461239	0.662727	3013.274836	0.353081	0.161687	1633.067073	10910613.0	5.812123	5.82673	5.846207	5.855945	5.879317	5.972804	685969.0	3137454505.0	40396042.0	40396042.0	5854216247.0	29121761.0	29074088.0	5789114768.0	4166182548.0	946550344.0	1.0	0.720906	0.998363	1379.873353	1367.0	2794.0	0.0	0.000365	0.280342	0.0	0.047047	0.01381	0.129787	0.365548	1.315418	0.999966	0.99978	0.999582	0.999488	0.999312	0.999184	0.99909	0.998902	8.547547	0.387787	0.149384	1.0			
X221009-GM2208340-1-CEN-M-EGG5	targets	685969.0	1.0	1709407312.0	900601881.0	2652896529.0	0.495926	0.504074	0.654943	2491.960004	0.320764	0.144056	1485.569295	8603332.0	6.440423	6.461	6.490723	6.509014	6.530963	6.662657	685969.0	3137454505.0	36683676.0	36683676.0	5329173175.0	26708769.0	26650699.0	5262905722.0	3822642050.0	767700052.0	1.0	0.728083	0.997826	1119.146859	1152.0	2336.0	0.0	0.000192	0.273663	0.0	0.049011	0.016288	0.125899	0.389309	1.287856	0.999918	0.999875	0.99938	0.999294	0.999147	0.999048	0.998998	0.998711	6.668993	0.705337	0.288996	1.0			
X221046-GM2208396-1-CEN-F-EGG5	targets	685969.0	1.0	1597599030.0	823845573.0	2316805985.0	0.511042	0.488958	0.659771	2328.966805	0.333342	0.161902	1542.136123	9830464.0	5.616237	5.639709	5.651445	5.674916	5.688999	5.782886	685969.0	3137454505.0	33024726.0	33024726.0	4792676564.0	24787063.0	24746153.0	4738250588.0	3550856450.0	775942162.0	1.0	0.750561	0.99835	1131.16214	1147.0	3050.0	0.0	0.000365	0.250598	0.0	0.053221	0.014629	0.136614	0.381219	1.224201	0.999689	0.999608	0.999185	0.999057	0.998895	0.99884	0.998784	0.99844	4.804322	0.553984	0.258148	1.0			
X221056-GM2208402-1-CEN-M-EGG5	targets	685969.0	1.0	2015911883.0	1042799049.0	2852046552.0	0.517482	0.482518	0.659072	2938.779862	0.336923	0.14879	1559.916498	9849680.0	6.06274	6.077967	6.098269	6.123648	6.138875	6.248509	685969.0	3137454505.0	41203226.0	41203226.0	5983307806.0	29311810.0	29255215.0	5910757484.0	4196251635.0	890256948.0	1.0	0.711396	0.998069	1297.8093	1339.0	2224.0	0.0	0.000307	0.290065	0.0	0.04393	0.0159	0.126288	0.37324	1.281154	0.999977	0.999794	0.999487	0.999341	0.9993	0.999191	0.999138	0.998878	6.507083	0.633938	0.177674	1.0			
X221105-GM2209271-1-CEN-M-EGG5	targets	685969.0	1.0	2651347302.0	1383167412.0	3851535315.0	0.511601	0.488399	0.657166	3865.112421	0.331816	0.115341	1537.729831	8353607.0	7.454771	7.488504	7.510992	7.555969	7.582956	7.744872	685969.0	3137454505.0	54801802.0	54801802.0	7990420064.0	34356406.0	34256104.0	7886050029.0	4923037133.0	921626151.0	1.0	0.626921	0.997081	1343.539068	1304.0	3787.0	0.0	0.00025	0.375728	0.0	0.052097	0.013876	0.100523	0.340942	1.389389	0.999793	0.999608	0.999541	0.999293	0.999265	0.999248	0.999162	0.998826	11.111346	0.561771	0.207779	1.0			
X221168-GM2209778-1-CEN-F-EGG5	targets	685969.0	1.0	2052340196.0	1059193076.0	2943979444.0	0.513835	0.486165	0.659591	2991.884759	0.334716	0.144606	1550.141624	9568681.0	6.037445	6.05315	6.079327	6.100268	6.119115	6.219631	685969.0	3137454505.0	42218804.0	42218804.0	6131588037.0	29628327.0	29552600.0	6055512716.0	4238828950.0	886663698.0	1.0	0.70178	0.997444	1292.57109	1291.0	2625.0	0.0	0.000288	0.300005	0.0	0.052931	0.014114	0.121409	0.365157	1.258589	0.999975	0.999776	0.999561	0.999299	0.999121	0.999052	0.998993	0.998611	6.939051	0.448573	0.160165	1.0			
X221178-GM2209376-1-CEN-F-EGG5	targets	685969.0	1.0	2163116962.0	1113923744.0	3024123985.0	0.520069	0.479931	0.660082	3153.374222	0.339192	0.137426	1570.117374	9152021.0	5.753384	5.769998	5.789381	5.811533	5.831469	5.924507	685969.0	3137454505.0	44146600.0	44146600.0	6377261365.0	30007246.0	29936078.0	6301164691.0	4270918610.0	876404615.0	1.0	0.679718	0.997628	1277.615483	1314.0	3057.0	0.0	0.000365	0.322202	0.0	0.044435	0.011878	0.12575	0.356691	1.176442	0.999972	0.999875	0.999388	0.999332	0.999245	0.999219	0.999152	0.998853	1.8125	0.663947	0.112322	1.0			
X221180-GM2209820-1-CEN-F-EGG5	targets	685969.0	1.0	2131128799.0	1117698154.0	3049028798.0	0.515862	0.484138	0.655969	3106.74214	0.334569	0.147269	1547.711238	10368537.0	5.898132	5.922446	5.933252	5.954865	5.967832	6.071572	685969.0	3137454505.0	44053554.0	44053554.0	6369774315.0	31140490.0	31088691.0	6297855751.0	4442128825.0	938070721.0	1.0	0.706878	0.998337	1367.511828	1374.0	3190.0	0.0	0.000346	0.29466	0.0	0.04615	0.014705	0.124844	0.370729	1.242063	0.9998	0.999777	0.999395	0.999261	0.999192	0.999141	0.999052	0.998841	6.238566	0.470259	0.111386	1.0			
X221187-GM2209276-1-CEN-M-EGG5	targets	685969.0	1.0	1900050523.0	982315196.0	2735296987.0	0.51309	0.48691	0.659198	2769.878118	0.334286	0.151239	1546.971941	9665746.0	6.397238	6.411696	6.435794	6.455073	6.489774	6.605444	685969.0	3137454505.0	39140946.0	39140946.0	5683914175.0	28313368.0	28261550.0	5617662706.0	4055951612.0	859627847.0	1.0	0.72337	0.99817	1253.158447	1276.0	4311.0	0.0	0.000269	0.278	0.0	0.045299	0.01411	0.127048	0.382561	1.350386	0.99998	0.999927	0.999496	0.999273	0.999188	0.999086	0.999058	0.99884	8.757021	0.538154	0.234343	1.0			
X221221-GM2209264-1-CEN-F-EGG5	targets	685969.0	1.0	1822503354.0	971911289.0	2586296722.0	0.519339	0.480661	0.652195	2656.830489	0.334959	0.152259	1549.178951	9388039.0	5.72548	5.75315	5.766985	5.787738	5.811258	5.910871	685969.0	3137454505.0	37395086.0	37395086.0	5440968465.0	27064174.0	27021375.0	5380711365.0	3886819790.0	828436861.0	1.0	0.723736	0.998419	1207.688483	1227.0	2353.0	0.0	0.000327	0.277638	0.0	0.045311	0.014034	0.124261	0.384832	1.217428	0.999802	0.999745	0.999404	0.999224	0.999117	0.999066	0.999007	0.998752	4.061615	0.510292	0.188186	1.0			
X221233-GM2210191-1-CEN-M-EGG5	targets	685969.0	1.0	2259025137.0	1193372058.0	3141778196.0	0.523553	0.476447	0.654335	3293.188376	0.338795	0.146865	1566.871988	10402147.0	6.050374	6.0674	6.084425	6.10145	6.118475	6.220627	685969.0	3137454505.0	45918380.0	45918380.0	6667821669.0	31756209.0	31706496.0	6594175391.0	4551096608.0	979268517.0	1.0	0.691579	0.998435	1427.569638	1462.0	3962.0	0.0	0.00025	0.309831	0.0	0.044678	0.013532	0.116334	0.367157	1.296612	0.999808	0.999792	0.999491	0.999356	0.999254	0.99916	0.999089	0.998939	7.283371	0.558644	0.139541	1.0			
X221256-GM2210188-1-CEN-F-EGG5	targets	685969.0	1.0	1878138027.0	1016614495.0	2703804162.0	0.517053	0.482947	0.648808	2737.934261	0.33174	0.168751	1534.349774	12414923.0	5.57366	5.587427	5.596604	5.61496	5.625973	5.692051	685969.0	3137454505.0	39005388.0	39005388.0	5661474221.0	29634255.0	29584363.0	5598556684.0	4248589782.0	955377699.0	1.0	0.759748	0.998316	1392.741799	1401.0	2778.0	0.0	0.000442	0.241128	0.0	0.047336	0.015485	0.127015	0.398426	1.249096	0.999793	0.999679	0.999404	0.999329	0.999203	0.99913	0.999074	0.99888	5.848437	0.531015	0.103444	0.0			
