Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2051106938.0	1044929805.0	2487972380.0	0.554447	0.445553	0.662494	2990.086925	0.362899	0.164721	1680.02263	10685405.0	5.485287	5.499295	5.522643	5.54132	5.552527	5.64218	685969.0	3137454505.0	39050966.0	39050966.0	5652007635.0	27816699.0	27761421.0	5584009123.0	3970377721.0	931006508.0	1.0	0.712318	0.998013	1357.213676	1356.0	2682.0	0.0	0.000307	0.288974	0.0	0.046628	0.016013	0.127712	0.353982	1.282811	0.999977	0.999942	0.999547	0.999356	0.999259	0.99914	0.999073	0.998889	7.251515	0.450529	0.140483	1.0			
X221198-GM2210135-1-CEN-M-EGG5	targets	685969.0	1.0	2091769129.0	1089262194.0	2823796615.0	0.529746	0.470254	0.657576	3049.363935	0.343922	0.161149	1593.258077	11561953.0	5.682738	5.697633	5.712528	5.727423	5.742318	5.825731	685969.0	3137454505.0	41794030.0	41794030.0	6082097606.0	30125127.0	30057345.0	6004827938.0	4322791798.0	980125233.0	1.0	0.7208	0.99775	1428.818552	1480.0	4831.0	0.0	0.000192	0.280114	0.0	0.04826	0.016922	0.126218	0.365301	1.284909	0.999929	0.999787	0.999445	0.999335	0.999211	0.999115	0.99907	0.998867	5.600751	0.755422	0.134367	1.0			
X221211-GM2006152-1-CEN-M-EGG5	targets	685969.0	1.0	1755148124.0	915901763.0	2417618237.0	0.524902	0.475098	0.6571	2558.640586	0.340521	0.160387	1577.548041	9822077.0	5.710349	5.729212	5.743883	5.766938	5.780771	5.881375	685969.0	3137454505.0	35437592.0	35437592.0	5154308718.0	25559398.0	25498246.0	5088668124.0	3666360291.0	826682174.0	1.0	0.721251	0.997607	1205.130515	1246.0	2416.0	0.0	0.000346	0.279505	0.0	0.048017	0.017147	0.127139	0.365773	1.283419	0.999971	0.999742	0.999466	0.999229	0.999103	0.999038	0.998968	0.998653	5.598405	0.817315	0.223841	1.0			
X221224-GM2210441-1-CEN-M-EGG5	targets	685969.0	1.0	1904080539.0	1012063689.0	2555546356.0	0.532951	0.467049	0.652945	2775.753043	0.343457	0.162794	1591.610263	10755094.0	5.591259	5.611523	5.629535	5.638541	5.654752	5.74121	685969.0	3137454505.0	38026888.0	38026888.0	5543873960.0	27461055.0	27404221.0	5471690584.0	3946227871.0	902510105.0	1.0	0.722148	0.99793	1315.671853	1362.0	2709.0	0.0	0.000269	0.278792	0.0	0.045338	0.018172	0.12354	0.369251	1.274876	0.999879	0.99966	0.999388	0.999325	0.999224	0.999184	0.999106	0.998918	5.134059	0.71556	0.165639	1.0			
X221282-GM2210321-1-CEN-F-EGG5	targets	685969.0	1.0	1801127017.0	921853685.0	2286600898.0	0.543555	0.456445	0.661454	2625.66824	0.35466	0.148299	1644.431672	7768188.0	6.333172	6.359108	6.380721	6.41098	6.43951	6.6055	685969.0	3137454505.0	34813494.0	34813494.0	5078462204.0	23580696.0	23519951.0	5009581600.0	3384106748.0	753129678.0	1.0	0.677344	0.997424	1097.906287	1003.0	3522.0	0.0	0.000365	0.324473	0.0	0.053749	0.017287	0.112058	0.342131	1.402179	0.999617	0.999601	0.999501	0.999382	0.99921	0.999125	0.99906	0.998802	11.767031	0.685473	0.467347	3.0			
X221290-GM2210286-1-CEN-F-EGG5	targets	685969.0	1.0	2341867809.0	1177540798.0	2896266418.0	0.548564	0.451436	0.665415	3413.955746	0.359668	0.140107	1669.525154	8885749.0	7.677468	7.711304	7.75078	7.778977	7.822964	8.025982	685969.0	3137454505.0	44711048.0	44711048.0	6511196086.0	28970434.0	28868142.0	6415675025.0	4143822247.0	912263329.0	1.0	0.647948	0.996469	1329.890023	1210.0	5017.0	0.0	0.000384	0.35411	0.0	0.052812	0.01674	0.107959	0.326219	1.681277	0.999969	0.999821	0.999724	0.999656	0.999466	0.999318	0.999232	0.998889	16.147277	0.672292	0.352573	2.0			
X221309-GM2210172-1-CEN-M-EGG5	targets	685969.0	1.0	2418579328.0	1278980257.0	3321591432.0	0.526782	0.473218	0.654102	3525.785171	0.340274	0.146361	1575.972727	11058551.0	5.765853	5.783655	5.801457	5.819259	5.840622	5.926073	685969.0	3137454505.0	48829212.0	48829212.0	7107736113.0	33065931.0	32994454.0	7019151017.0	4746449744.0	1040296948.0	1.0	0.677175	0.997838	1516.536386	1578.0	4265.0	0.0	0.000365	0.323786	0.0	0.049181	0.016074	0.11406	0.348726	1.260629	0.999969	0.999952	0.999442	0.999379	0.999322	0.999249	0.999204	0.999019	4.947647	0.728515	0.107453	0.0			
X221339-GM2211137-1-CEN-M-EGG5	targets	685969.0	1.0	1711241254.0	864012017.0	2276457941.0	0.530793	0.469207	0.664494	2494.63351	0.347916	0.170641	1613.203837	11011973.0	5.688483	5.700318	5.723989	5.735824	5.752394	5.837608	685969.0	3137454505.0	34001774.0	34001774.0	4918549928.0	25549507.0	25482160.0	4851711212.0	3643034462.0	839307862.0	1.0	0.751417	0.997364	1223.536139	1253.0	3451.0	0.0	0.000442	0.249124	0.0	0.052656	0.01925	0.139026	0.366992	1.305802	0.999863	0.999678	0.999437	0.999313	0.999121	0.999039	0.998953	0.998592	6.639644	0.732771	0.221899	1.0			
X221340-GM2211105-1-CEN-F-EGG5	targets	685969.0	1.0	1842376280.0	963893728.0	2310437886.0	0.548452	0.451548	0.656521	2685.801078	0.355662	0.171751	1646.875074	11155247.0	5.166252	5.185112	5.199781	5.216546	5.226605	5.307075	685969.0	3137454505.0	35751324.0	35751324.0	5180136539.0	26360490.0	26306966.0	5116707894.0	3770609746.0	889693068.0	1.0	0.737329	0.99797	1296.987281	1319.0	2431.0	0.0	0.000403	0.263079	0.0	0.044916	0.018034	0.131168	0.368959	1.216686	0.999948	0.999687	0.999345	0.999227	0.999103	0.999052	0.999004	0.998682	3.956418	0.614807	0.12588	1.0			
X221342-GM2210055-1-CEN-M-EGG5	targets	685969.0	1.0	1724118806.0	902878603.0	2375179555.0	0.525171	0.474829	0.656308	2513.4063	0.340098	0.173081	1576.453207	11705539.0	5.813462	5.837693	5.853847	5.87404	5.891001	5.96854	685969.0	3137454505.0	34757646.0	34757646.0	5069469218.0	26400031.0	26331363.0	5002176964.0	3792926706.0	877430302.0	1.0	0.759546	0.997399	1279.110721	1292.0	3790.0	0.0	0.000346	0.241745	0.0	0.061036	0.019573	0.127871	0.3744	1.342194	0.999768	0.99971	0.999413	0.999319	0.99914	0.999076	0.99902	0.998637	7.655199	0.773772	0.210909	1.0			
X221345-GM2211134-1-CEN-M-EGG5	targets	685969.0	1.0	1893096045.0	968872318.0	2418344839.0	0.542007	0.457993	0.661466	2759.739937	0.353872	0.162745	1639.781234	9971151.0	6.345578	6.358856	6.385412	6.411967	6.433212	6.550056	685969.0	3137454505.0	36828930.0	36828930.0	5349669869.0	26415547.0	26361364.0	5280313202.0	3782796361.0	870632803.0	1.0	0.71725	0.997949	1269.201382	1193.0	3366.0	0.0	0.000384	0.283604	0.0	0.052677	0.016992	0.120829	0.361051	1.453839	0.999797	0.999781	0.999707	0.999571	0.999404	0.999329	0.999245	0.998771	12.781129	0.706014	0.293298	2.0			
