Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2812195987.0	1454271763.0	3359930464.0	0.559434	0.440566	0.659139	4099.596318	0.364304	0.094692	1686.549348	5816830.0	10.552717	10.647708	10.7427	10.837692	10.932683	11.464636	685969.0	3137454505.0	52947822.0	52947822.0	7719371856.0	27190233.0	27104804.0	7626398214.0	3882877590.0	730963623.0	1.0	0.513529	0.996858	1065.592794	771.0	3359.0	0.0	0.000211	0.490864	0.0	0.052512	0.008377	0.069011	0.283413	1.969672	0.99981	0.999781	0.999735	0.999729	0.99972	0.99966	0.999587	0.99935	20.942599	1.861093	0.639982	4.0			
X221213-GM2210433-1-CEN-F-EGG5	targets	685969.0	1.0	1766491757.0	975125139.0	2277071466.0	0.546282	0.453718	0.644325	2575.177241	0.348035	0.168886	1609.883072	10005658.0	7.145049	7.170087	7.195125	7.232681	7.255215	7.415457	685969.0	3137454505.0	34898490.0	34898490.0	5075617388.0	25387883.0	25339856.0	5018688362.0	3638824433.0	857200473.0	1.0	0.727478	0.998108	1249.619841	1147.0	3235.0	0.0	0.000288	0.274945	0.0	0.050595	0.013053	0.10996	0.380677	1.675094	0.999805	0.99979	0.999733	0.999657	0.999539	0.999379	0.999353	0.999227	16.00293	0.49838	0.396846	2.0			
X221338-GM2211040-1-CEN-F-EGG5	targets	685969.0	1.0	1403230317.0	808428729.0	1892157196.0	0.538927	0.461073	0.63447	2045.617684	0.338387	0.167593	1563.91808	8266635.0	5.705979	5.726375	5.753569	5.777365	5.799801	5.914019	685969.0	3137454505.0	28442158.0	28442158.0	4146823281.0	20813716.0	20780534.0	4103816242.0	2994803494.0	694978902.0	1.0	0.731791	0.998406	1013.134561	976.0	2449.0	0.0	0.000307	0.270239	0.0	0.047891	0.012521	0.106702	0.39333	1.319186	0.999882	0.999777	0.999627	0.999443	0.999373	0.999214	0.99914	0.998904	9.302932	0.436733	0.512209	3.0			
X221346-GM2210392-1-CEN-M-EGG5	targets	685969.0	1.0	1674267992.0	953429006.0	2276712504.0	0.535783	0.464217	0.637162	2440.734191	0.337712	0.162225	1561.389292	9231195.0	5.758282	5.770536	5.795043	5.819551	5.839157	5.94699	685969.0	3137454505.0	34019970.0	34019970.0	4957672564.0	24412368.0	24367690.0	4904409502.0	3509325629.0	804256534.0	1.0	0.717589	0.99817	1172.4386	1185.0	3229.0	0.0	0.000365	0.284455	0.0	0.049533	0.013274	0.10546	0.383322	1.314393	0.999799	0.999784	0.99951	0.999405	0.999315	0.999216	0.999194	0.99893	7.836597	0.650759	0.27267	1.0			
X221366-GM2210946-1-CEN-M-EGG5	targets	685969.0	1.0	1669607569.0	965136749.0	2284849952.0	0.535561	0.464439	0.633689	2433.940264	0.335569	0.162484	1552.237121	9234898.0	5.799724	5.811967	5.836453	5.86094	5.875631	5.993165	685969.0	3137454505.0	34064438.0	34064438.0	4975452609.0	24348226.0	24293263.0	4919594270.0	3506019806.0	808431054.0	1.0	0.71477	0.997743	1178.524181	1187.0	3164.0	0.0	0.000327	0.287336	0.0	0.047627	0.013139	0.101629	0.38597	1.331666	0.999975	0.999845	0.999611	0.999453	0.999296	0.999226	0.999179	0.998958	8.452803	0.615211	0.277773	1.0			
X221395-GM2211049-1-CEN-M-EGG5	targets	685969.0	1.0	1571888053.0	849746220.0	2001592483.0	0.547481	0.452519	0.649102	2291.485553	0.351466	0.140563	1625.381665	6050564.0	7.291479	7.338726	7.389911	7.445033	7.487555	7.76159	685969.0	3137454505.0	30733716.0	30733716.0	4472379621.0	20088264.0	20042491.0	4423226756.0	2877164025.0	628649671.0	1.0	0.653623	0.997721	916.440351	799.0	2161.0	0.0	0.000442	0.349533	0.0	0.05388	0.010277	0.095642	0.348571	1.582799	0.999793	0.999777	0.999722	0.999598	0.999488	0.999319	0.999222	0.999006	16.042614	0.995408	0.632553	4.0			
X221396-GM2211181-1-CEN-M-EGG5	targets	685969.0	1.0	1642061709.0	889996107.0	2105132021.0	0.546033	0.453967	0.648509	2393.784135	0.349961	0.149459	1619.599171	7158143.0	7.354114	7.390223	7.438368	7.486513	7.52503	7.756126	685969.0	3137454505.0	32306112.0	32306112.0	4692133353.0	21829298.0	21772417.0	4637189837.0	3119642458.0	701282861.0	1.0	0.675702	0.997394	1022.324421	931.0	2647.0	0.0	0.000384	0.327256	0.0	0.055972	0.011207	0.099889	0.354476	1.643608	0.999953	0.999819	0.99973	0.999621	0.999459	0.99941	0.999324	0.999017	16.437955	0.669023	0.528991	3.0			
X221410-GM2211582-1-CEN-F-EGG5	targets	685969.0	1.0	1616080661.0	919350562.0	2125505095.0	0.543975	0.456025	0.637399	2355.909175	0.343161	0.177763	1585.852574	10474218.0	6.229767	6.252492	6.282792	6.297942	6.325213	6.434293	685969.0	3137454505.0	32278612.0	32278612.0	4709391501.0	24052298.0	24015711.0	4660936318.0	3464812316.0	837154821.0	1.0	0.745147	0.998479	1220.397454	1124.0	3695.0	0.0	0.000346	0.256627	0.0	0.05561	0.012147	0.105807	0.390227	1.501104	0.999907	0.999822	0.999729	0.999662	0.999455	0.999329	0.999313	0.998988	13.536358	0.552131	0.383545	2.0			
X221411-GM2211165-1-CEN-F-EGG5	targets	685969.0	1.0	1961532037.0	1116009326.0	2590715958.0	0.542943	0.457057	0.63737	2859.505367	0.342552	0.156775	1582.773591	9735042.0	5.877506	5.899058	5.923004	5.942162	5.953656	6.068598	685969.0	3137454505.0	39290894.0	39290894.0	5726231359.0	27346068.0	27301846.0	5668257321.0	3933170687.0	897731808.0	1.0	0.69599	0.998383	1308.70609	1265.0	3804.0	0.0	0.000231	0.306106	0.0	0.043792	0.010756	0.103709	0.37729	1.336778	0.999953	0.99979	0.999704	0.999497	0.999401	0.999277	0.999153	0.998981	9.717419	0.361803	0.206885	1.0			
X221412-GM2210565-1-CEN-F-EGG5	targets	685969.0	1.0	2041121282.0	1195564034.0	2784518041.0	0.537548	0.462452	0.630621	2975.529918	0.335449	0.154221	1550.452491	10154714.0	5.488444	5.503685	5.513845	5.534166	5.558552	5.643901	685969.0	3137454505.0	41690688.0	41690688.0	6084735331.0	28899625.0	28845125.0	6021203357.0	4160659196.0	938393564.0	1.0	0.693191	0.998114	1367.982466	1369.0	3535.0	0.0	0.000288	0.308999	0.0	0.047394	0.012105	0.099043	0.37664	1.233528	0.999805	0.999783	0.999494	0.999398	0.999293	0.99927	0.999251	0.998975	5.812773	0.555786	0.103312	0.0			
