Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2254165189.0	1248519411.0	2871026084.0	0.549552	0.450448	0.643554	3286.103583	0.349741	0.155113	1617.582128	10713986.0	5.444457	5.460556	5.476654	5.492753	5.508852	5.586125	685969.0	3137454505.0	44247824.0	44247824.0	6445245381.0	30172130.0	30111051.0	6373710684.0	4338656294.0	999741398.0	1.0	0.68189	0.997976	1457.414837	1458.0	2869.0	0.0	0.00025	0.319289	0.0	0.043941	0.013809	0.107527	0.358611	1.249927	0.999961	0.99979	0.999564	0.9995	0.999424	0.999347	0.999271	0.999016	6.493781	0.437536	0.081091	0.0			
X221341-GM2210055-1-CEN-M-EGG5	targets	685969.0	1.0	2079175002.0	1156052648.0	3163664368.0	0.505592	0.494408	0.642667	3031.004319	0.321279	0.149105	1486.138245	10877544.0	5.996213	6.020479	6.03396	6.060923	6.0771	6.167693	685969.0	3137454505.0	44474922.0	44474922.0	6471565725.0	31674680.0	31595430.0	6398892018.0	4548765381.0	964942416.0	1.0	0.712192	0.997498	1406.685165	1457.0	3574.0	0.0	0.000288	0.289132	0.0	0.058248	0.013961	0.111193	0.376698	1.269571	0.999883	0.999755	0.999431	0.999354	0.999273	0.999208	0.99916	0.998867	5.942392	0.725134	0.134565	1.0			
X221943-GM2213377-1-CEN-M-EGG5	targets	685969.0	1.0	865030703.0	492781351.0	1223199483.0	0.526077	0.473923	0.637077	1261.034687	0.330985	0.181135	1532.902469	6903126.0	5.56008	5.590939	5.617684	5.646487	5.668706	5.816832	685969.0	3137454505.0	17963112.0	17963112.0	2613500852.0	14030455.0	13998516.0	2581011537.0	2013637367.0	473395679.0	1.0	0.78107	0.997724	690.112351	705.0	1917.0	0.0	0.000596	0.219826	0.0	0.053154	0.019039	0.116873	0.407726	1.302099	0.999822	0.99972	0.999411	0.999189	0.999071	0.999019	0.99893	0.998395	6.697805	0.761649	0.93622	12.0			
X222251-GM2216279-1-CEN-M-EGG5	targets	685969.0	1.0	3089252482.0	1722161923.0	4322990017.0	0.526735	0.473265	0.642067	4503.487012	0.334463	0.143127	1546.84257	13752266.0	5.925384	5.937372	5.957352	5.973336	5.982926	6.050059	685969.0	3137454505.0	63558792.0	63558792.0	9236458643.0	43636103.0	43540333.0	9134404422.0	6255641418.0	1321989522.0	1.0	0.686547	0.997805	1927.185517	1998.0	3721.0	0.0	0.000231	0.315156	0.0	0.042104	0.01346	0.108701	0.375886	1.249796	0.999894	0.999799	0.999566	0.999429	0.999391	0.999363	0.999302	0.99906	5.681178	0.650458	0.05434	0.0			
X222306-GM2216207-1-CEN-F-EGG5	targets	685969.0	1.0	1870580297.0	1067249710.0	2577905284.0	0.532627	0.467373	0.636722	2726.916664	0.335397	0.166283	1551.121749	11375290.0	5.363518	5.377119	5.390721	5.404323	5.417924	5.494093	685969.0	3137454505.0	38321726.0	38321726.0	5577218650.0	28163769.0	28110166.0	5515735291.0	4046720798.0	927397135.0	1.0	0.73493	0.998097	1351.951961	1365.0	3449.0	0.0	0.000346	0.266332	0.0	0.049069	0.015675	0.111888	0.388932	1.225704	0.9998	0.999781	0.999574	0.999396	0.999345	0.999245	0.999194	0.998955	4.93651	0.561985	0.103904	0.0			
X222382-GM2216938-1-CEN-M-EGG5	targets	685969.0	1.0	3328096041.0	1869207339.0	4765563165.0	0.521667	0.478333	0.640351	4851.671199	0.330364	0.13634	1527.86325	13876215.0	5.936004	5.949083	5.962163	5.975242	5.98309	6.056335	685969.0	3137454505.0	69404662.0	69404662.0	10074019177.0	46033183.0	45934078.0	9962866545.0	6590421445.0	1373491709.0	1.0	0.663258	0.997847	2002.264984	2086.0	3882.0	0.0	0.000231	0.338501	0.0	0.049507	0.0131	0.101635	0.359428	1.233681	0.999809	0.999802	0.999605	0.999494	0.999388	0.999324	0.999243	0.999042	4.892923	0.726405	0.044454	0.0			
X222383-GM2216982-1-CEN-M-EGG5	targets	685969.0	1.0	2490290953.0	1350144714.0	3417099027.0	0.529165	0.470835	0.64844	3630.325792	0.339261	0.158848	1569.400973	13630401.0	5.712179	5.730431	5.742599	5.757809	5.774236	5.847244	685969.0	3137454505.0	50753596.0	50753596.0	7340346577.0	36693962.0	36614396.0	7257534694.0	5235282514.0	1166001014.0	1.0	0.722983	0.997832	1699.786745	1753.0	5951.0	0.0	0.000403	0.278642	0.0	0.046918	0.015054	0.119877	0.378884	1.270394	0.999796	0.999781	0.999513	0.999414	0.999345	0.999312	0.999238	0.999029	6.049686	0.680624	0.083284	0.0			
X222428-GM2216937-1-CEN-F-EGG5	targets	685969.0	1.0	2443127354.0	1369026761.0	3289261618.0	0.536816	0.463184	0.640878	3561.571083	0.340292	0.161663	1573.526696	13692177.0	5.421706	5.430604	5.439501	5.457296	5.467973	5.532035	685969.0	3137454505.0	49534516.0	49534516.0	7179494859.0	35866813.0	35799758.0	7101415733.0	5132514205.0	1160660264.0	1.0	0.724077	0.99813	1692.001044	1707.0	3704.0	0.0	0.000173	0.277255	0.0	0.04625	0.015906	0.114418	0.382763	1.222544	0.999981	0.999792	0.999539	0.99942	0.99936	0.99924	0.99921	0.999017	5.097405	0.533062	0.021869	0.0			
X222429-GM2217053-1-CEN-M-EGG5	targets	685969.0	1.0	2034672848.0	1152629573.0	2845408140.0	0.528337	0.471663	0.638368	2966.129443	0.333301	0.159031	1542.606112	11220476.0	5.627548	5.642605	5.657662	5.672719	5.693799	5.772096	685969.0	3137454505.0	41755870.0	41755870.0	6104615174.0	29956544.0	29884037.0	6032710561.0	4321790781.0	970825652.0	1.0	0.717421	0.99758	1415.261698	1463.0	3751.0	0.0	0.000384	0.283607	0.0	0.051144	0.016092	0.108695	0.379567	1.260251	0.99994	0.999825	0.999466	0.999373	0.999327	0.999248	0.999198	0.998975	5.444997	0.729414	0.126657	1.0			
X222430-GM2217056-1-CEN-F-EGG5	targets	685969.0	1.0	1571868645.0	884898737.0	2159834122.0	0.532159	0.467841	0.639812	2291.45726	0.336589	0.182404	1557.280371	12371520.0	5.309433	5.320521	5.339002	5.353787	5.367093	5.43806	685969.0	3137454505.0	32191120.0	32191120.0	4670000396.0	25181688.0	25129755.0	4616601504.0	3605226669.0	851827233.0	1.0	0.782256	0.997938	1241.786776	1238.0	4029.0	0.0	0.000384	0.219073	0.0	0.051805	0.017265	0.122362	0.405015	1.251801	0.999612	0.999525	0.999242	0.999163	0.999086	0.999012	0.998943	0.998717	6.040445	0.579592	0.185558	1.0			
