Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2746918075.0	1330449511.0	3208572025.0	0.559621	0.440379	0.673699	4004.434712	0.372645	0.149395	1724.380437	11494925.0	5.489752	5.498987	5.520537	5.535929	5.552553	5.626438	685969.0	3137454505.0	51506392.0	51506392.0	7371400892.0	33609223.0	33531781.0	7285939611.0	4747028705.0	1101252427.0	1.0	0.652525	0.997696	1605.396785	1614.0	3183.0	0.0	0.000307	0.348467	0.0	0.045723	0.011373	0.128329	0.314997	1.269088	0.999802	0.999789	0.999558	0.999396	0.999278	0.999184	0.999138	0.998901	7.281593	0.296387	0.06109	0.0			
X222517-GM2219014-1-CEN-F-EGG5	targets	685969.0	1.0	2590810695.0	1290729240.0	3503414367.0	0.525601	0.474399	0.66747	3776.86265	0.346334	0.135556	1604.577937	9831638.0	8.175624	8.214625	8.247126	8.273127	8.312128	8.514935	685969.0	3137454505.0	51678276.0	51678276.0	7480661823.0	33503269.0	33407518.0	7384954302.0	4776642268.0	1014046884.0	1.0	0.648305	0.997142	1478.269257	1333.0	4836.0	0.0	0.000307	0.353193	0.0	0.049404	0.012304	0.112179	0.335643	1.72695	0.999905	0.99979	0.999714	0.999622	0.999461	0.999372	0.999281	0.999119	17.703271	0.414841	0.312923	2.0			
X222519-GM2217613-1-CEN-F-EGG5	targets	685969.0	1.0	2019483421.0	1094017677.0	2738368059.0	0.532052	0.467948	0.648621	2943.986421	0.341155	0.170586	1578.40567	12721401.0	5.285355	5.299463	5.308868	5.327678	5.338965	5.406682	685969.0	3137454505.0	40683244.0	40683244.0	5919553631.0	29786425.0	29725413.0	5851869157.0	4282515786.0	1009792179.0	1.0	0.732155	0.997952	1472.066783	1481.0	3834.0	0.0	0.000346	0.26818	0.0	0.049279	0.014338	0.122999	0.37268	1.2433	0.999962	0.999742	0.999404	0.999337	0.999198	0.999128	0.999076	0.998834	5.274548	0.6138	0.070499	0.0			
X222523-gm2217390-1-CEN-M-EGG5	targets	685969.0	1.0	2231899501.0	1188550352.0	3037254471.0	0.52967	0.47033	0.652516	3253.644845	0.341186	0.155518	1580.772697	11293978.0	5.840014	5.85607	5.872126	5.888182	5.904238	5.994151	685969.0	3137454505.0	44830912.0	44830912.0	6541590440.0	31155070.0	31059732.0	6457704324.0	4482277078.0	1017334775.0	1.0	0.694946	0.99694	1483.062318	1487.0	4332.0	0.0	0.00025	0.305902	0.0	0.049025	0.015023	0.115025	0.357521	1.320625	0.999961	0.999819	0.999625	0.999461	0.999379	0.999208	0.999124	0.998923	8.348994	0.69088	0.129319	1.0			
X222536-GM2217700-1-CEN-M-EGG5	targets	685969.0	1.0	2310190501.0	1247364001.0	3044478716.0	0.538857	0.461143	0.649376	3367.776825	0.345917	0.163309	1600.453409	12508724.0	5.461587	5.477669	5.491071	5.501792	5.52109	5.598284	685969.0	3137454505.0	45875490.0	45875490.0	6678459683.0	32012404.0	31948428.0	6602033218.0	4605815397.0	1090651014.0	1.0	0.697811	0.998002	1589.942131	1639.0	4166.0	0.0	0.000346	0.302364	0.0	0.043797	0.013972	0.114809	0.359893	1.290537	0.999771	0.999742	0.999392	0.999313	0.999275	0.999156	0.999083	0.998896	6.110096	0.692048	0.100586	0.0			
X222550-GM2217611-1-CEN-M-EGG5	targets	685969.0	1.0	1917969340.0	1022127820.0	2526169535.0	0.537862	0.462138	0.652349	2796.000023	0.346658	0.166137	1604.810625	10895738.0	5.550125	5.563492	5.57686	5.596911	5.614288	5.69984	685969.0	3137454505.0	37873516.0	37873516.0	5532745243.0	27155890.0	27097745.0	5466266695.0	3915323427.0	919193839.0	1.0	0.717015	0.997859	1339.993264	1372.0	4102.0	0.0	0.000307	0.28373	0.0	0.04373	0.014878	0.121834	0.367708	1.298443	0.999803	0.999778	0.999404	0.999265	0.999109	0.999047	0.999003	0.998834	6.761784	0.679692	0.166865	1.0			
X222558-GM2218021-1-CEN-F-EGG5	targets	685969.0	1.0	1834671076.0	940593082.0	2279580294.0	0.549031	0.450969	0.66108	2674.568495	0.358365	0.164993	1660.058396	9958820.0	5.447077	5.459654	5.480615	5.497384	5.507445	5.608059	685969.0	3137454505.0	35350168.0	35350168.0	5119560693.0	25401631.0	25334572.0	5054844452.0	3624489635.0	844691780.0	1.0	0.718572	0.99736	1231.384771	1213.0	5145.0	0.0	0.000384	0.282967	0.0	0.046984	0.014631	0.131084	0.357268	1.264255	0.999933	0.999557	0.999375	0.999328	0.999236	0.999085	0.99902	0.99874	6.994197	0.596551	0.203275	1.0			
X222559-GM2218052-1-CEN-M-EGG5	targets	685969.0	1.0	1730935273.0	907769871.0	2334902648.0	0.530541	0.469459	0.655979	2523.34329	0.343998	0.173459	1591.777057	11440633.0	5.497707	5.521582	5.53352	5.545458	5.562171	5.648123	685969.0	3137454505.0	34699336.0	34699336.0	5031823081.0	25790687.0	25740337.0	4973607792.0	3695702224.0	872814225.0	1.0	0.743262	0.998048	1272.381441	1307.0	3334.0	0.0	0.000346	0.256937	0.0	0.053818	0.015834	0.129266	0.368694	1.295704	0.999959	0.999768	0.999366	0.999303	0.999195	0.999095	0.999023	0.998786	6.100483	0.781257	0.194758	1.0			
X222560-GM2219123-1-CEN-M-EGG5	targets	685969.0	1.0	1761986647.0	934321587.0	2364874540.0	0.532743	0.467257	0.653481	2568.609729	0.344049	0.174123	1592.295028	11611047.0	5.464326	5.47648	5.488634	5.500788	5.517804	5.605313	685969.0	3137454505.0	35226626.0	35226626.0	5121326798.0	26166768.0	26112703.0	5061182774.0	3757790157.0	891738472.0	1.0	0.742812	0.997934	1299.969054	1340.0	4352.0	0.0	0.000423	0.257527	0.0	0.045666	0.015682	0.129136	0.375835	1.292216	0.999936	0.999867	0.999354	0.999262	0.999115	0.999052	0.998982	0.998789	5.967428	0.718005	0.181222	1.0			
X222587-GM2220254-1-CEN-F-EGG5	targets	685969.0	1.0	2453538237.0	1262073048.0	2962737656.0	0.556367	0.443633	0.660332	3576.747983	0.363079	0.153885	1680.338085	11061506.0	5.30512	5.313552	5.330416	5.34728	5.364144	5.438347	685969.0	3137454505.0	46812282.0	46812282.0	6757595725.0	31367139.0	31290541.0	6678348941.0	4469580791.0	1039895432.0	1.0	0.670062	0.997558	1515.951059	1521.0	3153.0	0.0	0.000365	0.330736	0.0	0.049878	0.012843	0.118427	0.332441	1.23048	0.999351	0.999098	0.998888	0.998713	0.99864	0.998574	0.998474	0.997758	5.627041	0.566512	0.05313	0.0			
