Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2141866335.0	1056551448.0	2668218372.0	0.545188	0.454812	0.669664	3122.395232	0.360063	0.167239	1669.844989	11910186.0	7.667515	7.696597	7.730526	7.754761	7.780935	7.943793	685969.0	3137454505.0	41336518.0	41336518.0	5948588231.0	29878652.0	29793440.0	5866636155.0	4239522688.0	994835583.0	1.0	0.722815	0.997148	1450.26318	1390.0	3801.0	0.0	0.000403	0.27735	0.0	0.054832	0.014858	0.131683	0.351739	1.792662	0.999796	0.999776	0.999727	0.999516	0.999427	0.999296	0.999187	0.998947	16.91475	0.379495	0.29908	2.0			
X221389-GM2211642-1-CEN-F-EGG5	targets	685969.0	1.0	1810874271.0	937695094.0	2363774703.0	0.537634	0.462366	0.658842	2639.877707	0.349265	0.179473	1620.097571	12973549.0	5.297922	5.310112	5.322302	5.334492	5.341806	5.410068	685969.0	3137454505.0	35923842.0	35923842.0	5184815566.0	27217256.0	27135435.0	5112344068.0	3875393217.0	930532419.0	1.0	0.757638	0.996994	1356.522553	1347.0	2726.0	0.0	0.000403	0.241954	0.0	0.055062	0.017246	0.135111	0.368647	1.267778	0.999796	0.999777	0.999407	0.999293	0.999154	0.999052	0.999006	0.998605	6.548284	0.675317	0.129063	1.0			
X221393-GM2207981-1-CEN-F-EGG5	targets	685969.0	1.0	1387318736.0	719742451.0	1784258670.0	0.541477	0.458523	0.658414	2022.421911	0.35203	0.184643	1630.618137	10716382.0	5.112006	5.121274	5.13672	5.149078	5.171321	5.245464	685969.0	3137454505.0	27339718.0	27339718.0	3940912574.0	21173842.0	21129680.0	3891319857.0	3015721694.0	727662587.0	1.0	0.774472	0.997914	1060.78057	1069.0	3347.0	0.0	0.000519	0.225013	0.0	0.049303	0.016591	0.143033	0.379104	1.229178	0.999786	0.999759	0.999388	0.999127	0.999015	0.998949	0.998879	0.998536	4.321725	0.786139	0.3435	2.0			
X221394-GM2209532-1-CEN-F-EGG5	targets	685969.0	1.0	1253816192.0	600247261.0	1589812132.0	0.538365	0.461635	0.676253	1827.802994	0.359358	0.188724	1665.173029	10812390.0	5.185192	5.201389	5.212187	5.233783	5.246741	5.330967	685969.0	3137454505.0	24463002.0	24463002.0	3489041315.0	19398963.0	19357499.0	3443875585.0	2733395653.0	658464526.0	1.0	0.792992	0.997863	959.904203	964.0	2235.0	0.0	0.000538	0.206302	0.0	0.051779	0.016456	0.170383	0.363929	1.245012	0.999786	0.999758	0.999292	0.999071	0.99894	0.998799	0.998662	0.997886	5.223302	0.780297	0.529317	3.0			
X221408-GM2211563-1-CEN-M-EGG5	targets	685969.0	1.0	1595910344.0	816415052.0	2100739650.0	0.53452	0.46548	0.661565	2326.505052	0.34893	0.177237	1617.371716	11153966.0	5.606291	5.628012	5.646112	5.660592	5.677968	5.76485	685969.0	3137454505.0	31714620.0	31714620.0	4573721457.0	24080097.0	24021769.0	4513065046.0	3428931379.0	810633904.0	1.0	0.759274	0.997578	1181.735478	1198.0	3265.0	0.0	0.000384	0.240221	0.0	0.050327	0.01753	0.138494	0.373848	1.321852	0.999965	0.99977	0.999491	0.999303	0.999143	0.999068	0.999019	0.998727	7.56645	0.73548	0.258062	1.0			
X221468-GM2211825-1-CEN-M-EGG5	targets	685969.0	1.0	1514273050.0	783482448.0	1993205314.0	0.535487	0.464513	0.659023	2207.494872	0.347986	0.181874	1614.070842	11355510.0	5.444784	5.455018	5.475487	5.485721	5.508236	5.590111	685969.0	3137454505.0	30132660.0	30132660.0	4351532005.0	23175043.0	23097133.0	4290960812.0	3302151718.0	791428620.0	1.0	0.7691	0.996638	1153.738172	1182.0	2181.0	0.0	0.000403	0.23044	0.0	0.055154	0.016808	0.137023	0.376173	1.300719	0.999796	0.999773	0.999375	0.999207	0.999095	0.999017	0.998904	0.998475	6.291258	0.844951	0.267444	1.0			
X221761-GM2211753-1-CEN-F-EGG5	targets	685969.0	1.0	1827344525.0	902682330.0	2299123210.0	0.542841	0.457159	0.66935	2663.887909	0.35869	0.171726	1661.876662	10998115.0	5.858173	5.870429	5.886771	5.907198	5.92926	6.027311	685969.0	3137454505.0	35243358.0	35243358.0	5094490099.0	25869798.0	25806380.0	5029150065.0	3690700856.0	874854683.0	1.0	0.734033	0.997549	1275.356004	1218.0	4848.0	0.0	0.000269	0.266138	0.0	0.053762	0.015152	0.137861	0.353168	1.383249	0.999943	0.999783	0.9995	0.999408	0.999238	0.999098	0.999048	0.998647	10.827141	0.471366	0.25634	1.0			
X221774-GM2212070-1-CEN-F-EGG5	targets	685969.0	1.0	1556818233.0	797737263.0	2061248940.0	0.533211	0.466789	0.661194	2269.516892	0.348021	0.183116	1612.504834	11840944.0	5.331512	5.34202	5.356032	5.373547	5.392462	5.459718	685969.0	3137454505.0	30835848.0	30835848.0	4473349371.0	23843177.0	23775917.0	4415804436.0	3414781143.0	819143462.0	1.0	0.773229	0.997179	1194.140642	1183.0	3221.0	0.0	0.000442	0.226691	0.0	0.058157	0.015852	0.139187	0.374647	1.275791	0.999611	0.999561	0.999239	0.99913	0.998991	0.998905	0.99884	0.998532	6.801672	0.550712	0.239766	1.0			
X221775-GM2211778-1-CEN-F-EGG5	targets	685969.0	1.0	1323011740.0	678829518.0	1637168897.0	0.550106	0.449894	0.660897	1928.675698	0.358539	0.188945	1662.85116	10344540.0	5.076805	5.094094	5.108501	5.120027	5.140773	5.223759	685969.0	3137454505.0	25491600.0	25491600.0	3690005512.0	19817836.0	19760894.0	3639010155.0	2829857316.0	697207066.0	1.0	0.777426	0.997127	1016.382761	1021.0	2333.0	0.0	0.000346	0.222355	0.0	0.046185	0.018561	0.14454	0.376805	1.247095	0.999741	0.999601	0.999345	0.999208	0.999066	0.999009	0.998952	0.998472	5.322551	0.545723	0.418636	2.0			
X221796-GM2212085-1-CEN-F-EGG5	targets	685969.0	1.0	1733731855.0	903987396.0	2161474235.0	0.549617	0.450383	0.657284	2527.420124	0.356863	0.17793	1652.291302	11129109.0	5.139449	5.151007	5.166418	5.174123	5.197239	5.271211	685969.0	3137454505.0	33464632.0	33464632.0	4858250202.0	24710542.0	24659019.0	4799193486.0	3544837453.0	864430002.0	1.0	0.738408	0.997915	1260.15899	1264.0	3420.0	0.0	0.000442	0.261368	0.0	0.047381	0.014974	0.130387	0.365807	1.248919	0.999783	0.99972	0.99923	0.999114	0.998985	0.99888	0.998834	0.998434	5.609604	0.645416	0.172679	1.0			
X221810-GM2212058-1-CEN-F-EGG5	targets	685969.0	1.0	1511682713.0	794497333.0	1927738425.0	0.544692	0.455308	0.655492	2203.7187	0.352753	0.183672	1633.018494	11096633.0	5.099433	5.109518	5.129688	5.139773	5.153892	5.226505	685969.0	3137454505.0	29707134.0	29707134.0	4285381296.0	22606265.0	22560211.0	4233918471.0	3225750754.0	787104260.0	1.0	0.760971	0.997963	1147.434155	1155.0	2374.0	0.0	0.000346	0.238117	0.0	0.04956	0.015317	0.134935	0.376204	1.240469	0.9998	0.999773	0.999417	0.999306	0.999153	0.999087	0.998994	0.998754	5.022422	0.676955	0.254584	1.0			
X221811-GM2211868-1-CEN-M-EGG5	targets	685969.0	1.0	1574966993.0	819201078.0	2123219700.0	0.529989	0.470011	0.657835	2295.974006	0.344424	0.180915	1594.619358	11936277.0	5.502416	5.51323	5.531252	5.54567	5.562972	5.632178	685969.0	3137454505.0	31687628.0	31687628.0	4572754067.0	24520009.0	24473595.0	4517387771.0	3498051577.0	827280721.0	1.0	0.773804	0.998107	1206.003072	1239.0	2888.0	0.0	0.000403	0.225647	0.0	0.055285	0.015931	0.136913	0.38313	1.296777	0.999886	0.999774	0.999396	0.999321	0.9992	0.999093	0.999025	0.998791	6.070368	0.762736	0.231718	1.0			
X221825-GM2212017-1-CEN-M-EGG5	targets	685969.0	1.0	1647060423.0	835442089.0	2086587812.0	0.543325	0.456675	0.663468	2401.071219	0.355933	0.181154	1648.74213	11440825.0	5.468528	5.490552	5.508906	5.523589	5.532399	5.620496	685969.0	3137454505.0	31959956.0	31959956.0	4627445971.0	24324478.0	24264730.0	4569090324.0	3477760169.0	838282464.0	1.0	0.761092	0.997544	1222.041323	1241.0	3897.0	0.0	0.0005	0.238851	0.0	0.052603	0.015336	0.138669	0.371112	1.315437	0.999789	0.999774	0.999499	0.999366	0.999275	0.999198	0.999144	0.998841	7.367655	0.644018	0.233466	1.0			
X221845-GM2212214-1-CEN-M-EGG5	targets	685969.0	1.0	1778344946.0	895850796.0	2294839319.0	0.538172	0.461828	0.665002	2592.456723	0.353357	0.171865	1636.880184	10933316.0	5.556759	5.568829	5.584921	5.605037	5.626762	5.713661	685969.0	3137454505.0	34773644.0	34773644.0	5032713531.0	25578084.0	25517019.0	4969035061.0	3655792722.0	864946449.0	1.0	0.735559	0.997613	1260.911862	1283.0	3562.0	0.0	0.000423	0.264285	0.0	0.054895	0.015217	0.133803	0.35777	1.310719	0.999794	0.999637	0.999398	0.999331	0.999217	0.999092	0.999047	0.998783	7.041617	0.713557	0.208253	1.0			
X221847-GM2212555-1-CEN-M-EGG5	targets	685969.0	1.0	1600411959.0	827034265.0	2100097890.0	0.536151	0.463849	0.659299	2333.06747	0.348844	0.181812	1616.746929	11755793.0	5.511175	5.532864	5.547323	5.554553	5.576242	5.654323	685969.0	3137454505.0	31664976.0	31664976.0	4587754121.0	24339830.0	24277884.0	4527544114.0	3481183684.0	834110700.0	1.0	0.768667	0.997455	1215.959759	1241.0	3294.0	0.0	0.000519	0.23111	0.0	0.0534	0.017162	0.136006	0.37813	1.3174	0.999787	0.999692	0.999413	0.999302	0.999149	0.99909	0.999045	0.99877	7.031308	0.715816	0.235589	1.0			
