Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2383762760.0	1333036684.0	3208126160.0	0.536728	0.463272	0.641348	3475.029863	0.339794	0.159486	1574.420972	12695429.0	5.535699	5.552756	5.569813	5.578341	5.597104	5.665332	685969.0	3137454505.0	48104630.0	48104630.0	7015320090.0	33569218.0	33494160.0	6924925604.0	4827495607.0	1118844624.0	1.0	0.697838	0.997764	1631.042546	1638.0	3255.0	0.0	0.000288	0.302881	0.0	0.043817	0.015955	0.10925	0.366561	1.280253	0.999862	0.999783	0.999536	0.999477	0.999363	0.999242	0.999185	0.999006	7.015834	0.434282	0.05412	0.0			
X221407-GM2211578-1-CEN-F-EGG5	targets	685969.0	1.0	1553628651.0	876548746.0	2186563426.0	0.526384	0.473616	0.639307	2264.867146	0.332284	0.170565	1539.163211	10367045.0	5.421078	5.443592	5.458601	5.466105	5.488619	5.569669	685969.0	3137454505.0	31959068.0	31959068.0	4675603935.0	24090706.0	24044302.0	4616740823.0	3475054568.0	797496512.0	1.0	0.753799	0.998074	1162.583895	1171.0	2841.0	0.0	0.000307	0.247293	0.0	0.047026	0.016453	0.119557	0.396966	1.240751	0.99995	0.999655	0.999418	0.999334	0.999242	0.999154	0.999063	0.998778	5.392264	0.613576	0.241192	1.0			
X221880-GM2212166-1-CEN-F-EGG5	targets	685969.0	1.0	1666138221.0	963529982.0	2555502949.0	0.507152	0.492848	0.633593	2428.882677	0.316801	0.176389	1469.67355	13754719.0	5.545636	5.557855	5.578221	5.582294	5.594513	5.662941	685969.0	3137454505.0	35880960.0	35880960.0	5259263376.0	27909659.0	27828969.0	5185171152.0	4028766675.0	927677389.0	1.0	0.77784	0.997109	1352.360513	1333.0	2858.0	0.0	0.000288	0.223021	0.0	0.058243	0.017964	0.115691	0.406202	1.274609	0.999335	0.999079	0.998803	0.998638	0.9985	0.998442	0.998394	0.998182	5.735408	0.714284	0.133189	1.0			
X221883-GM098642-1-CEN-M-EGG5	targets	685969.0	1.0	1338105463.0	723007897.0	1951465299.0	0.513663	0.486337	0.649215	1950.679204	0.328286	0.170979	1525.245429	9197139.0	8.329997	8.368643	8.407289	8.455597	8.50004	8.731917	685969.0	3137454505.0	27855490.0	27855490.0	4076035076.0	21054453.0	20991235.0	4012578659.0	3028379298.0	696916783.0	1.0	0.755846	0.996997	1015.959589	948.0	3222.0	0.0	0.00048	0.245279	0.0	0.057006	0.018992	0.116745	0.388327	1.906116	0.999608	0.999586	0.999455	0.999184	0.999055	0.99899	0.998878	0.997893	19.012955	0.398457	0.511865	3.0			
X221890-GM2212647-1-CEN-M-EGG5	targets	685969.0	1.0	2132034912.0	1206821849.0	3156368843.0	0.514048	0.485952	0.638552	3108.063064	0.323445	0.164571	1501.319131	13820571.0	5.84874	5.864618	5.88579	5.896375	5.902727	5.978943	685969.0	3137454505.0	45015608.0	45015608.0	6591641401.0	33677828.0	33574167.0	6495225604.0	4850883876.0	1084790555.0	1.0	0.748137	0.996922	1581.398802	1614.0	4179.0	0.0	0.000327	0.253162	0.0	0.050545	0.019346	0.113435	0.396532	1.305862	0.999961	0.999784	0.999475	0.999385	0.999222	0.999138	0.999106	0.998929	6.90498	0.76909	0.1034	0.0			
X221962-GM2213793-1-CEN-F-EGG5	targets	685969.0	1.0	1896101061.0	1110538686.0	2777223491.0	0.519832	0.480168	0.630638	2764.120625	0.323574	0.158291	1499.396225	11024429.0	5.506032	5.520431	5.53963	5.549229	5.566508	5.647143	685969.0	3137454505.0	39958110.0	39958110.0	5859864393.0	29102724.0	29037899.0	5783863238.0	4205415228.0	927561309.0	1.0	0.728331	0.997773	1352.191293	1378.0	3192.0	0.0	0.000288	0.272905	0.0	0.044457	0.016601	0.10847	0.397228	1.211641	0.999824	0.999625	0.999415	0.999369	0.999255	0.999157	0.999089	0.99891	3.817083	0.691781	0.094282	0.0			
X221966-GM2201156-1-CEN-M-EGG5	targets	685969.0	1.0	1846787864.0	867482887.0	2619276078.0	0.508905	0.491095	0.680399	2692.23225	0.341657	0.182461	1583.703391	17326719.0	6.173702	6.186039	6.198376	6.210712	6.227984	6.297069	685969.0	3137454505.0	37909302.0	37909302.0	5405385566.0	30342449.0	30283930.0	5333546829.0	4268523178.0	986270545.0	1.0	0.800396	0.998071	1437.777137	1414.0	3940.0	0.0	0.000403	0.199684	0.0	0.067434	0.014306	0.170072	0.363635	1.423542	0.999913	0.999776	0.999558	0.999373	0.999246	0.999168	0.999052	0.998729	10.437276	0.71933	0.18379	1.0			
X222014-GM2213948-1-CEN-F-EGG5	targets	685969.0	1.0	2004709219.0	1122485995.0	2755417031.0	0.5316	0.4684	0.641057	2922.44871	0.336034	0.156857	1558.669769	10553661.0	5.517512	5.53202	5.551364	5.56829	5.578446	5.671298	685969.0	3137454505.0	40883786.0	40883786.0	5965794041.0	28445790.0	28360712.0	5882612245.0	4086551700.0	935775459.0	1.0	0.695772	0.997009	1364.165814	1366.0	2819.0	0.0	0.000192	0.305317	0.0	0.050561	0.016406	0.10749	0.361181	1.259618	0.999876	0.999786	0.999437	0.999351	0.999281	0.99922	0.999127	0.998912	6.330464	0.536771	0.119547	1.0			
X222018-GM2214277-1-CEN-F-EGG5	targets	685969.0	1.0	2100955214.0	1154288700.0	3076374397.0	0.514125	0.485875	0.645406	3062.755334	0.327087	0.147339	1517.661844	10302354.0	7.580964	7.613307	7.645649	7.677992	7.716803	7.872048	685969.0	3137454505.0	43899200.0	43899200.0	6423238366.0	30815550.0	30737703.0	6331618311.0	4433274622.0	946392874.0	1.0	0.701962	0.997474	1379.643794	1323.0	4147.0	0.0	0.00025	0.29982	0.0	0.053388	0.016299	0.107471	0.373583	1.613618	0.999905	0.999786	0.999633	0.999455	0.999392	0.999372	0.999319	0.999035	14.991761	0.333872	0.298479	2.0			
X222067-GM2215148-1-CEN-F-EGG5	targets	685969.0	1.0	2089008058.0	1178503285.0	2806506409.0	0.537949	0.462051	0.639327	3045.338868	0.339495	0.159233	1573.030001	11147927.0	5.38732	5.402406	5.422521	5.432579	5.450682	5.523097	685969.0	3137454505.0	42175912.0	42175912.0	6153287880.0	29685262.0	29613380.0	6074017752.0	4268970065.0	979806228.0	1.0	0.703844	0.997579	1428.353509	1439.0	2986.0	0.0	0.00025	0.297175	0.0	0.043618	0.015151	0.110133	0.372644	1.233466	0.999752	0.999678	0.999427	0.999318	0.999214	0.999118	0.999079	0.998883	5.381561	0.556363	0.08074	0.0			
X222086-GM2214111-1-CEN-M-EGG5	targets	685969.0	1.0	2318280527.0	1304013035.0	3152041700.0	0.534708	0.465292	0.640003	3379.570399	0.337081	0.151744	1565.208683	11242233.0	5.61702	5.633779	5.647745	5.658917	5.685731	5.766172	685969.0	3137454505.0	47133222.0	47133222.0	6877524710.0	31702468.0	31581769.0	6774335262.0	4548104807.0	1043626033.0	1.0	0.672614	0.996193	1521.389499	1570.0	4492.0	0.0	0.000365	0.328627	0.0	0.044082	0.01599	0.102473	0.354802	1.284957	0.999964	0.999845	0.99942	0.999363	0.999322	0.999224	0.9992	0.99899	6.050093	0.731124	0.110928	1.0			
X222112-GM2214372-1-CEN-M-EGG5	targets	685969.0	1.0	2251763744.0	1263108407.0	3212453719.0	0.522477	0.477523	0.640639	3282.602777	0.330364	0.144557	1530.922846	10322177.0	5.890225	5.907256	5.924288	5.941319	5.958351	6.053727	685969.0	3137454505.0	46732758.0	46732758.0	6816002523.0	31350912.0	31274363.0	6727325870.0	4505585886.0	985301466.0	1.0	0.670855	0.997558	1436.364422	1480.0	2738.0	0.0	0.000288	0.330256	0.0	0.047082	0.014736	0.102566	0.358928	1.283614	0.999952	0.999784	0.999436	0.999335	0.999226	0.999136	0.999103	0.998933	6.309763	0.717378	0.130846	1.0			
X222119-GM2214380-1-CEN-F-EGG5	targets	685969.0	1.0	2076955154.0	1171986120.0	2726422645.0	0.543723	0.456277	0.639271	3027.768243	0.342375	0.160309	1589.775157	11123835.0	5.353325	5.368112	5.385363	5.405079	5.416908	5.499715	685969.0	3137454505.0	41634116.0	41634116.0	6066311662.0	29212054.0	29113245.0	5975363919.0	4186976252.0	972486436.0	1.0	0.701637	0.996618	1417.682776	1422.0	3572.0	0.0	0.000269	0.299294	0.0	0.042163	0.018001	0.108845	0.36898	1.240317	0.999806	0.999781	0.999497	0.999399	0.999341	0.999233	0.99915	0.998997	5.672207	0.547323	0.083309	0.0			
X222120-GM2214408-1-CEN-M-EGG5	targets	685969.0	1.0	2342627331.0	1323392635.0	3115144253.0	0.540618	0.459382	0.639011	3415.062971	0.340721	0.149827	1580.05386	10751916.0	5.633892	5.650923	5.667955	5.684986	5.702018	5.790582	685969.0	3137454505.0	47077066.0	47077066.0	6875501721.0	31318570.0	31223072.0	6781164219.0	4504753771.0	1030137627.0	1.0	0.665262	0.996951	1501.726211	1542.0	2928.0	0.0	0.00025	0.335696	0.0	0.042003	0.014857	0.100319	0.355242	1.284625	0.999966	0.999898	0.99952	0.999423	0.999344	0.999262	0.999208	0.99902	6.457727	0.654798	0.112979	1.0			
X222121-GM2214129-1-CEN-F-EGG5	targets	685969.0	1.0	1386746124.0	792122318.0	1868920626.0	0.538286	0.461714	0.636452	2021.587162	0.338148	0.180155	1566.938801	10094241.0	5.217898	5.227559	5.24688	5.266202	5.277794	5.362809	685969.0	3137454505.0	28104286.0	28104286.0	4101008422.0	21283515.0	21237325.0	4047789068.0	3063486980.0	738815471.0	1.0	0.757305	0.99783	1077.039153	1078.0	2753.0	0.0	0.000423	0.24317	0.0	0.047276	0.017274	0.115502	0.394287	1.253829	0.999794	0.999764	0.999491	0.999345	0.999236	0.999141	0.999077	0.998799	5.836549	0.629121	0.347337	2.0			
X222122-GM2213753-1-CEN-M-EGG5	targets	685969.0	1.0	2316348330.0	1305513476.0	3222887284.0	0.529145	0.470855	0.639546	3376.753658	0.333666	0.147205	1547.815827	10820214.0	5.858215	5.875643	5.890165	5.910497	5.922696	6.020288	685969.0	3137454505.0	47514440.0	47514440.0	6942113720.0	32349436.0	32250532.0	6844749090.0	4650922092.0	1021915853.0	1.0	0.680834	0.996943	1489.740576	1531.0	4596.0	0.0	0.000173	0.320512	0.0	0.046918	0.01616	0.102462	0.364679	1.283153	0.999813	0.999754	0.999415	0.999343	0.999321	0.999211	0.999138	0.998985	6.342429	0.686148	0.117001	1.0			
X222124-GM2213783-1-CEN-M-EGG5	targets	685969.0	1.0	2335022268.0	1132284592.0	3287812927.0	0.513286	0.486714	0.67344	3403.976372	0.341458	0.177419	1580.996539	18222981.0	5.830682	5.846246	5.856623	5.869593	5.877375	5.939632	685969.0	3137454505.0	47883076.0	47883076.0	6838396412.0	36225706.0	36161561.0	6755119787.0	5118368956.0	1213259686.0	1.0	0.756545	0.998229	1768.680051	1777.0	3818.0	0.0	0.000365	0.242298	0.0	0.061473	0.01357	0.153193	0.349904	1.380703	0.999879	0.999703	0.999382	0.999309	0.999222	0.999141	0.999042	0.998754	6.554158	1.06577	0.099145	0.0			
X222125-GM2214544-1-CEN-M-EGG5	targets	685969.0	1.0	2557008138.0	1334064155.0	3559730517.0	0.522235	0.477765	0.657147	3727.585559	0.33857	0.17415	1569.646977	18251582.0	5.647595	5.656299	5.667904	5.673706	5.691114	5.746818	685969.0	3137454505.0	52329136.0	52329136.0	7552378982.0	38809807.0	38707896.0	7450802810.0	5525327208.0	1315244528.0	1.0	0.741648	0.997374	1917.35272	1946.0	4721.0	0.0	0.000288	0.258425	0.0	0.055271	0.015676	0.134822	0.359321	1.341744	0.999738	0.999602	0.999328	0.999206	0.999171	0.999054	0.998966	0.998746	7.056123	0.871262	0.069983	0.0			
X222126-GM2215373-1-CEN-F-EGG5	targets	685969.0	1.0	2307604253.0	1320736780.0	3215197942.0	0.530185	0.469815	0.635994	3364.006614	0.33278	0.14563	1542.245576	10559642.0	5.553502	5.570788	5.590954	5.605359	5.620917	5.703889	685969.0	3137454505.0	47514696.0	47514696.0	6934333844.0	31678864.0	31593897.0	6843538975.0	4554556165.0	1009843719.0	1.0	0.666717	0.997318	1472.141917	1491.0	3659.0	0.0	0.000288	0.334474	0.0	0.048657	0.014546	0.099098	0.355694	1.227808	0.999805	0.999786	0.999529	0.999475	0.999353	0.999257	0.999214	0.998926	5.141231	0.59753	0.063921	0.0			
