Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	1835688601.0	958408859.0	2607720908.0	0.517251	0.482749	0.656988	2676.051835	0.335378	0.156118	1554.289743	9691735.0	9.896009	9.949629	10.012186	10.070275	10.126576	10.42685	685969.0	3137454505.0	37631966.0	37631966.0	5473483500.0	26606020.0	26555261.0	5401818368.0	3814521030.0	854507141.0	1.0	0.707006	0.998092	1245.693524	1158.0	3327.0	0.0	0.000211	0.293845	0.0	0.054188	0.01768	0.113321	0.36281	2.204767	0.999984	0.999965	0.999714	0.999657	0.999504	0.999322	0.999267	0.999003	20.838773	0.570328	0.424004	2.0			
X221491-GM1112489-1-CEN-F-EGG5	targets	685969.0	1.0	1986619912.0	1003109111.0	2736894406.0	0.522075	0.477925	0.664482	2896.078266	0.341873	0.140588	1586.679116	8239325.0	10.928319	10.987352	11.075903	11.164453	11.253003	11.678045	685969.0	3137454505.0	39962246.0	39962246.0	5810994235.0	26451074.0	26369068.0	5726623429.0	3778318819.0	816955965.0	1.0	0.661902	0.9969	1190.951727	989.0	5451.0	0.0	0.000269	0.340219	0.0	0.066528	0.016478	0.104586	0.329561	2.344393	0.999977	0.999796	0.999641	0.999567	0.999408	0.999373	0.999321	0.998892	22.899676	0.915805	0.494997	3.0			
X221505-GM1401654-1-CEN-M-EGG5	targets	685969.0	1.0	1613679098.0	804673826.0	2108122299.0	0.534268	0.465732	0.667264	2352.408196	0.351891	0.152257	1630.534429	7272143.0	11.770765	11.886306	12.001847	12.094279	12.223685	12.852226	685969.0	3137454505.0	31609134.0	31609134.0	4585734363.0	21586916.0	21542234.0	4526475223.0	3081831513.0	698209056.0	1.0	0.682933	0.99793	1017.843454	764.0	5112.0	0.0	0.00025	0.319154	0.0	0.066546	0.014829	0.105829	0.339422	2.643749	0.999883	0.999787	0.999704	0.99964	0.999579	0.999519	0.999447	0.994784	26.009142	1.396991	0.582095	4.0			
X221508-GM1406304-1-CEN-F-EGG5	targets	685969.0	1.0	2417868341.0	1131211576.0	3133683627.0	0.53108	0.46892	0.681266	3524.7487	0.356668	0.110444	1654.8152	6270759.0	15.453214	15.643647	15.85947	16.062598	16.291117	17.479414	685969.0	3137454505.0	46631030.0	46631030.0	6779048086.0	26356679.0	26268589.0	6682763544.0	3751864426.0	748708571.0	1.0	0.565218	0.996658	1091.461234	598.0	4395.0	0.0	0.00025	0.438576	0.0	0.076812	0.011719	0.083091	0.277794	3.048774	0.999981	0.999923	0.999735	0.9997	0.999636	0.99958	0.999554	0.999063	29.37358	2.749133	0.643034	4.0			
X221512-GM1414267-1-CEN-F-EGG5	targets	685969.0	1.0	1975191081.0	920836733.0	2398449620.0	0.54699	0.45301	0.682035	2879.41741	0.367662	0.127833	1706.314029	6059742.0	15.307972	15.510974	15.733309	15.945977	16.189578	17.535187	685969.0	3137454505.0	37059588.0	37059588.0	5372308573.0	22381716.0	22315646.0	5294477434.0	3180015731.0	686760989.0	1.0	0.603939	0.997048	1001.154555	557.0	4301.0	0.0	0.000423	0.399371	0.0	0.07032	0.01308	0.092482	0.295063	3.26109	0.999875	0.999828	0.99971	0.999652	0.999631	0.999583	0.999512	0.999017	30.280047	2.347434	0.649357	5.0			
X221533-GM1601267-1-CEN-F-EGG5	targets	685969.0	1.0	2052139662.0	1031281738.0	2710711679.0	0.532163	0.467837	0.66554	2991.592422	0.349252	0.129006	1619.911899	7063767.0	11.117671	11.211654	11.305637	11.39962	11.493604	12.044971	685969.0	3137454505.0	40418770.0	40418770.0	5875808252.0	25439671.0	25367690.0	5794133079.0	3631746960.0	758014919.0	1.0	0.629402	0.997171	1105.027952	890.0	4497.0	0.0	0.000346	0.373203	0.0	0.060623	0.016773	0.097687	0.32092	2.302142	0.999864	0.999781	0.999727	0.999662	0.999641	0.999605	0.99952	0.999133	22.967141	1.018409	0.532007	3.0			
X221539-GM1610658-1-CEN-M-EGG5	targets	685969.0	1.0	1951818613.0	1023588896.0	2879573106.0	0.508184	0.491816	0.655984	2845.345217	0.329038	0.142577	1524.70892	8935568.0	10.161282	10.221137	10.285979	10.355809	10.409678	10.756834	685969.0	3137454505.0	40897562.0	40897562.0	5931886823.0	27939504.0	27866010.0	5854980615.0	3989675506.0	845751377.0	1.0	0.683158	0.99737	1232.929443	1186.0	2745.0	0.0	0.000269	0.318584	0.0	0.055854	0.01499	0.109714	0.356441	2.140503	0.999924	0.999787	0.999681	0.999627	0.999551	0.99934	0.999297	0.997663	19.909475	0.501286	0.411245	2.0			
X221543-GM1701755-1-CEN-F-EGG5	targets	685969.0	1.0	1922706210.0	1034545575.0	2920503606.0	0.503126	0.496874	0.650167	2802.905394	0.323037	0.127741	1496.14735	7447963.0	7.154834	7.1862	7.228022	7.264616	7.292846	7.493589	685969.0	3137454505.0	41030630.0	41030630.0	5951976357.0	26821797.0	26762544.0	5877755391.0	3830722765.0	760310793.0	1.0	0.653702	0.997791	1108.374858	1037.0	2523.0	0.0	0.00025	0.348268	0.0	0.052646	0.014739	0.102608	0.352416	1.413743	0.999981	0.999949	0.999675	0.999547	0.999421	0.999341	0.999265	0.998987	11.52496	0.602761	0.440914	3.0			
X221577-GM1818200-1-CEN-F-EGG5	targets	685969.0	1.0	1511289344.0	829700172.0	2180204244.0	0.517781	0.482219	0.645577	2203.14525	0.330166	0.165225	1528.859048	9679375.0	5.492286	5.514101	5.528645	5.546824	5.557732	5.662445	685969.0	3137454505.0	31593840.0	31593840.0	4577361541.0	23210174.0	23168788.0	4521193760.0	3318863154.0	756296028.0	1.0	0.734642	0.998217	1102.522166	1109.0	2850.0	0.0	0.000403	0.265932	0.0	0.043214	0.017699	0.122014	0.383897	1.247197	0.999924	0.999834	0.999464	0.999278	0.999173	0.99907	0.999013	0.998732	5.396919	0.657675	0.304966	2.0			
X221590-GM1905799-1-CEN-F-EGG5	targets	685969.0	1.0	2105063458.0	1010942184.0	2521957186.0	0.552683	0.447317	0.675565	3068.744299	0.368161	0.15096	1707.717117	8595569.0	12.853028	12.969212	13.075714	13.20158	13.323573	13.950965	685969.0	3137454505.0	39402320.0	39402320.0	5717773405.0	26066148.0	25989974.0	5637962828.0	3717884812.0	863153803.0	1.0	0.661538	0.997078	1258.298557	980.0	3959.0	0.0	0.000327	0.340562	0.0	0.058147	0.016093	0.109756	0.322374	2.960702	0.999841	0.999787	0.999726	0.999659	0.999627	0.999506	0.998988	0.996997	27.866347	0.926718	0.498521	3.0			
X221595-GM1907328-1-CEN-F-EGG5	targets	685969.0	1.0	1264316115.0	696919869.0	1879336738.0	0.510662	0.489338	0.644653	1843.109696	0.325474	0.174053	1505.679813	9585338.0	5.598226	5.616548	5.628762	5.653191	5.667849	5.77045	685969.0	3137454505.0	26690658.0	26690658.0	3884539576.0	20542556.0	20510599.0	3840572722.0	2953733755.0	676114044.0	1.0	0.769653	0.998444	985.633526	976.0	2895.0	0.0	0.000461	0.230913	0.0	0.058205	0.016984	0.123986	0.393903	1.276727	0.99979	0.999768	0.999469	0.999226	0.999133	0.99907	0.999035	0.998685	6.954003	0.556727	0.504861	3.0			
X222123-GM2215552-1-CEN-F-EGG5	targets	685969.0	1.0	2043821737.0	1131278366.0	2910782412.0	0.521716	0.478284	0.643703	2979.466619	0.331929	0.14794	1536.004177	9837768.0	5.527558	5.542668	5.56785	5.580441	5.600084	5.684697	685969.0	3137454505.0	42417078.0	42417078.0	6157409104.0	28527220.0	28474952.0	6085882515.0	4090463452.0	910929743.0	1.0	0.672541	0.998168	1327.945932	1344.0	3460.0	0.0	0.000211	0.327877	0.0	0.03919	0.01459	0.108889	0.359808	1.227307	0.999885	0.999816	0.999529	0.999376	0.999189	0.999103	0.999063	0.998794	4.837202	0.635726	0.1188	1.0			
X222209-GM2216214-1-CEN-F-EGG5	targets	685969.0	1.0	1598071723.0	851268236.0	2248915146.0	0.52133	0.47867	0.65245	2329.655893	0.336328	0.159298	1555.724245	8876079.0	5.402789	5.414127	5.433023	5.459477	5.47535	5.575121	685969.0	3137454505.0	32726984.0	32726984.0	4751523430.0	22886153.0	22849887.0	4698255105.0	3284389837.0	756909416.0	1.0	0.699305	0.998415	1103.416358	1112.0	2773.0	0.0	0.000403	0.300934	0.0	0.043536	0.014844	0.121556	0.35806	1.239794	0.999796	0.999759	0.999414	0.999347	0.999262	0.99913	0.999073	0.998773	5.059198	0.583383	0.300047	2.0			
X222212-gm2214681-1-CEN-F-EGG5	targets	685969.0	1.0	1526637096.0	823379344.0	2157616632.0	0.521342	0.478658	0.649628	2225.519077	0.334368	0.161508	1549.031331	8974557.0	5.614564	5.63647	5.654725	5.680283	5.695618	5.800769	685969.0	3137454505.0	31461698.0	31461698.0	4565740351.0	22618564.0	22569360.0	4507633072.0	3236932015.0	737404259.0	1.0	0.718924	0.997825	1074.9819	1064.0	3116.0	0.0	0.000327	0.2819	0.0	0.050756	0.017407	0.119456	0.366929	1.275186	0.999888	0.999784	0.999447	0.999292	0.999194	0.999146	0.999076	0.998793	7.074417	0.482127	0.363461	2.0			
X222213-gm2215169-1-CEN-F-EGG5	targets	685969.0	1.0	2303237673.0	1254399052.0	3392956165.0	0.511847	0.488153	0.647407	3357.641049	0.326884	0.14139	1515.618337	10582889.0	5.687347	5.696014	5.713346	5.730679	5.754945	5.838141	685969.0	3137454505.0	48558710.0	48558710.0	7046047226.0	32189768.0	32100635.0	6950592890.0	4603609536.0	996243100.0	1.0	0.662904	0.997231	1452.315046	1470.0	2731.0	0.0	0.000288	0.337667	0.0	0.044302	0.017338	0.10947	0.347924	1.226617	0.999978	0.999934	0.99959	0.999254	0.999176	0.999058	0.999001	0.998784	4.814345	0.619324	0.066162	0.0			
X222214-gm2214349-1-CEN-M-EGG5	targets	685969.0	1.0	1779345840.0	896667253.0	2388074936.0	0.528429	0.471571	0.664924	2593.915818	0.346733	0.12255	1607.059914	5694063.0	9.035598	9.10565	9.189713	9.259766	9.34663	9.772549	685969.0	3137454505.0	35303974.0	35303974.0	5131741301.0	21781062.0	21726619.0	5064088029.0	3111453427.0	628896524.0	1.0	0.616958	0.9975	916.800211	775.0	2997.0	0.0	0.000307	0.385585	0.0	0.054089	0.013727	0.098193	0.324251	1.811858	0.999369	0.998921	0.998857	0.99873	0.998663	0.998598	0.998573	0.998077	18.556469	1.165973	0.643989	4.0			
X222215-gm2215183-1-CEN-M-EGG5	targets	685969.0	1.0	2303268505.0	1237940849.0	3411329440.0	0.50934	0.49066	0.650419	3357.685996	0.327345	0.138252	1515.214423	9903988.0	5.854688	5.880508	5.891984	5.914936	5.928707	6.038875	685969.0	3137454505.0	48512506.0	48512506.0	7036205145.0	30971654.0	30902747.0	6952538794.0	4437051120.0	972769140.0	1.0	0.638426	0.997775	1418.094899	1469.0	3057.0	0.0	0.000269	0.361809	0.0	0.046829	0.01376	0.104533	0.333184	1.279869	0.999974	0.999822	0.999437	0.999367	0.999222	0.999092	0.99907	0.99894	5.474538	0.713649	0.134582	1.0			
X222216-GM2207263-1-CEN-F-EGG5	targets	685969.0	1.0	1558372255.0	845418410.0	2255417442.0	0.515923	0.484077	0.648298	2271.782333	0.330694	0.160917	1529.790804	9191697.0	5.682583	5.694003	5.716843	5.739684	5.762524	5.86302	685969.0	3137454505.0	32412010.0	32412010.0	4712423387.0	23537394.0	23501465.0	4659208107.0	3380644925.0	758309389.0	1.0	0.726194	0.998474	1105.457228	1103.0	2899.0	0.0	0.000307	0.274416	0.0	0.048985	0.016439	0.11968	0.377758	1.269182	0.999621	0.999596	0.999321	0.999265	0.99909	0.998955	0.998905	0.998653	6.691231	0.54192	0.320679	2.0			
X222221-GM2217068-1-CEN-F-EGG5	targets	685969.0	1.0	2225561458.0	1204578162.0	3194136790.0	0.517813	0.482187	0.648825	3244.405298	0.332088	0.152806	1536.646932	11569425.0	5.417975	5.434159	5.444948	5.458434	5.472999	5.544205	685969.0	3137454505.0	46157736.0	46157736.0	6701722426.0	31737017.0	31674646.0	6624276410.0	4550444444.0	1024062015.0	1.0	0.687577	0.998035	1492.869233	1519.0	3792.0	0.0	0.000269	0.313065	0.0	0.047395	0.014132	0.116559	0.354292	1.215692	0.999806	0.999701	0.999481	0.99943	0.999383	0.999274	0.999227	0.999025	3.835485	0.622028	0.053193	0.0			
X222227-GM2215487-1-CEN-F-EGG5	targets	685969.0	1.0	1854335187.0	1026591455.0	2607850108.0	0.524876	0.475124	0.643659	2703.234675	0.33392	0.155742	1545.203275	9824103.0	5.415603	5.429066	5.442529	5.462723	5.480225	5.566389	685969.0	3137454505.0	38272688.0	38272688.0	5553230292.0	26512556.0	26465717.0	5488776750.0	3800547797.0	864870666.0	1.0	0.692728	0.998233	1260.801386	1277.0	2988.0	0.0	0.000403	0.307578	0.0	0.042344	0.015023	0.111304	0.366213	1.227655	0.999509	0.999487	0.999257	0.99916	0.999041	0.998996	0.998934	0.998761	4.719725	0.60573	0.156368	1.0			
X222228-GM2215830-1-CEN-M-EGG5	targets	685969.0	1.0	1713312201.0	927886364.0	2592905583.0	0.504613	0.495387	0.648687	2497.652519	0.323654	0.1577	1497.156137	10173334.0	5.940524	5.95336	5.974752	5.991866	6.012403	6.115087	685969.0	3137454505.0	36499104.0	36499104.0	5293649435.0	26579001.0	26537044.0	5234104148.0	3807499729.0	834806102.0	1.0	0.72821	0.998421	1216.97351	1253.0	2559.0	0.0	0.000403	0.272559	0.0	0.045771	0.01623	0.122189	0.383793	1.297413	0.999614	0.999587	0.999348	0.999197	0.999102	0.999019	0.998907	0.99866	6.432008	0.708676	0.224731	1.0			
X222230-GM2217074-1-CEN-F-EGG5	targets	685969.0	1.0	2026469348.0	1098263022.0	2840114699.0	0.523858	0.476142	0.648526	2954.170448	0.335664	0.148257	1553.86639	9570390.0	5.791888	5.806748	5.821608	5.851328	5.86916	5.964264	685969.0	3137454505.0	41518846.0	41518846.0	6037203028.0	27903007.0	27844173.0	5964847069.0	4004378927.0	895056248.0	1.0	0.672056	0.997891	1304.805681	1286.0	2738.0	0.0	0.000327	0.32867	0.0	0.046105	0.014669	0.108706	0.351826	1.289334	0.999848	0.9998	0.999563	0.999325	0.999175	0.999133	0.999092	0.998965	7.93023	0.420478	0.172046	1.0			
X222231-GM2215967-1-CEN-F-EGG5	targets	685969.0	1.0	1062175381.0	579753184.0	1472124768.0	0.527264	0.472736	0.646907	1548.430587	0.337077	0.16642	1560.066576	6492163.0	5.310777	5.333072	5.357843	5.392523	5.413331	5.556015	685969.0	3137454505.0	21709410.0	21709410.0	3151133630.0	15521906.0	15495329.0	3114053333.0	2226042716.0	524410797.0	1.0	0.714985	0.998288	764.481772	771.0	1576.0	0.0	0.000557	0.285162	0.0	0.044146	0.016733	0.118818	0.366772	1.245084	0.998978	0.998866	0.998601	0.998411	0.998313	0.998245	0.99816	0.997303	5.15474	0.760506	0.882595	9.0			
