Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2702836943.0	1453909270.0	3796759214.0	0.522631	0.477369	0.650229	3940.173598	0.334761	0.146296	1554.297727	12811167.0	5.955477	5.975413	5.985381	6.005317	6.017279	6.097024	685969.0	3137454505.0	55520018.0	55520018.0	8073931907.0	37657737.0	37534715.0	7953505427.0	5384148979.0	1181186558.0	1.0	0.678273	0.996733	1721.924107	1723.0	3442.0	0.0	0.000269	0.323047	0.0	0.043601	0.018407	0.112632	0.353834	1.3035	0.999806	0.999794	0.999615	0.999494	0.999402	0.9993	0.999227	0.999016	8.067346	0.344536	0.054207	0.0			
X221497-GM1206723-1-CEN-F-EGG5	targets	685969.0	1.0	2065810817.0	949502275.0	2767365969.0	0.521439	0.478561	0.685107	3011.52212	0.350829	0.09942	1633.933604	4739728.0	13.943632	14.136272	14.328911	14.539064	14.749216	15.98211	685969.0	3137454505.0	40389826.0	40389826.0	5888371150.0	22376160.0	22268309.0	5782679061.0	3180675358.0	585419658.0	1.0	0.554005	0.99518	853.419991	444.0	4605.0	0.0	0.000327	0.449965	0.0	0.063365	0.014356	0.081142	0.289966	2.532404	0.999876	0.999742	0.999685	0.999665	0.99958	0.999519	0.999474	0.998882	27.149335	4.353784	0.750273	6.0			
X221530-GM1512157-1-CEN-M-EGG5	targets	685969.0	1.0	1879945225.0	845642544.0	2474413915.0	0.524151	0.475849	0.689739	2740.568779	0.354398	0.091138	1653.539823	3839253.0	15.289981	15.557492	15.858441	16.159391	16.473715	18.373041	685969.0	3137454505.0	36398294.0	36398294.0	5304614695.0	19734511.0	19629378.0	5200001684.0	2795776218.0	483452433.0	1.0	0.542182	0.994673	704.773004	355.0	4550.0	0.0	0.000365	0.462351	0.0	0.055282	0.016709	0.081064	0.291655	2.600638	0.999799	0.999778	0.99973	0.999662	0.999605	0.999501	0.999455	0.996656	28.312351	4.82672	0.802312	7.0			
X222374-GM2217075-1-CEN-F-EGG5	targets	685969.0	1.0	1888815833.0	1044687741.0	2688223198.0	0.521815	0.478185	0.643877	2753.500279	0.330856	0.152886	1536.713221	9921889.0	6.142753	6.170498	6.188994	6.212114	6.237084	6.348062	685969.0	3137454505.0	39136814.0	39136814.0	5708876053.0	27238310.0	27147821.0	5621726772.0	3908260391.0	872807160.0	1.0	0.695977	0.996678	1272.371142	1237.0	3520.0	0.0	0.000231	0.304794	0.0	0.047925	0.020026	0.108487	0.363545	1.368141	0.999975	0.999883	0.999673	0.999459	0.999389	0.999258	0.999194	0.998968	9.593477	0.495806	0.240054	1.0			
X222375-GM2217486-1-CEN-M-EGG5	targets	685969.0	1.0	1670908706.0	927170768.0	2547414185.0	0.504923	0.495077	0.643132	2435.837051	0.319743	0.151961	1485.246788	9470229.0	5.7489	5.761463	5.782403	5.799154	5.819256	5.929814	685969.0	3137454505.0	35888658.0	35888658.0	5225789964.0	25478554.0	25391617.0	5145493659.0	3649060680.0	794115049.0	1.0	0.709933	0.996588	1157.654426	1207.0	2726.0	0.0	0.000403	0.290824	0.0	0.049102	0.020176	0.114918	0.370681	1.24613	0.999692	0.999614	0.999395	0.99922	0.999109	0.999077	0.99902	0.998691	2.907565	0.910772	0.229654	1.0			
X222376-GM2217085-1-CEN-M-EGG5	targets	685969.0	1.0	1863179453.0	1019077589.0	2718309530.0	0.514637	0.485363	0.646431	2716.127774	0.327726	0.151032	1521.583078	9886093.0	5.700481	5.728056	5.746438	5.762523	5.783204	5.882471	685969.0	3137454505.0	39136070.0	39136070.0	5685174040.0	27287591.0	27203883.0	5600566572.0	3901723863.0	858642037.0	1.0	0.697249	0.996932	1251.721342	1308.0	3019.0	0.0	0.00025	0.303334	0.0	0.042561	0.019645	0.116067	0.365114	1.251721	0.999971	0.999748	0.999455	0.99934	0.999147	0.999082	0.999031	0.998802	3.698478	0.851442	0.178173	1.0			
X222391-GM2217630-1-CEN-F-EGG5	targets	685969.0	1.0	1371983906.0	723549670.0	1861400913.0	0.529585	0.470415	0.654718	2000.066921	0.341129	0.173413	1585.853643	9282872.0	6.400581	6.419628	6.451373	6.476768	6.499625	6.636761	685969.0	3137454505.0	27622398.0	27622398.0	4021891375.0	20765133.0	20693173.0	3956934489.0	2972021084.0	697449464.0	1.0	0.75175	0.996535	1016.736127	962.0	2499.0	0.0	0.000384	0.248908	0.0	0.053868	0.022326	0.123267	0.375404	1.4952	0.999797	0.999773	0.999656	0.999375	0.999175	0.999085	0.999041	0.998739	13.1807	0.398747	0.504254	3.0			
X222400-GM2216165-1-CEN-F-EGG5	targets	685969.0	1.0	1586591871.0	869825573.0	2187866661.0	0.528912	0.471088	0.645897	2312.920658	0.33647	0.15966	1562.497723	8996249.0	5.560114	5.571604	5.594585	5.617565	5.63595	5.737064	685969.0	3137454505.0	32416912.0	32416912.0	4715400404.0	23359210.0	23283247.0	4644284105.0	3341903515.0	752862534.0	1.0	0.720587	0.996748	1097.516847	1095.0	2876.0	0.0	0.000346	0.280427	0.0	0.044524	0.02066	0.116552	0.375765	1.247178	0.999933	0.999857	0.999496	0.999268	0.999138	0.999031	0.99894	0.998434	6.111889	0.580341	0.309947	2.0			
X222425-GM2216528-1-CEN-M-EGG5	targets	685969.0	1.0	1826772984.0	1014490285.0	2734384889.0	0.509584	0.490416	0.642944	2663.054721	0.323101	0.148337	1498.5187	9436974.0	5.912089	5.939857	5.953742	5.98151	5.992618	6.103692	685969.0	3137454505.0	38780078.0	38780078.0	5653881778.0	27027124.0	26953156.0	5575648158.0	3882206863.0	838680169.0	1.0	0.696933	0.997263	1222.621094	1264.0	3379.0	0.0	0.000461	0.303721	0.0	0.045746	0.018511	0.110725	0.370911	1.273564	0.999792	0.999768	0.999497	0.999334	0.999192	0.999103	0.999054	0.998726	5.53012	0.775424	0.207249	1.0			
X222426-GM2216526-1-CEN-M-EGG5	targets	685969.0	1.0	1462239900.0	795193238.0	2131875096.0	0.514303	0.485697	0.647745	2131.641372	0.32822	0.153601	1523.686073	8005731.0	5.733192	5.754623	5.776054	5.8082	5.827488	5.9475	685969.0	3137454505.0	30628128.0	30628128.0	4455057020.0	21477965.0	21411730.0	4389308234.0	3076185609.0	684302369.0	1.0	0.70125	0.996916	997.570399	1035.0	1827.0	0.0	0.000307	0.299164	0.0	0.046702	0.019822	0.115907	0.362537	1.27079	0.999159	0.998918	0.998714	0.998544	0.998418	0.998233	0.997822	0.997558	5.17565	0.813205	0.39965	2.0			
X222427-GM2217211-1-CEN-F-EGG5	targets	685969.0	1.0	2085875408.0	1126425885.0	2992034782.0	0.517751	0.482249	0.64934	3040.772117	0.330522	0.138874	1537.68011	9166099.0	6.525504	6.557308	6.57851	6.605013	6.627276	6.767212	685969.0	3137454505.0	43366776.0	43366776.0	6310848135.0	29010312.0	28890887.0	6204336075.0	4141567525.0	876415299.0	1.0	0.668952	0.995883	1277.631058	1225.0	3358.0	0.0	0.000192	0.332472	0.0	0.049372	0.02039	0.10695	0.349589	1.376758	0.999985	0.999917	0.999671	0.999631	0.999449	0.999388	0.999356	0.999092	10.241023	0.467446	0.244924	1.0			
X222447-GM2218064-1-CEN-F-EGG5	targets	685969.0	1.0	1952214583.0	976131507.0	2573652229.0	0.532233	0.467767	0.666661	2845.922459	0.348788	0.12924	1622.856228	6779037.0	8.235632	8.279765	8.333706	8.397453	8.447471	8.741691	685969.0	3137454505.0	38459346.0	38459346.0	5597145604.0	24088014.0	23980268.0	5501998319.0	3432617344.0	723376736.0	1.0	0.626324	0.995527	1054.532692	877.0	3067.0	0.0	0.000327	0.376114	0.0	0.059059	0.017357	0.099467	0.316559	1.723093	0.999802	0.999783	0.999723	0.999656	0.99962	0.999539	0.99944	0.999066	17.845726	1.044543	0.558913	4.0			
X222460-GM2217027-1-CEN-M-EGG5	targets	685969.0	1.0	1591438673.0	868127075.0	2332127828.0	0.513298	0.486702	0.647041	2319.986287	0.327537	0.163606	1519.056115	10115035.0	5.796952	5.808588	5.83186	5.843495	5.869094	5.96218	685969.0	3137454505.0	33329492.0	33329492.0	4858812801.0	24649565.0	24588596.0	4791693576.0	3540590723.0	794931305.0	1.0	0.739572	0.997527	1158.844357	1191.0	2257.0	0.0	0.000269	0.261098	0.0	0.044343	0.020076	0.12171	0.38691	1.296246	0.999847	0.999802	0.999469	0.999235	0.999112	0.999085	0.99906	0.99885	6.112935	0.722042	0.258509	1.0			
X222466-GM2218167-1-CEN-F-EGG5	targets	685969.0	1.0	923523595.0	497758795.0	1332699977.0	0.516083	0.483917	0.649782	1346.305146	0.330452	0.174567	1533.768407	6861173.0	6.103465	6.142622	6.173078	6.207885	6.239211	6.406282	685969.0	3137454505.0	19133504.0	19133504.0	2794724901.0	14582146.0	14544693.0	2753982367.0	2097237939.0	487867970.0	1.0	0.762126	0.997432	711.209938	676.0	1605.0	0.0	0.000557	0.238471	0.0	0.057943	0.021806	0.123004	0.38166	1.413936	0.999784	0.999758	0.999612	0.999238	0.999032	0.998888	0.998767	0.997963	11.300616	0.586839	0.83438	8.0			
X222467-GM2217430-1-CEN-M-EGG5	targets	685969.0	1.0	2278553565.0	1214007811.0	3257846031.0	0.517385	0.482615	0.652402	3321.656759	0.332327	0.133938	1543.839702	9179858.0	6.60101	6.636146	6.65957	6.68885	6.706419	6.846964	685969.0	3137454505.0	47074940.0	47074940.0	6856369520.0	30704325.0	30592630.0	6750407407.0	4392989066.0	918328194.0	1.0	0.652244	0.996362	1338.731333	1306.0	3120.0	0.0	0.00025	0.349226	0.0	0.045985	0.017464	0.105828	0.345489	1.37588	0.999808	0.999792	0.999692	0.999657	0.999478	0.999418	0.999329	0.99899	10.600064	0.60021	0.200073	1.0			
X222468-GM2218168-1-CEN-F-EGG5	targets	685969.0	1.0	2113592269.0	1148707071.0	3028336800.0	0.518596	0.481404	0.647884	3081.17753	0.329912	0.1425	1536.737161	9794749.0	6.766776	6.799086	6.815241	6.847551	6.866937	6.996179	685969.0	3137454505.0	43848380.0	43848380.0	6406538464.0	30201757.0	30037837.0	6290636140.0	4319868401.0	912934409.0	1.0	0.688777	0.994573	1330.868318	1296.0	2639.0	0.0	0.000288	0.313286	0.0	0.045728	0.021588	0.110748	0.363557	1.424913	0.99994	0.999864	0.999611	0.99942	0.999364	0.999197	0.999149	0.99886	11.101353	0.399584	0.23156	1.0			
X222469-GM2217081-1-CEN-F-EGG5	targets	685969.0	1.0	2290726976.0	1203453931.0	3192558606.0	0.522554	0.477446	0.655583	3339.403058	0.337503	0.126477	1566.866056	8153639.0	7.334634	7.370407	7.412142	7.441953	7.488457	7.660166	685969.0	3137454505.0	46783282.0	46783282.0	6787285673.0	29357195.0	29256854.0	6686739513.0	4185162789.0	858437568.0	1.0	0.627515	0.996582	1251.423268	1148.0	3634.0	0.0	0.000288	0.37411	0.0	0.051776	0.016471	0.100098	0.329196	1.498711	0.999805	0.999789	0.999733	0.999673	0.999621	0.999536	0.999359	0.999079	13.335965	0.615382	0.352952	2.0			
