Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2399537482.0	1270935828.0	3139140022.0	0.539013	0.460987	0.653741	3498.026124	0.348244	0.156939	1611.677093	11927977.0	5.660093	5.677178	5.694262	5.711347	5.721598	5.803604	685969.0	3137454505.0	47402892.0	47402892.0	6890390314.0	32957409.0	32885454.0	6809613332.0	4728178185.0	1081367711.0	1.0	0.695262	0.997817	1576.409008	1571.0	3209.0	0.0	0.000211	0.305661	0.0	0.045441	0.015236	0.116193	0.358703	1.292139	0.999845	0.999796	0.999669	0.999485	0.999424	0.999251	0.999171	0.99901	7.831783	0.395762	0.069162	0.0			
X222317-GM2217888-1-CEN-M-EGG5	targets	685969.0	1.0	2083789478.0	1130886754.0	3045359252.0	0.513524	0.486476	0.648211	3037.731265	0.3285	0.152204	1522.47438	10910865.0	5.898895	5.914488	5.93008	5.945673	5.967502	6.05482	685969.0	3137454505.0	43557676.0	43557676.0	6343355655.0	30678750.0	30581430.0	6260035484.0	4401858390.0	965485925.0	1.0	0.704325	0.996828	1407.477488	1450.0	3807.0	0.0	0.000173	0.296832	0.0	0.051332	0.015934	0.113763	0.367943	1.288899	0.999955	0.999907	0.999465	0.999289	0.999204	0.999085	0.999029	0.998768	6.240674	0.707437	0.139516	1.0			
X222343-GM2217988-1-CEN-M-EGG5	targets	685969.0	1.0	1853251285.0	1011283261.0	2688904748.0	0.515813	0.484187	0.646964	2701.654572	0.329616	0.16683	1526.318711	12010306.0	5.638585	5.652037	5.665488	5.67894	5.697772	5.773101	685969.0	3137454505.0	38581524.0	38581524.0	5622451977.0	28669696.0	28602780.0	5553439294.0	4123190701.0	937995401.0	1.0	0.743094	0.997666	1367.402027	1414.0	3744.0	0.0	0.000327	0.257543	0.0	0.054083	0.01654	0.12047	0.382495	1.279141	0.999421	0.999016	0.998803	0.998665	0.998568	0.998399	0.998296	0.997698	5.582884	0.787199	0.147615	1.0			
X222365-GM2215347-1-CEN-F-EGG5	targets	685969.0	1.0	1798743273.0	930402235.0	2270322509.0	0.545887	0.454113	0.659087	2622.193238	0.355613	0.172535	1645.577481	10939271.0	5.276324	5.288514	5.304767	5.312894	5.337273	5.415288	685969.0	3137454505.0	35122160.0	35122160.0	5058154036.0	25758627.0	25704915.0	4999468017.0	3659894698.0	872710476.0	1.0	0.733401	0.997915	1272.230197	1281.0	3571.0	0.0	0.000423	0.267943	0.0	0.052156	0.014617	0.130501	0.360262	1.253429	0.999794	0.999774	0.999399	0.999262	0.999175	0.999086	0.999057	0.998675	5.889142	0.532824	0.168081	1.0			
X222371-GM2218179-1-CEN-F-EGG5	targets	685969.0	1.0	2149028843.0	1177822758.0	3058783877.0	0.52099	0.47901	0.645965	3132.836678	0.332638	0.152637	1539.256756	11031409.0	5.544289	5.552248	5.57347	5.584082	5.609549	5.68595	685969.0	3137454505.0	44414388.0	44414388.0	6460558161.0	30969308.0	30905703.0	6385635478.0	4447118675.0	986117369.0	1.0	0.697281	0.997946	1437.553838	1451.0	3481.0	0.0	0.000288	0.303575	0.0	0.045264	0.014478	0.11433	0.367959	1.225536	0.999768	0.999672	0.99948	0.999375	0.999268	0.999195	0.999115	0.998933	5.06617	0.536449	0.072912	0.0			
X222377-GM2218189-1-CEN-F-EGG5	targets	685969.0	1.0	2159956415.0	1193496843.0	3046397617.0	0.523989	0.476011	0.644099	3148.766803	0.33345	0.151263	1543.647311	10709908.0	5.55891	5.574904	5.59623	5.606893	5.626086	5.709257	685969.0	3137454505.0	44390792.0	44390792.0	6477595442.0	30565643.0	30488756.0	6399850875.0	4400922877.0	979819309.0	1.0	0.688558	0.997485	1428.372578	1441.0	3024.0	0.0	0.000192	0.31234	0.0	0.049653	0.014433	0.108825	0.361681	1.234548	0.999984	0.999808	0.999538	0.999302	0.999216	0.999111	0.999077	0.998869	5.512536	0.532925	0.080286	0.0			
X222458-GM2212345-1-CEN-F-EGG5	targets	685969.0	1.0	1805772498.0	920970750.0	2152860791.0	0.558804	0.441196	0.662245	2632.440384	0.365741	0.175302	1692.588554	10545362.0	5.288308	5.312148	5.320094	5.341947	5.355059	5.44088	685969.0	3137454505.0	34242210.0	34242210.0	4937294067.0	24839213.0	24772867.0	4879604039.0	3532468231.0	865516959.0	1.0	0.725397	0.997329	1261.743547	1255.0	2765.0	0.0	0.0005	0.276075	0.0	0.047963	0.013775	0.13051	0.354338	1.29277	0.999751	0.99965	0.999426	0.99928	0.999156	0.999093	0.999041	0.998757	7.385987	0.507266	0.202372	1.0			
X222461-GM2218462-1-CEN-F-EGG5	targets	685969.0	1.0	2173126354.0	1174377210.0	3108663182.0	0.518497	0.481503	0.649178	3167.965832	0.332767	0.149357	1539.512386	10712334.0	5.587817	5.604028	5.620239	5.636449	5.659145	5.736957	685969.0	3137454505.0	45019538.0	45019538.0	6530475157.0	31107137.0	31043749.0	6456166746.0	4455339633.0	975369869.0	1.0	0.69097	0.997962	1421.886221	1437.0	3873.0	0.0	0.000288	0.309909	0.0	0.045637	0.013807	0.116861	0.362747	1.220503	0.999805	0.999765	0.999447	0.999373	0.999332	0.999259	0.999216	0.999006	4.7794	0.541773	0.075414	0.0			
X222465-GM2218474-1-CEN-M-EGG5	targets	685969.0	1.0	2273778714.0	1226760196.0	3215546130.0	0.521217	0.478783	0.649551	3314.69602	0.334142	0.147987	1548.477707	10800684.0	5.778547	5.795296	5.809253	5.837167	5.847217	5.941009	685969.0	3137454505.0	46686998.0	46686998.0	6804824597.0	31565786.0	31470695.0	6716085040.0	4534035875.0	1007028756.0	1.0	0.676115	0.996988	1468.038287	1513.0	4746.0	0.0	0.000346	0.324899	0.0	0.048699	0.014645	0.109697	0.35215	1.279894	0.999799	0.999787	0.999458	0.999375	0.999325	0.999213	0.99916	0.998972	6.070331	0.668533	0.120097	1.0			
X222472-GM2217311-1-CEN-M-EGG5	targets	685969.0	1.0	2359327759.0	1280039232.0	3210548584.0	0.531301	0.468699	0.64828	3439.408718	0.340238	0.156746	1575.346186	12105543.0	5.508003	5.524869	5.536113	5.550168	5.565348	5.646305	685969.0	3137454505.0	47654862.0	47654862.0	6934354593.0	32848823.0	32763263.0	6849915575.0	4718528877.0	1086929458.0	1.0	0.689307	0.997395	1584.516878	1634.0	3125.0	0.0	0.000269	0.311155	0.0	0.042223	0.014302	0.113629	0.360047	1.265589	0.999813	0.999783	0.999445	0.999343	0.999227	0.999109	0.999068	0.998829	4.916433	0.878466	0.098605	0.0			
X222487-GM2218183-1-CEN-F-EGG5	targets	685969.0	1.0	1627298956.0	897868593.0	2343725589.0	0.518633	0.481367	0.644432	2372.263114	0.330352	0.171062	1528.657003	11219918.0	5.382082	5.399717	5.417351	5.429108	5.445567	5.520809	685969.0	3137454505.0	33828664.0	33828664.0	4925960429.0	25567509.0	25516402.0	4868893138.0	3676411757.0	842644697.0	1.0	0.755794	0.998001	1228.40055	1242.0	2105.0	0.0	0.000423	0.244918	0.0	0.05218	0.015951	0.123483	0.390435	1.230862	0.99995	0.999781	0.999391	0.999334	0.999206	0.999061	0.999017	0.998727	4.778485	0.616277	0.180545	1.0			
X222506-GM2217866-1-CEN-M-EGG5	targets	685969.0	1.0	2034685065.0	1115421952.0	2730728204.0	0.535656	0.464344	0.64591	2966.147253	0.341727	0.15614	1582.454143	10157185.0	5.555062	5.577019	5.594097	5.613615	5.625325	5.71901	685969.0	3137454505.0	40700012.0	40700012.0	5954130220.0	28067371.0	27989924.0	5880835221.0	4049320881.0	929676283.0	1.0	0.689616	0.997241	1355.274485	1399.0	2365.0	0.0	0.000423	0.311438	0.0	0.049813	0.015	0.108246	0.357448	1.272558	0.999612	0.999592	0.99928	0.999208	0.999087	0.999033	0.998991	0.998789	5.820372	0.682116	0.148302	1.0			
