Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2876274873.0	1616424170.0	3529035367.0	0.560066	0.439934	0.640211	4193.009995	0.355025	0.151426	1639.966798	12266288.0	5.406787	5.416935	5.430465	5.447378	5.465645	5.530591	685969.0	3137454505.0	55320174.0	55320174.0	8101616968.0	35921137.0	35851151.0	8021734410.0	5194792832.0	1226798056.0	1.0	0.649332	0.998052	1788.416176	1782.0	3504.0	0.0	0.000231	0.35241	0.0	0.043562	0.010776	0.097423	0.342923	1.273801	0.999854	0.999793	0.999678	0.9995	0.999478	0.999388	0.999308	0.999029	7.398611	0.4235	0.026561	0.0			
X222552-GM2219848-1-CEN-F-EGG5	targets	685969.0	1.0	2085849371.0	1206279596.0	2840830190.0	0.536793	0.463207	0.633587	3040.73416	0.336777	0.155447	1555.556599	10118490.0	5.377183	5.392409	5.410173	5.422861	5.436564	5.521828	685969.0	3137454505.0	42037840.0	42037840.0	6193559794.0	28403982.0	28349794.0	6132959157.0	4136337373.0	962771885.0	1.0	0.675677	0.998092	1403.520983	1407.0	2710.0	0.0	0.000403	0.325556	0.0	0.044677	0.011476	0.097458	0.363878	1.247574	0.999698	0.999634	0.999442	0.999375	0.999252	0.999194	0.999144	0.998953	5.915424	0.567872	0.096122	0.0			
X222660-GM2220251-1-CEN-M-EGG5	targets	685969.0	1.0	2359462092.0	1283556202.0	3151860397.0	0.536142	0.463858	0.647667	3439.604548	0.343752	0.156399	1588.196534	11394511.0	6.083254	6.100066	6.119679	6.142095	6.162269	6.256415	685969.0	3137454505.0	47108008.0	47108008.0	6863853977.0	31810989.0	31748035.0	6794878691.0	4579628733.0	1073498181.0	1.0	0.675278	0.998021	1564.936872	1522.0	4264.0	0.0	0.000288	0.326018	0.0	0.053034	0.01099	0.103279	0.348723	1.421378	0.999618	0.999229	0.998812	0.998746	0.998649	0.998558	0.99852	0.998287	11.026179	0.602416	0.142541	1.0			
X222686-GM2219428-1-CEN-F-EGG5	targets	685969.0	1.0	2000813864.0	1149241212.0	2720553997.0	0.536581	0.463419	0.635168	2916.770093	0.337495	0.160374	1558.821811	10602958.0	5.37901	5.393574	5.408137	5.4227	5.443089	5.524643	685969.0	3137454505.0	40558906.0	40558906.0	5928422350.0	28397528.0	28348599.0	5870609073.0	4103290848.0	950766044.0	1.0	0.700155	0.998277	1386.018966	1389.0	2639.0	0.0	0.000307	0.301045	0.0	0.044052	0.011972	0.104048	0.376959	1.241952	0.999962	0.999787	0.999446	0.999389	0.999341	0.999284	0.999208	0.998825	5.89177	0.561446	0.100586	0.0			
X222687-GM2219430-1-CEN-F-EGG5	targets	685969.0	1.0	2680682091.0	1540406442.0	3645861298.0	0.53656	0.46344	0.635069	3907.876436	0.337277	0.151173	1558.518205	12652453.0	5.491236	5.511195	5.521175	5.531154	5.549118	5.620971	685969.0	3137454505.0	54407712.0	54407712.0	7948013169.0	37007788.0	36935758.0	7866949831.0	5339569454.0	1201522846.0	1.0	0.680194	0.998054	1751.570182	1754.0	5472.0	0.0	0.000307	0.321266	0.0	0.042781	0.012128	0.101048	0.370077	1.2335	0.999803	0.999794	0.999517	0.999408	0.999344	0.999239	0.999141	0.998985	5.915728	0.56798	0.020274	0.0			
X222695-GM2219698-1-CEN-M-EGG5	targets	685969.0	1.0	2236103427.0	1278930756.0	3281761557.0	0.51716	0.48284	0.636154	3259.773294	0.325726	0.144455	1504.737055	10149982.0	5.746663	5.763663	5.780664	5.797664	5.821464	5.916665	685969.0	3137454505.0	46856744.0	46856744.0	6864989790.0	30906532.0	30848743.0	6796795740.0	4474564571.0	991683949.0	1.0	0.659596	0.99813	1445.668753	1486.0	3309.0	0.0	0.00025	0.341666	0.0	0.046692	0.011046	0.097699	0.357023	1.270359	0.999945	0.999761	0.999417	0.999357	0.999297	0.999232	0.99916	0.998968	5.992822	0.713937	0.123287	1.0			
X222702-GM2220271-1-CEN-M-EGG5	targets	685969.0	1.0	2187246093.0	1239170639.0	3105085074.0	0.524599	0.475401	0.638348	3188.549472	0.331642	0.147217	1531.642983	10011344.0	5.754816	5.77122	5.787624	5.804027	5.826993	5.925416	685969.0	3137454505.0	45159808.0	45159808.0	6595209304.0	30031762.0	29980244.0	6531501806.0	4335075783.0	970924248.0	1.0	0.665011	0.998285	1415.405431	1453.0	3742.0	0.0	0.000288	0.336282	0.0	0.043611	0.010644	0.10018	0.36066	1.284397	0.99994	0.999863	0.999475	0.999407	0.999297	0.999176	0.99913	0.998878	6.541619	0.65622	0.13742	1.0			
X222710-GM2219345-1-CEN-F-EGG5	targets	685969.0	1.0	2128406883.0	1221438829.0	2774802583.0	0.546945	0.453055	0.635375	3102.774153	0.343996	0.163219	1589.448451	11320793.0	5.239297	5.25448	5.264602	5.277254	5.296991	5.369867	685969.0	3137454505.0	42319778.0	42319778.0	6187306630.0	29658987.0	29604405.0	6124648295.0	4284980585.0	1009882912.0	1.0	0.70083	0.99816	1472.199053	1478.0	3847.0	0.0	0.000327	0.300371	0.0	0.038762	0.012075	0.106419	0.377517	1.230936	0.999802	0.999789	0.999497	0.999423	0.999366	0.999284	0.999191	0.998969	5.450193	0.544341	0.062458	0.0			
X222713-GM2220409-1-CEN-M-EGG5	targets	685969.0	1.0	1750444139.0	979876530.0	2399963909.0	0.532197	0.467803	0.641113	2551.783155	0.33766	0.149894	1560.557399	8072322.0	5.68587	5.71164	5.72882	5.750295	5.773489	5.897185	685969.0	3137454505.0	35456478.0	35456478.0	5184044067.0	23726786.0	23677494.0	5130284578.0	3425837996.0	777059371.0	1.0	0.669181	0.997923	1132.790798	1160.0	3765.0	0.0	0.000461	0.332232	0.0	0.047858	0.011645	0.100708	0.356121	1.284343	0.999799	0.999776	0.999561	0.999484	0.999353	0.999229	0.999138	0.998828	6.603347	0.636522	0.284247	1.0			
X222714-GM2220337-1-CEN-F-EGG5	targets	685969.0	1.0	2010487594.0	1138729913.0	2590285942.0	0.548692	0.451308	0.638409	2930.872378	0.346965	0.162899	1602.138378	10448181.0	5.356874	5.371144	5.394927	5.406819	5.419663	5.510992	685969.0	3137454505.0	39643350.0	39643350.0	5794490080.0	27656503.0	27609316.0	5739503449.0	3995031231.0	943918729.0	1.0	0.697633	0.998294	1376.037006	1362.0	3376.0	0.0	0.000307	0.303941	0.0	0.045443	0.011038	0.104895	0.370253	1.262419	0.999803	0.999783	0.999566	0.99944	0.999386	0.999306	0.999208	0.998834	7.175206	0.456791	0.120822	1.0			
