Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	1851438963.0	839439224.0	1915611589.0	0.584149	0.415851	0.688043	2699.012584	0.397239	0.181436	1838.282424	10623624.0	4.928979	4.940053	4.95851	4.973275	4.982134	5.061866	685969.0	3137454505.0	32493484.0	32493484.0	4660773988.0	23363629.0	23318892.0	4606489776.0	3311676702.0	845633241.0	1.0	0.719025	0.998085	1232.757225	1230.0	2468.0	0.0	0.000538	0.281085	0.0	0.051443	0.015003	0.156816	0.312121	1.254077	0.999786	0.999765	0.99955	0.999309	0.999176	0.999102	0.999019	0.998497	6.650134	0.351008	0.193073	1.0			
X222208-GM2216717-1-CEN-F-EGG5	targets	685969.0	1.0	1758740265.0	808678024.0	2248915599.0	0.533065	0.466935	0.685023	2563.87718	0.360403	0.164316	1670.159959	10421183.0	5.281745	5.293332	5.308782	5.328094	5.344317	5.427745	685969.0	3137454505.0	34107922.0	34107922.0	4879921582.0	24779888.0	24726752.0	4816333888.0	3497706316.0	801847573.0	1.0	0.726514	0.997856	1168.926836	1188.0	2935.0	0.0	0.000423	0.273782	0.0	0.051404	0.016269	0.164563	0.327551	1.206323	0.999794	0.999762	0.999391	0.999128	0.999022	0.998959	0.998872	0.998232	3.85354	0.538834	0.203484	1.0			
X222628-GM073173-1-CEN-F-EGG5	targets	685969.0	1.0	1793513241.0	838786885.0	2455264748.0	0.517399	0.482601	0.681348	2614.56894	0.347287	0.157757	1612.380638	10422504.0	5.737296	5.76186	5.774142	5.798706	5.813444	5.9117	685969.0	3137454505.0	35987432.0	35987432.0	5164361754.0	26039147.0	25959822.0	5087564874.0	3680463096.0	814715039.0	1.0	0.723562	0.996954	1187.684923	1162.0	2989.0	0.0	0.000346	0.276577	0.0	0.058125	0.016149	0.155801	0.333261	1.266189	0.9997	0.999599	0.99951	0.99935	0.999089	0.99895	0.99887	0.998293	6.643291	0.443097	0.238106	1.0			
X222791-GM1405054-1-CEN-F-EGG5	targets	685969.0	1.0	1613728362.0	734810416.0	2094909082.0	0.52854	0.47146	0.68712	2352.480013	0.358657	0.164551	1661.052239	9745722.0	5.393727	5.415223	5.429553	5.447467	5.462514	5.557096	685969.0	3137454505.0	31451848.0	31451848.0	4499359875.0	23176805.0	23138077.0	4443447860.0	3271336373.0	740374073.0	1.0	0.736898	0.998329	1079.311271	1089.0	2149.0	0.0	0.000384	0.263784	0.0	0.054965	0.013873	0.168097	0.332716	1.216811	0.999797	0.999768	0.999399	0.999156	0.999054	0.998921	0.998805	0.998166	4.835529	0.489633	0.310276	2.0			
X222812-GM1614367-1-CEN-M-EGG5	targets	685969.0	1.0	1951656884.0	903261274.0	2566683301.0	0.526582	0.473418	0.683612	2845.10945	0.355379	0.150309	1646.451058	9489695.0	5.879438	5.893013	5.920163	5.940525	5.958172	6.066772	685969.0	3137454505.0	38252678.0	38252678.0	5491769029.0	26763592.0	26706805.0	5421601459.0	3788837962.0	825461984.0	1.0	0.699653	0.997878	1203.351732	1236.0	3231.0	0.0	0.000327	0.301159	0.0	0.048625	0.01365	0.153844	0.33052	1.276089	0.999835	0.999776	0.999568	0.999404	0.99916	0.999042	0.998937	0.998482	6.579364	0.561294	0.222861	1.0			
X222814-GM2220811-1-CEN-M-EGG5	targets	685969.0	1.0	1868371424.0	866080107.0	2437588326.0	0.528699	0.471301	0.683271	2723.696587	0.35684	0.153937	1652.244446	9475659.0	5.575652	5.588401	5.6139	5.626649	5.644498	5.746492	685969.0	3137454505.0	36508528.0	36508528.0	5235876917.0	25560471.0	25511228.0	5172039857.0	3618402281.0	805996966.0	1.0	0.700123	0.998073	1174.975788	1233.0	2959.0	0.0	0.000461	0.300392	0.0	0.046868	0.01333	0.156241	0.327384	1.236817	0.999792	0.999762	0.999391	0.999163	0.999066	0.998977	0.998895	0.998296	3.770101	0.674915	0.218827	1.0			
X222815-GM2221082-1-CEN-F-EGG5	targets	685969.0	1.0	2208512265.0	1030097396.0	2787209430.0	0.537456	0.462544	0.681932	3219.551124	0.361709	0.148881	1676.319024	10154454.0	5.368648	5.391291	5.401354	5.421481	5.439595	5.524128	685969.0	3137454505.0	42556852.0	42556852.0	6105762681.0	29010189.0	28927701.0	6025819091.0	4102261409.0	909030540.0	1.0	0.681681	0.997157	1325.177289	1351.0	3249.0	0.0	0.000346	0.319219	0.0	0.04692	0.013118	0.150281	0.319655	1.186372	0.999968	0.999776	0.999442	0.999203	0.999117	0.999023	0.998934	0.998431	3.381102	0.554077	0.098854	0.0			
X222816-GM2221289-1-CEN-F-EGG5	targets	685969.0	1.0	2282576246.0	1028778151.0	2376245921.0	0.582206	0.417794	0.689318	3327.52099	0.396807	0.162827	1835.562476	10417669.0	4.890131	4.904224	4.923015	4.93241	4.954959	5.022605	685969.0	3137454505.0	40109014.0	40109014.0	5752354107.0	27069234.0	27011098.0	5687600318.0	3834211439.0	936640111.0	1.0	0.674892	0.997852	1365.426296	1396.0	2541.0	0.0	0.000403	0.325865	0.0	0.05284	0.011807	0.150075	0.294775	1.191471	0.999618	0.999583	0.999257	0.999098	0.999015	0.99894	0.998882	0.99845	3.732747	0.392188	0.084863	0.0			
X222844-GM2221339-1-CEN-M-EGG5	targets	685969.0	1.0	1575998472.0	715232770.0	1913494707.0	0.544918	0.455082	0.687839	2297.477688	0.370305	0.169185	1714.316654	9242784.0	5.432446	5.452804	5.466376	5.493521	5.509807	5.607527	685969.0	3137454505.0	29676790.0	29676790.0	4255952180.0	21690012.0	21647390.0	4204725949.0	3069709475.0	720043613.0	1.0	0.730875	0.998035	1049.673692	1086.0	3833.0	0.0	0.000442	0.269938	0.0	0.056551	0.013886	0.162925	0.325504	1.269255	0.999831	0.999695	0.999459	0.999165	0.99892	0.998808	0.998697	0.997984	5.586855	0.617227	0.337288	2.0			
X222847-GM2221345-1-CEN-M-EGG5	targets	685969.0	1.0	1912255731.0	828052705.0	2016161347.0	0.576122	0.423878	0.697825	2787.670771	0.397396	0.161029	1838.798651	8778068.0	5.211384	5.223178	5.242836	5.270356	5.286868	5.390658	685969.0	3137454505.0	33780194.0	33780194.0	4811965087.0	22937484.0	22896540.0	4756469783.0	3228044404.0	774864243.0	1.0	0.679022	0.998215	1129.590758	1179.0	2825.0	0.0	0.00048	0.321336	0.0	0.051323	0.014381	0.159203	0.290897	1.245414	0.99979	0.999759	0.999369	0.999197	0.999141	0.999035	0.998923	0.998188	4.692874	0.521879	0.249541	1.0			
