Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2524798941.0	1133130488.0	3128622811.0	0.538997	0.461003	0.690226	3680.631254	0.367157	0.15964	1701.572861	13325817.0	6.124661	6.141518	6.152756	6.175231	6.181974	6.276372	685969.0	3137454505.0	48038944.0	48038944.0	6876618121.0	34571937.0	34488404.0	6786552240.0	4885689815.0	1097780109.0	1.0	0.719665	0.997584	1600.334868	1593.0	3144.0	0.0	0.000327	0.280093	0.0	0.051218	0.01449	0.163723	0.328773	1.371324	0.999952	0.999783	0.999729	0.999496	0.999421	0.999207	0.999087	0.998678	9.392069	0.319043	0.083931	0.0			
X222826-GM2220928-1-CEN-M-EGG5	targets	685969.0	1.0	1756903464.0	820949474.0	2296056756.0	0.528909	0.471091	0.681538	2561.199506	0.35549	0.157494	1648.706569	9256934.0	5.798722	5.823161	5.839453	5.859819	5.881814	5.989345	685969.0	3137454505.0	33949600.0	33949600.0	4942206834.0	24703957.0	24627823.0	4873909694.0	3545781698.0	778369620.0	1.0	0.727666	0.996918	1134.700868	1163.0	3739.0	0.0	0.000365	0.272497	0.0	0.045329	0.016819	0.157628	0.34808	1.26924	0.999927	0.999781	0.999522	0.999114	0.999025	0.998933	0.998857	0.998284	6.30703	0.65086	0.260607	1.0			
X222831-GM2220838-1-CEN-M-EGG5	targets	685969.0	1.0	1495927125.0	669803025.0	2046640707.0	0.514136	0.485864	0.690726	2180.750333	0.350266	0.167655	1624.264622	10169273.0	5.835086	5.855458	5.875829	5.886014	5.908423	6.006204	685969.0	3137454505.0	29647518.0	29647518.0	4270831874.0	22842606.0	22783630.0	4212370857.0	3246046407.0	716026427.0	1.0	0.770473	0.997418	1043.817471	1071.0	3381.0	0.0	0.000423	0.229402	0.0	0.058438	0.017048	0.177607	0.347583	1.282331	0.999794	0.999732	0.999398	0.999229	0.999045	0.99887	0.998701	0.99806	6.261855	0.634548	0.351641	2.0			
X222832-GM2220840-1-CEN-F-EGG5	targets	685969.0	1.0	1875982773.0	827375945.0	2451681441.0	0.524411	0.475589	0.693945	2734.792349	0.359199	0.195102	1664.446117	20700495.0	5.516426	5.52837	5.536332	5.540314	5.557035	5.604812	685969.0	3137454505.0	36443540.0	36443540.0	5222687041.0	30527000.0	30461215.0	5155040159.0	4319445315.0	1018954938.0	1.0	0.837652	0.997845	1485.424178	1454.0	4144.0	0.0	0.000327	0.162093	0.0	0.056902	0.017697	0.202324	0.363385	1.299584	0.999892	0.999792	0.999609	0.999229	0.999095	0.998956	0.998889	0.99842	7.888606	0.431356	0.099656	0.0			
X222835-GM2220813-1-CEN-M-EGG5	targets	685969.0	1.0	1763729538.0	782490562.0	2330924422.0	0.522072	0.477928	0.692685	2571.150501	0.35657	0.161594	1654.014493	10068984.0	7.149398	7.173622	7.201883	7.234182	7.263251	7.418286	685969.0	3137454505.0	34339520.0	34339520.0	4946381845.0	25638431.0	25573366.0	4877144522.0	3643226990.0	799307261.0	1.0	0.746616	0.997462	1165.22359	1059.0	4994.0	0.0	0.000288	0.253	0.0	0.066342	0.016755	0.159901	0.340168	1.561962	0.999862	0.999787	0.999646	0.999564	0.999437	0.999399	0.999366	0.998663	14.421938	0.818144	0.427622	2.0			
X222837-GM2221019-1-CEN-F-EGG5	targets	685969.0	1.0	2138123942.0	1002809613.0	2764149882.0	0.531903	0.468097	0.680729	3116.939602	0.357517	0.149842	1656.074178	9926037.0	5.839846	5.854863	5.874886	5.899914	5.914931	6.01104	685969.0	3137454505.0	41182880.0	41182880.0	5980476986.0	28759714.0	28693494.0	5905083437.0	4123809379.0	896127843.0	1.0	0.698341	0.997697	1306.367843	1279.0	3425.0	0.0	0.000346	0.301651	0.0	0.051374	0.014415	0.14744	0.333416	1.264635	0.9998	0.999783	0.999659	0.999566	0.999464	0.999343	0.999159	0.99867	7.46959	0.451216	0.151561	1.0			
X222840-GM2220853-1-CEN-F-EGG5	targets	685969.0	1.0	1616876572.0	759642888.0	2184969904.0	0.520996	0.479004	0.680355	2357.069448	0.349791	0.169044	1621.224466	10625914.0	5.7146	5.736818	5.75163	5.770145	5.781254	5.879014	685969.0	3137454505.0	31763382.0	31763382.0	4622402004.0	24339480.0	24281523.0	4561489364.0	3495021926.0	781387408.0	1.0	0.766275	0.997619	1139.100175	1112.0	2179.0	0.0	0.000442	0.233798	0.0	0.057953	0.017275	0.163501	0.356227	1.274161	0.99995	0.99977	0.999638	0.999461	0.999131	0.999013	0.998949	0.998512	7.552978	0.493233	0.296003	2.0			
X222841-GM2221010-1-CEN-M-EGG5	targets	685969.0	1.0	2204797896.0	990563263.0	3035308616.0	0.512844	0.487156	0.69	3214.136347	0.349113	0.143743	1618.478739	10213455.0	6.516203	6.53219	6.553506	6.580151	6.602533	6.717639	685969.0	3137454505.0	43790354.0	43790354.0	6315422943.0	30908446.0	30830129.0	6230669775.0	4397048885.0	907799925.0	1.0	0.705828	0.997466	1323.383309	1329.0	4730.0	0.0	0.000365	0.29429	0.0	0.051904	0.015063	0.158846	0.334254	1.339457	0.999666	0.999636	0.999504	0.999376	0.999133	0.99884	0.998755	0.998375	9.090673	0.477377	0.191769	1.0			
X222842-GM2221021-1-CEN-F-EGG5	targets	685969.0	1.0	1558975314.0	701067408.0	2028247856.0	0.527026	0.472974	0.689799	2272.661467	0.359037	0.163876	1662.753918	9314482.0	5.602676	5.623847	5.652075	5.666188	5.683125	5.784744	685969.0	3137454505.0	30189938.0	30189938.0	4342097324.0	22684712.0	22638980.0	4288290578.0	3224310181.0	711566932.0	1.0	0.7514	0.997984	1037.316456	1032.0	2057.0	0.0	0.000346	0.248113	0.0	0.053581	0.014787	0.173702	0.343943	1.233432	0.9998	0.999777	0.999606	0.999133	0.998905	0.998778	0.998622	0.997949	6.155388	0.492565	0.401905	2.0			
X222843-GM2221022-1-CEN-M-EGG5	targets	685969.0	1.0	1575166258.0	707205214.0	2045126196.0	0.527411	0.472589	0.690145	2296.264493	0.359762	0.161478	1664.801678	8813958.0	5.886117	5.91856	5.936584	5.961818	5.981283	6.102403	685969.0	3137454505.0	30367702.0	30367702.0	4378358870.0	22562814.0	22525407.0	4327497668.0	3217162997.0	707009921.0	1.0	0.742987	0.998342	1030.673283	1052.0	2698.0	0.0	0.000384	0.256577	0.0	0.050641	0.01349	0.169636	0.346338	1.289954	0.999797	0.999778	0.999452	0.999245	0.999052	0.998974	0.998876	0.998191	6.961646	0.61299	0.386013	2.0			
