Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
CNV1-GM1901529-1-CEN-F-EGG5	targets	685969.0	1.0	2741711702.0	1463206957.0	3411485475.0	0.552087	0.447913	0.652025	3996.844904	0.355237	0.146078	1646.435618	11274367.0	5.319046	5.338812	5.348695	5.36846	5.38032	5.451476	685969.0	3137454505.0	52364584.0	52364584.0	7717976619.0	34753466.0	34641201.0	7616404134.0	5046320818.0	1127426804.0	1.0	0.663683	0.99677	1643.553577	1684.0	4393.0	0.0	0.000288	0.337441	0.0	0.044038	0.015283	0.110998	0.344249	1.185825	0.999937	0.999914	0.999573	0.999434	0.999252	0.999169	0.99909	0.998806	3.378528	0.683256	0.023848	0.0			
CNV2-GM2010324-1-CEN-F-EGG5	targets	685969.0	1.0	1723035954.0	931751315.0	2165393469.0	0.550765	0.449235	0.64903	2511.827727	0.352758	0.171236	1634.948075	10347602.0	5.345467	5.369222	5.381099	5.404853	5.414355	5.49987	685969.0	3137454505.0	33269896.0	33269896.0	4884464645.0	24634110.0	24568856.0	4820180738.0	3564127382.0	836398616.0	1.0	0.740432	0.997351	1219.295064	1242.0	3420.0	0.0	0.000346	0.260582	0.0	0.04725	0.016993	0.127984	0.373708	1.251843	0.999937	0.999735	0.999348	0.999274	0.99913	0.999035	0.998972	0.998663	3.347531	2.243701	0.199466	1.0			
CNV3-GM2109967-1-CEN-F-EGG5	targets	685969.0	1.0	1985880475.0	1032757698.0	2542052459.0	0.542853	0.457147	0.657873	2895.000321	0.353018	0.152507	1633.417933	9179810.0	5.322213	5.336394	5.355302	5.371847	5.393119	5.48388	685969.0	3137454505.0	38461226.0	38461226.0	5625431069.0	26549458.0	26500211.0	5560690632.0	3834050945.0	857917580.0	1.0	0.690292	0.998145	1250.665234	1278.0	2372.0	0.0	0.000346	0.310508	0.0	0.048641	0.012808	0.122537	0.351261	1.186589	0.9998	0.999783	0.999504	0.999434	0.999238	0.999189	0.999073	0.998797	2.980042	0.69769	0.134815	1.0			
CNV4-GM2102271-1-CEN-M-EGG5	targets	685969.0	1.0	1878784930.0	957318846.0	2452553292.0	0.536262	0.463738	0.662453	2738.877311	0.350506	0.171311	1624.817576	11676786.0	5.401658	5.420851	5.435779	5.45284	5.463076	5.544968	685969.0	3137454505.0	36757348.0	36757348.0	5360208424.0	27193363.0	27123581.0	5288657068.0	3908798011.0	918260954.0	1.0	0.739808	0.997434	1338.633311	1394.0	2498.0	0.0	0.000365	0.260909	0.0	0.049412	0.016941	0.136334	0.362816	1.266446	0.999799	0.999781	0.999531	0.999294	0.999131	0.999076	0.999047	0.998723	4.931608	0.802248	0.153543	1.0			
CNV5-GM1913243-1-CEN-F-EGG5	targets	685969.0	1.0	1359206946.0	703570631.0	1659889876.0	0.554113	0.445887	0.658921	1981.440774	0.36081	0.1772	1669.953161	8463343.0	5.002166	5.020269	5.038372	5.056475	5.074578	5.168713	685969.0	3137454505.0	25698094.0	25698094.0	3767098220.0	19104302.0	19068777.0	3722667453.0	2766388099.0	667528058.0	1.0	0.743413	0.99814	973.116946	994.0	2276.0	0.0	0.00048	0.25688	0.0	0.048114	0.016375	0.135083	0.364273	1.202864	0.99979	0.999768	0.999471	0.999166	0.999026	0.998926	0.998832	0.998096	3.194667	0.735868	0.467556	3.0			
CNV6-GM1911749-1-CEN-F-EGG5	targets	685969.0	1.0	2298822584.0	1205669300.0	2807610906.0	0.555202	0.444798	0.655965	3351.204769	0.360023	0.155766	1665.728973	10476277.0	5.074783	5.090648	5.109156	5.114444	5.130309	5.206459	685969.0	3137454505.0	43395794.0	43395794.0	6385208339.0	29334183.0	29279480.0	6312102790.0	4263576703.0	994600083.0	1.0	0.675968	0.998135	1449.91987	1491.0	3223.0	0.0	0.000288	0.324539	0.0	0.043226	0.0132	0.119206	0.342294	1.180717	0.999805	0.999777	0.999404	0.999328	0.999191	0.999106	0.999063	0.998742	1.891879	0.79416	0.047506	0.0			
CNV7-GM1903170-1-CEN-F-EGG5	targets	685969.0	1.0	1914096313.0	1041728279.0	2407821371.0	0.551085	0.448915	0.647568	2790.353956	0.352381	0.049233	1632.21224	2046086.0	9.524133	9.67064	9.809007	9.963653	10.134577	11.07222	685969.0	3137454505.0	36742982.0	36742982.0	5431900015.0	15613965.0	15553312.0	5363645963.0	2273045277.0	267426704.0	1.0	0.424951	0.996115	389.852463	395.0	872.0	0.0	0.000384	0.576213	0.0	0.029227	0.009828	0.065717	0.269186	1.104398	0.999796	0.999764	0.999468	0.999219	0.998974	0.998773	0.998617	0.997513	2.268145	0.441957	0.999689	35.0			
CNV8-GM2102497-1-CEN-M-EGG5	targets	685969.0	1.0	2033074092.0	1023463467.0	2575873651.0	0.542669	0.457331	0.665156	2963.79879	0.356616	0.167085	1650.941936	11475793.0	5.361019	5.374859	5.391006	5.409459	5.420531	5.498035	685969.0	3137454505.0	39159620.0	39159620.0	5701023224.0	28400284.0	28343551.0	5632411210.0	4081737229.0	952556628.0	1.0	0.725244	0.998002	1388.629265	1451.0	3448.0	0.0	0.000346	0.275313	0.0	0.047422	0.014378	0.136835	0.356975	1.247645	0.999966	0.999778	0.999513	0.999341	0.999201	0.999086	0.999048	0.998647	4.225977	0.843276	0.132219	1.0			
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2588318988.0	1310551791.0	3316472546.0	0.540358	0.459642	0.663864	3773.23026	0.354095	0.143787	1640.717253	10704373.0	5.833314	5.852077	5.870839	5.889602	5.900859	5.990919	685969.0	3137454505.0	50244104.0	50244104.0	7309676262.0	33587112.0	33504189.0	7215343325.0	4817529876.0	1051038448.0	1.0	0.668479	0.997531	1532.195257	1528.0	2893.0	0.0	0.000307	0.332321	0.0	0.045614	0.013576	0.121405	0.341454	1.268374	0.999863	0.999813	0.999574	0.999481	0.999407	0.999258	0.999195	0.998991	7.423817	0.409275	0.073214	0.0			
X222703-GM2218677-1-CEN-M-EGG5	targets	685969.0	1.0	1360982694.0	703561636.0	1789384762.0	0.535699	0.464301	0.659217	1984.029444	0.348993	0.167887	1615.183354	7871168.0	5.360094	5.38814	5.403721	5.434883	5.453581	5.565765	685969.0	3137454505.0	26643854.0	26643854.0	3899740564.0	19217598.0	19184161.0	3853929092.0	2778718988.0	654715683.0	1.0	0.721277	0.99826	954.43917	994.0	1651.0	0.0	0.000384	0.278991	0.0	0.050447	0.013666	0.128647	0.358409	1.259155	0.999962	0.999789	0.999456	0.999227	0.999086	0.999033	0.998964	0.99849	4.503274	0.849138	0.47721	3.0			
X222813-GM2220925-1-CEN-M-EGG5	targets	685969.0	1.0	1553438813.0	806418215.0	2015148802.0	0.539395	0.460605	0.658277	2264.590401	0.35066	0.168291	1624.009117	8907991.0	5.36953	5.390891	5.401572	5.422933	5.444294	5.538282	685969.0	3137454505.0	30170210.0	30170210.0	4430038402.0	21849836.0	21797980.0	4375005830.0	3166141248.0	745534360.0	1.0	0.724219	0.997627	1086.833895	1133.0	2713.0	0.0	0.000384	0.276312	0.0	0.049868	0.015219	0.127248	0.360984	1.259367	0.999902	0.999776	0.999396	0.999163	0.999083	0.999035	0.998968	0.998567	4.675925	0.829073	0.300381	2.0			
X222834-GM2221136-1-CEN-F-EGG5	targets	685969.0	1.0	987571248.0	494870267.0	1306077570.0	0.531623	0.468377	0.666179	1439.673291	0.34913	0.181599	1619.823754	7636588.0	5.721164	5.74806	5.774956	5.801852	5.828747	5.968606	685969.0	3137454505.0	19385110.0	19385110.0	2828666423.0	15397173.0	15357318.0	2788519085.0	2213409705.0	513683777.0	1.0	0.794278	0.997412	748.84401	731.0	1904.0	0.0	0.00048	0.206242	0.0	0.055952	0.018808	0.152092	0.382738	1.323046	0.99979	0.999768	0.999655	0.999338	0.999252	0.999189	0.998994	0.998344	7.43837	0.68763	0.848715	8.0			
X222836-GM2221104-1-CEN-M-EGG5	targets	685969.0	1.0	2028268262.0	1010839791.0	2628273254.0	0.536246	0.463754	0.667389	2956.79289	0.353553	0.163705	1636.876482	11219061.0	5.466592	5.487723	5.504159	5.515898	5.534212	5.613102	685969.0	3137454505.0	39370170.0	39370170.0	5736822095.0	28674533.0	28620106.0	5667381307.0	4128027796.0	939145895.0	1.0	0.728331	0.998102	1369.079208	1437.0	2672.0	0.0	0.000384	0.271616	0.0	0.045926	0.015113	0.141638	0.360044	1.241232	0.99994	0.999792	0.999534	0.999204	0.999076	0.999003	0.998929	0.998601	3.407922	0.859652	0.135796	1.0			
X222838-GM2221099-1-CEN-F-EGG5	targets	685969.0	1.0	1725196929.0	906298923.0	2242812358.0	0.539871	0.460129	0.655596	2514.977979	0.349421	0.164703	1618.820282	9591219.0	5.280014	5.298143	5.314257	5.3344	5.35132	5.438338	685969.0	3137454505.0	33709284.0	33709284.0	4937308472.0	24449792.0	24392296.0	4874308210.0	3531135398.0	813190076.0	1.0	0.725313	0.997648	1185.461844	1198.0	2517.0	0.0	0.000327	0.275562	0.0	0.048185	0.015387	0.126999	0.367076	1.212129	0.999866	0.999757	0.999494	0.999458	0.999294	0.999201	0.999133	0.99881	4.41126	0.554224	0.198706	1.0			
X222839-GM2221102-1-CEN-M-EGG5	targets	685969.0	1.0	1039541285.0	533978116.0	1374371979.0	0.533778	0.466222	0.660647	1515.434786	0.348365	0.190129	1612.884291	9019229.0	5.272305	5.286347	5.309751	5.328474	5.345324	5.446428	685969.0	3137454505.0	20408714.0	20408714.0	2984060163.0	16500277.0	16470975.0	2947891380.0	2382049570.0	567357653.0	1.0	0.808492	0.998224	827.089348	865.0	2084.0	0.0	0.000576	0.191948	0.0	0.049771	0.016604	0.151516	0.397744	1.25127	0.999783	0.999742	0.99929	0.999101	0.999012	0.998937	0.998834	0.998182	3.539185	0.939282	0.766995	6.0			
X222850-GM2221143-1-CEN-F-EGG5	targets	685969.0	1.0	3313606146.0	1591375423.0	4185115891.0	0.539596	0.460404	0.675559	4830.547949	0.358865	0.093837	1667.267539	6831340.0	13.707732	13.818864	13.9763	14.096692	14.235606	15.013526	685969.0	3137454505.0	62904644.0	62904644.0	9233575418.0	32749724.0	32600963.0	9090097460.0	4721693148.0	866448870.0	1.0	0.520625	0.995458	1263.102079	1028.0	3714.0	0.0	0.000192	0.480567	0.0	0.062711	0.01166	0.078017	0.271754	2.491326	0.999812	0.999797	0.999741	0.999689	0.999662	0.999605	0.999525	0.999074	24.429161	0.938809	0.484349	3.0			
X222851-GM2221500-1-CEN-M-EGG5	targets	685969.0	1.0	879139166.0	454498055.0	1147900257.0	0.537424	0.462576	0.659204	1281.601889	0.349965	0.196926	1620.353372	8288114.0	5.198474	5.221814	5.237374	5.256825	5.282499	5.385196	685969.0	3137454505.0	17136724.0	17136724.0	2512074574.0	13965151.0	13941482.0	2481537478.0	2021354457.0	494692273.0	1.0	0.814925	0.998305	721.158351	747.0	1519.0	0.0	0.000653	0.185443	0.0	0.052087	0.017128	0.148537	0.397501	1.267414	0.999777	0.999695	0.99929	0.999085	0.999004	0.998914	0.998822	0.998054	4.586753	0.829924	0.935541	12.0			
X222856-GM2221437-1-CEN-F-EGG5	targets	685969.0	1.0	1030559627.0	544729985.0	1381851690.0	0.532707	0.467293	0.654203	1502.341399	0.344097	0.18386	1593.947434	7988980.0	5.365653	5.379883	5.408344	5.422574	5.442497	5.556339	685969.0	3137454505.0	20360546.0	20360546.0	2994968900.0	16086270.0	16055171.0	2957141302.0	2334278828.0	550656291.0	1.0	0.790071	0.998067	802.742239	796.0	2106.0	0.0	0.000615	0.21063	0.0	0.056321	0.017844	0.136316	0.392718	1.260192	0.99978	0.999758	0.999516	0.999286	0.999102	0.999007	0.998904	0.998255	6.754697	0.46482	0.804152	7.0			
X222874-GM2221144-1-CEN-M-EGG5	targets	685969.0	1.0	2353449544.0	1223808303.0	3091012000.0	0.53646	0.46354	0.657892	3430.839504	0.348797	0.141538	1614.227244	9513313.0	5.660729	5.678145	5.689756	5.712978	5.726911	5.824443	685969.0	3137454505.0	45997512.0	45997512.0	6747339331.0	30518008.0	30456545.0	6668269847.0	4417558799.0	955007180.0	1.0	0.663471	0.997986	1392.201659	1463.0	4425.0	0.0	0.000307	0.337525	0.0	0.044481	0.012852	0.115902	0.346061	1.219091	0.999945	0.999784	0.99949	0.999356	0.999226	0.999154	0.999112	0.998915	3.597263	0.737088	0.122337	1.0			
X222877-GM2221245-1-CEN-M-EGG5	targets	685969.0	1.0	762621291.0	397650518.0	998833858.0	0.537385	0.462615	0.657278	1111.743083	0.348711	0.203688	1615.50377	8212193.0	5.181666	5.201705	5.221744	5.241783	5.253806	5.366025	685969.0	3137454505.0	14874850.0	14874850.0	2186970440.0	12337220.0	12313331.0	2159105667.0	1790343720.0	445458829.0	1.0	0.829401	0.998064	649.386239	673.0	1837.0	0.0	0.000692	0.170794	0.0	0.051687	0.019118	0.148651	0.403476	1.283372	0.999759	0.999602	0.999309	0.999073	0.998975	0.998828	0.998704	0.997803	4.952156	0.839306	0.984522	18.0			
