Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	1771329616.0	899737867.0	2523366979.0	0.514217	0.485783	0.663154	2582.229833	0.335986	0.149594	1559.674817	8641759.0	7.518626	7.55894	7.590295	7.626129	7.663755	7.846509	685969.0	3137454505.0	36066220.0	36066220.0	5272028893.0	25972527.0	25899822.0	5194434462.0	3739298572.0	788664132.0	1.0	0.720134	0.997201	1149.708124	1032.0	2894.0	0.0	0.000346	0.280134	0.0	0.057053	0.017717	0.11977	0.373537	1.579269	0.999966	0.999863	0.999729	0.999663	0.999567	0.999466	0.999396	0.999103	13.889367	0.83038	0.452149	3.0			
X224148-GM2301511-1-N2300358-CEN-F-EGG5	targets	685969.0	1.0	1907791731.0	974163562.0	2754196331.0	0.511334	0.488666	0.661978	2781.163188	0.333875	0.143074	1548.179246	8844212.0	6.028766	6.05809	6.077639	6.102075	6.122601	6.239894	685969.0	3137454505.0	39241656.0	39241656.0	5714096306.0	27692775.0	27612807.0	5636151624.0	3975804700.0	817539092.0	1.0	0.705698	0.997112	1191.801804	1176.0	2829.0	0.0	0.000269	0.294589	0.0	0.052618	0.016583	0.127118	0.364082	1.236309	0.99988	0.999792	0.999729	0.999636	0.999501	0.9993	0.999232	0.99877	6.394858	0.51293	0.212947	1.0			
X224216-GM2301834-1-N2300467-CEN-F-EGG5	targets	685969.0	1.0	1690331418.0	855620009.0	2408283545.0	0.513894	0.486106	0.663929	2464.151322	0.336918	0.170402	1560.515944	11689628.0	5.833521	5.857694	5.87381	5.893954	5.901206	5.98823	685969.0	3137454505.0	34634966.0	34634966.0	5017045007.0	26748284.0	26700532.0	4954234972.0	3826576469.0	854914855.0	1.0	0.772291	0.998215	1246.287886	1210.0	2973.0	0.0	0.000231	0.227615	0.0	0.053758	0.017831	0.141344	0.386933	1.300927	0.99985	0.999792	0.999698	0.999523	0.999423	0.999296	0.999197	0.998821	8.375447	0.586485	0.216839	1.0			
X224217-GM2301832-1-N2300428-CEN-F-EGG5	targets	685969.0	1.0	1598613088.0	815107236.0	2281942064.0	0.514032	0.485968	0.662303	2330.44509	0.335869	0.145756	1557.110551	7547099.0	6.475785	6.500135	6.532602	6.56101	6.597534	6.753372	685969.0	3137454505.0	32588448.0	32588448.0	4759626692.0	23153012.0	23100316.0	4695662388.0	3334933317.0	693746074.0	1.0	0.710467	0.997724	1011.337355	976.0	2302.0	0.0	0.000346	0.289784	0.0	0.054667	0.017692	0.125227	0.364929	1.341296	0.999898	0.999793	0.999729	0.999666	0.999598	0.999436	0.999217	0.998687	9.417508	0.525547	0.500269	3.0			
X224218-GM2301833-1-N2300430-CEN-M-EGG5	targets	685969.0	1.0	1272465305.0	648757670.0	1866221918.0	0.507261	0.492739	0.66232	1854.989518	0.330883	0.146708	1536.641558	6323454.0	6.297433	6.326787	6.359402	6.395278	6.424631	6.612493	685969.0	3137454505.0	26327522.0	26327522.0	3845667229.0	19068783.0	19009597.0	3787444893.0	2741642456.0	564192017.0	1.0	0.724291	0.996896	822.47451	828.0	2110.0	0.0	0.000365	0.276123	0.0	0.049868	0.019807	0.12938	0.3759	1.289145	0.999799	0.999774	0.999652	0.999531	0.999264	0.999185	0.998996	0.998414	7.076503	0.761808	0.740256	6.0			
X224219-GM2301865-1-N2300491-CEN-F-EGG5	targets	685969.0	1.0	1427298117.0	751437812.0	2209621888.0	0.496481	0.503519	0.655104	2080.703526	0.319326	0.123784	1487.598077	5354277.0	7.546222	7.594674	7.643125	7.703689	7.759409	8.050117	685969.0	3137454505.0	30580312.0	30580312.0	4469726118.0	20782016.0	20683991.0	4388357817.0	2982642330.0	553279869.0	1.0	0.679588	0.995283	806.56687	756.0	1959.0	0.0	0.000231	0.320328	0.0	0.063587	0.020762	0.105405	0.363874	1.390633	0.999809	0.999792	0.999726	0.999666	0.99958	0.999504	0.999396	0.999001	10.407181	0.566601	0.753243	6.0			
X224220-GM2301823-1-N2300489-CEN-F-EGG5	targets	685969.0	1.0	1929403259.0	1001360025.0	2842973858.0	0.507602	0.492398	0.658328	2812.668297	0.329477	0.12554	1528.40675	7090604.0	7.544596	7.576495	7.619026	7.656241	7.704088	7.908238	685969.0	3137454505.0	40146914.0	40146914.0	5855954428.0	26758436.0	26687508.0	5773737142.0	3844798274.0	735157508.0	1.0	0.666513	0.997349	1071.706605	1029.0	2869.0	0.0	0.000173	0.334088	0.0	0.05413	0.016349	0.110446	0.357696	1.434681	0.999929	0.999805	0.999738	0.99966	0.999554	0.999461	0.999341	0.999015	11.168095	0.527027	0.452805	3.0			
X224221-GM2301855-1-N1403604-CEN-F-EGG5	targets	685969.0	1.0	1807744306.0	933075637.0	2720453493.0	0.501865	0.498135	0.659563	2635.31487	0.32544	0.115061	1513.965673	5768197.0	9.375904	9.438608	9.511764	9.59537	9.670616	10.071926	685969.0	3137454505.0	37898504.0	37898504.0	5554773361.0	24347303.0	24244817.0	5461273436.0	3503659194.0	639136835.0	1.0	0.642434	0.995791	931.728453	784.0	2806.0	0.0	0.000211	0.358454	0.0	0.056935	0.01811	0.098175	0.35133	1.697137	0.99981	0.999792	0.999739	0.999692	0.999636	0.999535	0.999472	0.999268	14.440259	1.046226	0.634761	4.0			
X224225-GM2302063-1-N2300558-CEN-M-EGG5	targets	685969.0	1.0	1362279643.0	693115056.0	2076120390.0	0.497492	0.502508	0.662783	1985.920126	0.325024	0.156987	1508.099066	8223716.0	6.133705	6.154242	6.185046	6.205583	6.226119	6.357553	685969.0	3137454505.0	28623650.0	28623650.0	4191317349.0	21576098.0	21516844.0	4131515089.0	3113267431.0	657983143.0	1.0	0.753786	0.997254	959.202446	971.0	2613.0	0.0	0.000403	0.246459	0.0	0.060029	0.019288	0.134813	0.380194	1.290986	0.999614	0.999595	0.999471	0.999227	0.998987	0.998901	0.998845	0.998468	7.432843	0.59987	0.506303	3.0			
X224226-GM2302062-1-N1404331-CEN-F-EGG5	targets	685969.0	1.0	1544998703.0	802899989.0	2252744396.0	0.510341	0.489659	0.658035	2252.286478	0.331384	0.157028	1535.969259	8924087.0	5.880606	5.903706	5.926807	5.949907	5.973008	6.08389	685969.0	3137454505.0	32041004.0	32041004.0	4662259081.0	23846935.0	23795144.0	4600643088.0	3423433203.0	732105355.0	1.0	0.744263	0.997828	1067.257201	1073.0	1938.0	0.0	0.000269	0.255879	0.0	0.046499	0.018052	0.134318	0.386163	1.254121	0.999806	0.99978	0.99951	0.999257	0.999172	0.999092	0.999001	0.998421	6.471305	0.411398	0.361595	2.0			
