Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	1954101238.0	1073398178.0	2695927139.0	0.528966	0.471034	0.645451	2848.672809	0.337385	0.156955	1561.578759	9663568.0	7.029852	7.058875	7.087897	7.116919	7.145942	7.296858	685969.0	3137454505.0	39114006.0	39114006.0	5791911449.0	27621054.0	27570074.0	5723426555.0	4037591986.0	909067525.0	1.0	0.706168	0.998154	1325.231206	1245.0	3051.0	0.0	0.000173	0.29455	0.0	0.051869	0.012929	0.102406	0.379445	1.577656	0.999975	0.999797	0.999655	0.999617	0.99951	0.999303	0.999239	0.999106	14.297216	0.550957	0.327586	2.0			
X224328-GM2302554-1-N2202589-CEN-F-EGG5	targets	685969.0	1.0	2714919179.0	1475040733.0	4153558989.0	0.502181	0.497819	0.647958	3957.786983	0.321831	0.121206	1488.266132	9419739.0	6.248964	6.271837	6.287085	6.317583	6.326732	6.436522	685969.0	3137454505.0	57378136.0	57378136.0	8435853706.0	36537122.0	36473040.0	8343518901.0	5309415403.0	1022472853.0	1.0	0.636778	0.998246	1490.552566	1504.0	3446.0	0.0	0.000154	0.363648	0.0	0.044467	0.01029	0.10339	0.355695	1.200123	0.99984	0.999802	0.999676	0.999452	0.999382	0.999229	0.999179	0.99891	5.257331	0.460688	0.050875	0.0			
X224330-GM2302557-1-N2300747-CEN-F-EGG5	targets	685969.0	1.0	2228288302.0	1237410874.0	3518455987.0	0.496223	0.503777	0.642955	3248.380469	0.314885	0.117112	1459.252508	7440723.0	7.854405	7.893796	7.933187	7.972578	8.011969	8.216802	685969.0	3137454505.0	47804836.0	47804836.0	7076510830.0	30734373.0	30657979.0	6984155163.0	4484182802.0	828745891.0	1.0	0.642913	0.997514	1208.138984	1117.0	3835.0	0.0	0.000231	0.357949	0.0	0.050981	0.012588	0.091028	0.36883	1.445142	0.999742	0.999614	0.999516	0.999477	0.999449	0.999429	0.999334	0.999089	11.78625	0.553738	0.374486	2.0			
X224331-GM2302559-1-N2300659-CEN-F-EGG5	targets	685969.0	1.0	2512383075.0	1367167783.0	4011371040.0	0.491647	0.508353	0.647596	3662.531507	0.314419	0.1075	1456.233647	7436725.0	8.016284	8.062562	8.093414	8.131979	8.182886	8.38651	685969.0	3137454505.0	54204434.0	54204434.0	7990559741.0	33817272.0	33734736.0	7890921898.0	4918810942.0	858985086.0	1.0	0.623884	0.997559	1252.221436	1175.0	2697.0	0.0	0.000173	0.376649	0.0	0.045787	0.011223	0.095426	0.362092	1.394456	0.999987	0.999958	0.999679	0.999655	0.99962	0.999561	0.999488	0.999127	11.049048	0.568782	0.308794	2.0			
X224338-GM2302556-1-N2300655-CEN-F-EGG5	targets	685969.0	1.0	2307846356.0	1257868841.0	3562691246.0	0.500212	0.499788	0.647232	3364.35955	0.319874	0.134438	1480.769245	9681026.0	6.285531	6.304311	6.329352	6.341872	6.371921	6.477092	685969.0	3137454505.0	48951354.0	48951354.0	7214869208.0	33199402.0	33120792.0	7128406443.0	4829502808.0	969953667.0	1.0	0.678212	0.997632	1413.990526	1392.0	3143.0	0.0	0.000288	0.322499	0.0	0.047956	0.0126	0.108632	0.372282	1.257999	0.999805	0.999796	0.999669	0.999614	0.999402	0.999329	0.99927	0.998953	7.270057	0.476209	0.097921	0.0			
X224339-GM2302558-1-N2300742-CEN-F-EGG5	targets	685969.0	1.0	2199215092.0	1199477403.0	3517656135.0	0.4914	0.5086	0.647077	3205.997781	0.314352	0.129583	1454.33273	8870111.0	6.566124	6.593813	6.615349	6.639962	6.669497	6.787638	685969.0	3137454505.0	47485738.0	47485738.0	6996021187.0	32041170.0	31981561.0	6916348630.0	4662503654.0	906567010.0	1.0	0.674754	0.99814	1321.585975	1287.0	3037.0	0.0	0.000231	0.325872	0.0	0.053208	0.011086	0.105802	0.372993	1.273204	0.999405	0.999252	0.998977	0.998943	0.998892	0.998774	0.998595	0.998364	8.005293	0.549454	0.15292	1.0			
X224341-GM2302555-1-N2300662-CEN-F-EGG5	targets	685969.0	1.0	2046698180.0	1137612668.0	3298821273.0	0.491169	0.508831	0.642744	2983.659874	0.311756	0.119195	1443.915832	7251740.0	7.059071	7.086217	7.119394	7.149556	7.18213	7.355861	685969.0	3137454505.0	44467612.0	44467612.0	6565070591.0	29187865.0	29118856.0	6483132121.0	4249881189.0	782523908.0	1.0	0.656385	0.997636	1140.756955	1096.0	3305.0	0.0	0.000154	0.344471	0.0	0.049066	0.012683	0.098728	0.374387	1.293375	0.999958	0.99979	0.999739	0.999649	0.999631	0.999606	0.9995	0.999162	8.170295	0.521254	0.339556	2.0			
X224346-GM2302773-1-N2300526-CEN-F-EGG5	targets	685969.0	1.0	1879227290.0	1013030618.0	2870850076.0	0.501857	0.498143	0.649744	2739.52218	0.321564	0.128582	1491.404677	7181715.0	7.943772	7.990971	8.032926	8.069637	8.116836	8.343393	685969.0	3137454505.0	39652410.0	39652410.0	5844014329.0	26752746.0	26677718.0	5763107984.0	3885375659.0	751435922.0	1.0	0.674681	0.997196	1095.437144	993.0	3191.0	0.0	0.000192	0.325819	0.0	0.053404	0.014151	0.101006	0.375269	1.527806	0.999812	0.99979	0.999672	0.999647	0.999615	0.999516	0.999482	0.999109	13.53048	0.749712	0.492184	3.0			
X224347-GM2302772-1-N1406156-CEN-F-EGG5	targets	685969.0	1.0	1620173573.0	894591147.0	2515124174.0	0.499964	0.500036	0.644264	2361.875789	0.31789	0.137005	1473.248811	7060492.0	7.42249	7.449344	7.494101	7.529906	7.567501	7.782332	685969.0	3137454505.0	34657768.0	34657768.0	5096655196.0	24227597.0	24168713.0	5029888894.0	3513239312.0	698268344.0	1.0	0.699052	0.99757	1017.929883	928.0	2718.0	0.0	0.00025	0.301527	0.0	0.051764	0.014302	0.101615	0.392003	1.466758	0.999952	0.999867	0.999689	0.999649	0.999583	0.999443	0.999378	0.998947	12.176405	0.669597	0.553948	4.0			
X224348-GM2302704-1-N2300790-CEN-F-EGG5	targets	685969.0	1.0	2073434590.0	1119359027.0	3274621579.0	0.493674	0.506326	0.649411	3022.635994	0.316712	0.113726	1466.332782	6691346.0	7.384629	7.421571	7.458513	7.495455	7.532397	7.739271	685969.0	3137454505.0	44581736.0	44581736.0	6546741318.0	28443093.0	28383467.0	6467415196.0	4123841032.0	744537939.0	1.0	0.637999	0.997904	1085.38132	1042.0	2432.0	0.0	0.000134	0.362366	0.0	0.051806	0.012262	0.098361	0.36012	1.326872	0.99988	0.9998	0.9997	0.999652	0.999618	0.999509	0.999455	0.999127	9.16757	0.522437	0.426737	2.0			
