Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5_S48_L001	targets	685969.0	1.0	2183388319.0	1173838516.0	2757798254.0	0.549013	0.450987	0.650355	3182.925641	0.353626	0.074107	1633.073331	3622322.0	9.042707	9.131643	9.235401	9.331747	9.42513	9.958742	685969.0	3137454505.0	42329484.0	42329484.0	6174282939.0	21088161.0	21045884.0	6115025089.0	3033734252.0	457556373.0	1.0	0.498191	0.997995	667.02194	677.0	1381.0	0.0	0.000346	0.503889	0.0	0.037373	0.006791	0.078982	0.298171	1.350247	0.999799	0.999784	0.999697	0.999466	0.999332	0.999224	0.999159	0.998603	9.354629	0.313653	0.988764	19.0			
X223281-GM2223728-1-CEN-F-EGG5_S2_L001	targets	685969.0	1.0	2752212673.0	1467713899.0	3448275952.0	0.550315	0.449685	0.652194	4012.153134	0.355595	0.078891	1641.577395	4867846.0	7.291462	7.345838	7.38662	7.427403	7.47906	7.72919	685969.0	3137454505.0	53100034.0	53100034.0	7739735763.0	27270525.0	27223004.0	7668202524.0	3924357730.0	610598663.0	1.0	0.513569	0.998257	890.125739	914.0	1477.0	0.0	0.000192	0.48823	0.0	0.032091	0.006878	0.087544	0.305663	1.12817	0.999812	0.999802	0.999583	0.999418	0.999189	0.999076	0.99899	0.998609	2.40195	0.600169	0.787919	7.0			
X223345-GM2224960-1-CEN-F-EGG5_S5_L001	targets	685969.0	1.0	2551857317.0	1416039559.0	3211706041.0	0.552662	0.447338	0.643126	3720.076734	0.352091	0.120811	1625.656968	7653887.0	5.946129	5.966709	5.994149	6.018159	6.040797	6.164278	685969.0	3137454505.0	49251074.0	49251074.0	7247711921.0	29998081.0	29945278.0	7179602917.0	4360764407.0	875601473.0	1.0	0.609085	0.99824	1276.444669	1293.0	2917.0	0.0	0.000269	0.392618	0.0	0.037729	0.008253	0.095095	0.344382	1.189604	0.999978	0.999834	0.999491	0.999341	0.999255	0.999184	0.999118	0.998891	4.598007	0.482093	0.124727	1.0			
X223346-GM2224442-1-CEN-F-EGG5_S3_L001	targets	685969.0	1.0	2379249611.0	1295988359.0	3197954496.0	0.534721	0.465279	0.647373	3468.450631	0.342646	0.070968	1583.268054	3877315.0	9.448703	9.536239	9.623774	9.723814	9.813851	10.354068	685969.0	3137454505.0	47460354.0	47460354.0	6943758413.0	23303997.0	23250438.0	6873192466.0	3363313947.0	492784096.0	1.0	0.49102	0.997702	718.376626	727.0	1480.0	0.0	0.000288	0.510662	0.0	0.041156	0.007558	0.075399	0.293559	1.370948	0.999974	0.999792	0.999739	0.9997	0.999472	0.999375	0.999318	0.998789	9.544019	0.329245	0.929682	12.0			
X223748-GM2227168-1-CEN-F-EGG5_S6_L001	targets	685969.0	1.0	1305513935.0	767262324.0	2686092210.0	0.435561	0.564439	0.629838	1903.167541	0.270669	0.139414	1254.731375	8267018.0	7.447261	7.482753	7.506415	7.541907	7.572668	7.743032	685969.0	3137454505.0	32908528.0	32908528.0	4823285875.0	24958566.0	24915167.0	4758868469.0	3616442877.0	672433992.0	1.0	0.758422	0.998261	980.268776	941.0	3198.0	0.0	0.000211	0.240062	0.0	0.069478	0.012168	0.104221	0.432809	1.378718	0.999822	0.999796	0.999659	0.999541	0.999447	0.999296	0.999138	0.998882	7.319069	0.577581	0.551992	3.0			
X223801-GM2227421-1-CEN-F-EGG5_S7_L001	targets	685969.0	1.0	2096159282.0	1129847030.0	2706055340.0	0.543825	0.456175	0.649769	3055.763864	0.350152	0.098408	1616.186861	4889245.0	6.60938	6.646589	6.69	6.73031	6.776822	7.000079	685969.0	3137454505.0	40955478.0	40955478.0	5986426656.0	23072722.0	23039119.0	5932061652.0	3331716692.0	589111752.0	1.0	0.563361	0.998544	858.802296	876.0	1783.0	0.0	0.00025	0.438354	0.0	0.038856	0.007194	0.093005	0.323317	1.160544	0.999924	0.999786	0.99964	0.999436	0.999328	0.999264	0.99913	0.998647	3.701104	0.547035	0.823556	8.0			
X223820-GM2227503-1-CEN-M-EGG5_S8_L001	targets	685969.0	1.0	2260436162.0	1194728836.0	2908626226.0	0.542941	0.457059	0.654219	3295.245357	0.351927	0.122098	1624.610554	7049385.0	6.025624	6.052383	6.085088	6.11482	6.139795	6.282508	685969.0	3137454505.0	44133044.0	44133044.0	6423032434.0	27011795.0	26973517.0	6363791224.0	3886542067.0	784241357.0	1.0	0.612054	0.998583	1143.260639	1204.0	3098.0	0.0	0.000307	0.389273	0.0	0.04124	0.007533	0.104902	0.333855	1.211081	0.999911	0.999729	0.999487	0.999348	0.999233	0.999098	0.999004	0.998771	4.525131	0.631178	0.234341	1.0			
X224164-GM2301551-1-CEN-M-EGG5_S9_L001	targets	685969.0	1.0	2094542994.0	1181659786.0	3033801667.0	0.519208	0.480792	0.63932	3053.407653	0.328558	0.109085	1518.212495	5938802.0	7.135153	7.172214	7.215451	7.2556	7.294514	7.516879	685969.0	3137454505.0	43121090.0	43121090.0	6374952850.0	25986634.0	25936769.0	6310004447.0	3792473684.0	695410586.0	1.0	0.602643	0.998081	1013.763867	1027.0	1945.0	0.0	0.000269	0.398974	0.0	0.049361	0.009124	0.087097	0.345267	1.301366	0.999948	0.999786	0.999614	0.999548	0.999373	0.999271	0.999223	0.998736	8.214722	0.659206	0.451256	3.0			
X224291-GM2302175-1-CEN-F-EGG5_S10_L001	targets	685969.0	1.0	1632759584.0	937573353.0	2221038524.0	0.53645	0.46355	0.635233	2380.223573	0.337506	0.120673	1558.602424	5183193.0	5.93968	5.967033	6.003504	6.035417	6.076447	6.251508	685969.0	3137454505.0	32696924.0	32696924.0	4837715535.0	20477715.0	20442818.0	4791371461.0	2992726724.0	583779394.0	1.0	0.626289	0.998296	851.028828	871.0	1322.0	0.0	0.000346	0.375392	0.0	0.041278	0.008949	0.093313	0.359261	1.151595	0.999799	0.999754	0.999538	0.999343	0.999267	0.999115	0.999045	0.998602	2.593038	0.588348	0.862413	9.0			
X224382-GM2303000-1-CEN-F-EGG5_S11_L001	targets	685969.0	1.0	2196435677.0	1277666111.0	2946116003.0	0.541119	0.458881	0.632231	3201.945973	0.338874	0.066755	1564.738167	3368337.0	7.936401	8.009275	8.08215	8.155024	8.227898	8.655427	685969.0	3137454505.0	43820250.0	43820250.0	6481575868.0	20985372.0	20943019.0	6420217791.0	3062674836.0	432676805.0	1.0	0.478897	0.997982	630.752709	644.0	1208.0	0.0	0.000154	0.522964	0.0	0.031425	0.007144	0.068385	0.302717	1.112439	0.999802	0.999704	0.999474	0.999235	0.999006	0.998873	0.998751	0.998003	2.191801	0.572949	0.999469	33.0			
X224447-GM2302891-1-CEN-F-EGG5_S12_L001	targets	685969.0	1.0	2373113840.0	1398930898.0	3365469820.0	0.528482	0.471518	0.629132	3459.505954	0.329315	0.107999	1520.703384	6546088.0	6.297411	6.318717	6.354228	6.382636	6.408204	6.553088	685969.0	3137454505.0	48457644.0	48457644.0	7206218688.0	28904075.0	28849742.0	7137514558.0	4242903519.0	778263068.0	1.0	0.596481	0.99812	1134.545538	1167.0	3324.0	0.0	0.000211	0.405549	0.0	0.043665	0.009427	0.080598	0.35175	1.149489	0.99981	0.999797	0.999652	0.999458	0.999388	0.999259	0.999182	0.998896	2.593218	0.595518	0.199829	1.0			
X224448-GM2303392-1-CEN-M-EGG5_S13_L001	targets	685969.0	1.0	2224381674.0	1349333349.0	3182505579.0	0.528952	0.471048	0.622428	3242.685419	0.326235	0.086526	1505.83863	4685098.0	7.092251	7.137183	7.178371	7.227048	7.274228	7.52585	685969.0	3137454505.0	45806168.0	45806168.0	6818336886.0	24857766.0	24813226.0	6756220602.0	3651678267.0	589961344.0	1.0	0.542673	0.998208	860.040824	910.0	1604.0	0.0	0.000231	0.459509	0.0	0.038299	0.007895	0.06907	0.337931	1.139127	0.999981	0.99992	0.999475	0.999329	0.999192	0.999114	0.999055	0.99881	2.095187	0.750416	0.809237	7.0			
X224503-GM2303522-1-CEN-F-EGG5_S14_L001	targets	685969.0	1.0	2957478025.0	1722976572.0	3803433833.0	0.551687	0.448313	0.631878	4311.387286	0.345555	0.068619	1594.408221	4527728.0	7.722515	7.770471	7.818428	7.88237	7.933523	8.214868	685969.0	3137454505.0	57595362.0	57595362.0	8558627475.0	27475770.0	27425365.0	8483888430.0	4027120037.0	587288587.0	1.0	0.477048	0.998165	856.144501	876.0	1697.0	0.0	0.000211	0.525321	0.0	0.030639	0.006783	0.066865	0.301193	1.119143	0.999978	0.999894	0.999512	0.999364	0.999252	0.999121	0.999036	0.998538	2.03911	0.623244	0.907645	10.0			
X224557-GM2303597-1-CEN-M-EGG5_S16_L001	targets	685969.0	1.0	1951133620.0	1160518616.0	2670995948.0	0.538102	0.461898	0.627041	2844.34664	0.334419	0.106128	1543.238996	5099151.0	6.378411	6.413582	6.451684	6.492717	6.524371	6.735397	685969.0	3137454505.0	39165328.0	39165328.0	5834404478.0	22907199.0	22875761.0	5782648184.0	3370672942.0	619194800.0	1.0	0.584885	0.998628	902.657117	952.0	1617.0	0.0	0.000307	0.417106	0.0	0.037554	0.008429	0.077722	0.352137	1.164719	0.999977	0.999789	0.999418	0.99928	0.999185	0.999112	0.999064	0.998697	2.89141	0.691112	0.620291	4.0			
X224585-GM2303591-1-CEN-M-EGG5_S17_L001	targets	685969.0	1.0	2691685532.0	1512946451.0	3592253581.0	0.539271	0.460729	0.640171	3923.917162	0.342117	0.085791	1578.978103	5361282.0	6.924326	6.962446	6.996331	7.038686	7.074265	7.297902	685969.0	3137454505.0	53251702.0	53251702.0	7867741329.0	27574209.0	27526697.0	7796885564.0	4022394010.0	674985092.0	1.0	0.517809	0.998277	983.987749	1037.0	2994.0	0.0	0.000231	0.484102	0.0	0.041153	0.006799	0.076863	0.30454	1.154915	0.999862	0.999793	0.999573	0.999414	0.999257	0.999175	0.999114	0.998816	2.881919	0.765488	0.394283	2.0			
X224596-GM2303849-1-CEN-M-EGG5_S26_L001	targets	685969.0	1.0	1792945952.0	1036542080.0	2548875685.0	0.526087	0.473913	0.633664	2613.74195	0.330061	0.144225	1524.719578	7757193.0	5.876452	5.897586	5.92107	5.953946	5.968036	6.092027	685969.0	3137454505.0	36613228.0	36613228.0	5432166417.0	24957763.0	24922531.0	5378363717.0	3662539047.0	783453332.0	1.0	0.68166	0.998588	1142.111862	1172.0	2894.0	0.0	0.00025	0.319024	0.0	0.049755	0.010692	0.094524	0.380368	1.252316	0.999808	0.99979	0.999628	0.99944	0.99931	0.999192	0.999115	0.998889	6.227382	0.665857	0.261129	1.0			
X224597-GM2303675-1-CEN-F-EGG5_S23_L001	targets	685969.0	1.0	1841689488.0	1034589055.0	2335129969.0	0.55192	0.44808	0.640303	2684.799879	0.350358	0.100929	1616.345649	4298415.0	6.341802	6.390075	6.432985	6.470531	6.518804	6.763389	685969.0	3137454505.0	35440618.0	35440618.0	5256599390.0	19678444.0	19647233.0	5211408512.0	2881781207.0	530545063.0	1.0	0.555251	0.998414	773.424255	794.0	1725.0	0.0	0.000384	0.447025	0.0	0.04141	0.007242	0.082406	0.320142	1.159557	0.999797	0.999755	0.999491	0.999262	0.999141	0.999058	0.998991	0.998404	3.434528	0.541898	0.977883	17.0			
X224598-GM2303665-1-CEN-F-EGG5_S22_L001	targets	685969.0	1.0	2928098140.0	1545286552.0	3484219615.0	0.562152	0.437848	0.65456	4268.55753	0.364885	0.094794	1682.969463	6043622.0	6.562952	6.588253	6.617771	6.651505	6.691986	6.86403	685969.0	3137454505.0	54261316.0	54261316.0	8024720789.0	28704080.0	28657125.0	7957604307.0	4189181585.0	760691740.0	1.0	0.528997	0.998364	1108.930199	1138.0	3304.0	0.0	0.000269	0.473562	0.0	0.036861	0.006484	0.088126	0.299404	1.184754	0.999805	0.999762	0.999638	0.999309	0.999127	0.999012	0.998879	0.998535	4.455088	0.561855	0.265586	1.0			
X224599-GM2303672-1-CEN-F-EGG5_S21_L001	targets	685969.0	1.0	1820540530.0	1035750036.0	2253882883.0	0.558942	0.441058	0.637379	2653.969101	0.352886	0.115306	1629.437316	4955933.0	6.313092	6.343102	6.393117	6.433129	6.469141	6.697211	685969.0	3137454505.0	34701206.0	34701206.0	5158998664.0	20371434.0	20329662.0	5110173449.0	2988824055.0	594862811.0	1.0	0.587053	0.997949	867.186143	869.0	1878.0	0.0	0.000538	0.415123	0.0	0.041531	0.009133	0.082254	0.335577	1.24775	0.999786	0.999773	0.999475	0.999156	0.998959	0.998835	0.99874	0.998182	7.004606	0.4067	0.706599	5.0			
X224600-GM2303726-1-CEN-M-EGG5_S19_L001	targets	685969.0	1.0	2008594935.0	1099179671.0	2590756264.0	0.545364	0.454636	0.646313	2928.113275	0.349235	0.098098	1612.138706	4563382.0	6.809695	6.862697	6.90981	6.951034	7.004036	7.272579	685969.0	3137454505.0	38978088.0	38978088.0	5751421552.0	21372646.0	21336446.0	5698530870.0	3113916981.0	564201312.0	1.0	0.548325	0.998306	822.48806	865.0	2213.0	0.0	0.000269	0.453558	0.0	0.04172	0.007089	0.084653	0.314003	1.225765	0.999806	0.99978	0.999548	0.99927	0.999203	0.999114	0.999029	0.998363	5.41231	0.537403	0.810736	7.0			
X224601-GM2303728-1-CEN-M-EGG5_S20_L001	targets	685969.0	1.0	2667432288.0	1418114464.0	3360142431.0	0.548713	0.451287	0.652895	3888.560982	0.354991	0.092208	1638.556602	5550382.0	7.327839	7.376059	7.416242	7.472499	7.515898	7.747355	685969.0	3137454505.0	51092672.0	51092672.0	7514091984.0	27532698.0	27484442.0	7445689183.0	3995842196.0	692862048.0	1.0	0.538878	0.998247	1010.048629	1028.0	2594.0	0.0	0.000327	0.463335	0.0	0.039879	0.007012	0.086807	0.309944	1.264141	0.999975	0.999943	0.999558	0.999484	0.999324	0.99924	0.999079	0.998563	7.771923	0.428784	0.444361	3.0			
X224602-GM2303753-1-CEN-F-EGG5_S18_L001	targets	685969.0	1.0	2888472583.0	1636125820.0	3779865703.0	0.544839	0.455161	0.638393	4210.791717	0.344645	0.085672	1590.851291	5685567.0	6.991742	7.033126	7.065314	7.1021	7.146243	7.344886	685969.0	3137454505.0	56614794.0	56614794.0	8381019868.0	29614176.0	29557836.0	8304464106.0	4327059130.0	718018348.0	1.0	0.523082	0.998098	1046.721277	1059.0	1810.0	0.0	0.000231	0.478948	0.0	0.039397	0.007166	0.077883	0.310173	1.154048	0.999809	0.999796	0.999679	0.999585	0.999354	0.999224	0.999098	0.998803	3.485079	0.533528	0.342427	2.0			
X224603-GM2303930-1-CEN-F-EGG5_S27_L001	targets	685969.0	1.0	2561582931.0	1466091889.0	3426063047.0	0.540356	0.459644	0.635995	3734.254654	0.340355	0.124295	1571.836077	8315250.0	5.884009	5.904921	5.929318	5.946745	5.965565	6.082671	685969.0	3137454505.0	50765856.0	50765856.0	7526201411.0	31736424.0	31678954.0	7453737867.0	4647154367.0	935465872.0	1.0	0.625153	0.998189	1363.7145	1386.0	3745.0	0.0	0.000192	0.376534	0.0	0.048307	0.009342	0.089731	0.350613	1.180705	0.999985	0.999796	0.999716	0.999491	0.999395	0.999204	0.999137	0.998956	4.421639	0.443284	0.076152	0.0			
X224616-GM2304504-1-CEN-F-EGG5_S32_L001	targets	685969.0	1.0	3263327155.0	1709985430.0	4008680842.0	0.553698	0.446302	0.656168	4757.251647	0.360077	0.109726	1661.731411	8215466.0	7.212963	7.253008	7.275255	7.319749	7.346445	7.517303	685969.0	3137454505.0	61346926.0	61346926.0	9062856312.0	35136240.0	35078772.0	8981993427.0	5123706999.0	994429230.0	1.0	0.572747	0.998364	1449.670801	1452.0	4215.0	0.0	0.000173	0.429558	0.0	0.044134	0.007239	0.093555	0.314831	1.395256	0.999927	0.999882	0.999688	0.999493	0.999452	0.999396	0.99927	0.999016	11.108955	0.257354	0.167039	1.0			
X224630-GM2304498-1-CEN-F-EGG5_S33_L001	targets	685969.0	1.0	2754827382.0	1497731117.0	3598930857.0	0.541624	0.458376	0.647805	4015.964835	0.347573	0.066016	1604.77922	4024678.0	8.130029	8.189589	8.259076	8.3236	8.392094	8.749455	685969.0	3137454505.0	53629636.0	53629636.0	7925906890.0	25214281.0	25156040.0	7851489356.0	3677568221.0	523238412.0	1.0	0.470156	0.99769	762.772679	778.0	1435.0	0.0	0.000307	0.531609	0.0	0.034667	0.006696	0.073703	0.286712	1.148754	0.999771	0.999754	0.999596	0.999394	0.999278	0.999071	0.998917	0.998394	3.785226	0.503916	0.985559	18.0			
X224631-GM2304407-1-CEN-F-EGG5_S31_L001	targets	685969.0	1.0	2445442115.0	1381339382.0	3035259383.0	0.557674	0.442326	0.639034	3564.945522	0.353235	0.136211	1629.960326	8610762.0	5.510426	5.529087	5.55086	5.566411	5.586939	5.691446	685969.0	3137454505.0	46743420.0	46743420.0	6922986701.0	29747810.0	29707491.0	6862040880.0	4356413571.0	942990024.0	1.0	0.636406	0.998645	1374.683147	1405.0	2421.0	0.0	0.000288	0.365143	0.0	0.04036	0.008666	0.095839	0.352602	1.189172	0.999978	0.999872	0.99951	0.999431	0.999232	0.999128	0.999089	0.998899	4.397178	0.42088	0.081358	0.0			
X224633-GM2304371-1-CEN-F-EGG5_S30_L001	targets	685969.0	1.0	2412910826.0	1318296358.0	2998746494.0	0.554418	0.445582	0.646684	3517.521675	0.355273	0.135798	1639.842524	8411943.0	5.667895	5.686112	5.710401	5.731654	5.751693	5.860993	685969.0	3137454505.0	45941014.0	45941014.0	6791700308.0	29093391.0	29046667.0	6729953678.0	4250448407.0	922296171.0	1.0	0.633277	0.998394	1344.515818	1364.0	3781.0	0.0	0.000307	0.368428	0.0	0.044693	0.008753	0.099269	0.341845	1.22563	0.999803	0.999777	0.999703	0.999491	0.999383	0.999232	0.999171	0.998899	5.796705	0.410716	0.115422	1.0			
X224642-GM2303934-1-N2301412-CEN-F-EGG5_S24_L001	targets	685969.0	1.0	2783344399.0	1580016610.0	3594114777.0	0.548335	0.451665	0.63789	4057.536709	0.346696	0.111002	1599.795861	7470180.0	6.427715	6.463236	6.490863	6.510597	6.541382	6.683466	685969.0	3137454505.0	54190118.0	54190118.0	8028191072.0	31876554.0	31832544.0	7957475786.0	4663556220.0	891141451.0	1.0	0.588236	0.998619	1299.098722	1327.0	3942.0	0.0	0.000211	0.41394	0.0	0.039952	0.007926	0.086347	0.339877	1.22441	0.999966	0.999789	0.999682	0.999538	0.999447	0.999388	0.999364	0.999035	6.047818	0.359232	0.141496	1.0			
X224643-GM2303933-1-N2301470-CEN-F-EGG5_S25_L001	targets	685969.0	1.0	1823035983.0	1037564108.0	2399915763.0	0.543787	0.456213	0.637291	2657.606952	0.343106	0.144004	1585.038642	7496709.0	5.677007	5.70485	5.728053	5.746616	5.780028	5.902541	685969.0	3137454505.0	35900194.0	35900194.0	5313332239.0	24124904.0	24085443.0	5260515854.0	3528137052.0	765142869.0	1.0	0.671999	0.998364	1115.419019	1122.0	1946.0	0.0	0.000346	0.329317	0.0	0.046644	0.010814	0.099353	0.368452	1.227084	0.999618	0.999595	0.999474	0.999283	0.999179	0.999115	0.999058	0.998743	5.925201	0.402322	0.289434	1.0			
X224644-GM2304204-1-N2301534-CEN-F-EGG5_S28_L001	targets	685969.0	1.0	1972330423.0	1171672392.0	2550125059.0	0.552148	0.447852	0.627331	2875.247166	0.343056	0.147516	1584.256162	8248573.0	5.306759	5.329223	5.339207	5.359175	5.377146	5.484973	685969.0	3137454505.0	38681684.0	38681684.0	5749287491.0	25876554.0	25830412.0	5694127874.0	3801330275.0	848111107.0	1.0	0.668961	0.998217	1236.369438	1268.0	2828.0	0.0	0.000346	0.332412	0.0	0.04249	0.011318	0.090748	0.374115	1.179742	0.99992	0.999784	0.999499	0.999408	0.999297	0.99922	0.999171	0.998943	3.322783	0.469222	0.138875	1.0			
X224650-GM2304599-1-N2301758-CEN-F-EGG5_S35_L001	targets	685969.0	1.0	2443741264.0	1253282688.0	3059498234.0	0.547179	0.452821	0.661002	3562.466036	0.358207	0.06553	1654.264547	3369250.0	10.627057	10.753563	10.880068	11.031875	11.163441	11.973076	685969.0	3137454505.0	46055774.0	46055774.0	6822138853.0	20776358.0	20720206.0	6756522186.0	3032139027.0	447058069.0	1.0	0.451113	0.997297	651.717598	633.0	1729.0	0.0	0.000211	0.551228	0.0	0.042597	0.006543	0.071308	0.262183	1.548023	0.999984	0.999789	0.999689	0.999638	0.999532	0.999348	0.999299	0.998535	13.540116	0.338128	0.913229	11.0			
X224653-GM2304597-1-CEN-F-EGG5_S34_L001	targets	685969.0	1.0	1952731537.0	1072994201.0	2528843880.0	0.544727	0.455273	0.645376	2846.67607	0.348153	0.102349	1607.922355	4699655.0	6.486432	6.520112	6.570632	6.604312	6.651465	6.893961	685969.0	3137454505.0	37946948.0	37946948.0	5608832879.0	21219764.0	21174196.0	5554569618.0	3096536118.0	574060798.0	1.0	0.559196	0.997853	836.861138	852.0	3002.0	0.0	0.000346	0.442525	0.0	0.041103	0.008164	0.086409	0.31848	1.19381	0.9998	0.999776	0.999679	0.999427	0.999313	0.999246	0.999102	0.99865	5.017194	0.426252	0.824427	8.0			
X224662-GM2304718-1-N2301759-CEN-F-EGG5_S36_L001	targets	685969.0	1.0	1973593189.0	1012762965.0	2487219671.0	0.545595	0.454405	0.66087	2877.088016	0.356163	0.053449	1649.147293	2100301.0	38.596567	41.351284	44.816896	49.259988	55.12487	-1.0	685969.0	3137454505.0	37181426.0	37181426.0	5541257232.0	14672710.0	14610823.0	5473575825.0	2160942094.0	296175711.0	1.0	0.394625	0.995782	431.76253	227.0	2152.0	0.0	0.000231	0.605205	0.0	0.054309	0.00675	0.043465	0.236178	4.962788	0.999809	0.999796	0.999684	0.999574	0.99891	0.995745	0.983464	0.742136	31.294092	2.933131	0.855281	8.0			
