Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5_S48_L001	targets	685969.0	1.0	2244371151.0	1165319548.0	2846307987.0	0.545027	0.454973	0.658233	3271.825915	0.35471	0.145193	1640.857914	9129107.0	6.596249	6.62056	6.650275	6.677288	6.706462	6.849091	685969.0	3137454505.0	43411410.0	43411410.0	6327346335.0	28579633.0	28529097.0	6255998686.0	4117689455.0	918687908.0	1.0	0.658344	0.998232	1339.255721	1297.0	2842.0	0.0	0.000231	0.341801	0.0	0.049036	0.010651	0.110594	0.341104	1.465269	0.999845	0.999793	0.999736	0.999662	0.999529	0.999357	0.999257	0.99906	12.340716	0.374691	0.265968	1.0			
X222937-GM2222280-1-CEN-F-EGG5_S45_L001	targets	685969.0	1.0	2006140608.0	1038009626.0	2591844057.0	0.540127	0.459873	0.659015	2924.535377	0.352068	0.148878	1628.035129	8869184.0	5.411195	5.425574	5.444745	5.468709	5.483088	5.586613	685969.0	3137454505.0	39323110.0	39323110.0	5698167583.0	26481531.0	26428158.0	5635994291.0	3794068195.0	848329569.0	1.0	0.673434	0.997985	1236.68791	1252.0	3045.0	0.0	0.000403	0.326815	0.0	0.053015	0.010707	0.119161	0.339819	1.205349	0.999608	0.999506	0.999334	0.999211	0.999137	0.999029	0.998969	0.998586	4.679214	0.485848	0.161136	1.0			
X222948-GM2222295-1-CEN-F-EGG5_S44_L001	targets	685969.0	1.0	1739838494.0	923049624.0	1998987066.0	0.571205	0.428795	0.653365	2536.322332	0.369216	0.170272	1706.951734	8933610.0	5.417268	5.440594	5.456144	5.475582	5.501241	5.603873	685969.0	3137454505.0	32337060.0	32337060.0	4712251522.0	22830872.0	22791339.0	4661875184.0	3290459232.0	802364074.0	1.0	0.706028	0.998268	1169.679787	1130.0	3022.0	0.0	0.000403	0.294177	0.0	0.041724	0.0125	0.118314	0.361209	1.315725	0.999726	0.999609	0.999517	0.999328	0.999124	0.99907	0.998958	0.998382	8.33808	0.58193	0.309196	2.0			
X222949-GM2222305-1-CEN-F-EGG5_S46_L001	targets	685969.0	1.0	1690756281.0	891417934.0	2105271776.0	0.55087	0.44913	0.65478	2464.770684	0.356799	0.146711	1649.748264	7000305.0	5.413493	5.43784	5.462187	5.486533	5.506011	5.632614	685969.0	3137454505.0	32524052.0	32524052.0	4738682576.0	21586689.0	21550538.0	4687445991.0	3109743412.0	695218239.0	1.0	0.663715	0.998325	1013.483465	1025.0	2065.0	0.0	0.000403	0.33658	0.0	0.041093	0.010837	0.115666	0.347545	1.205093	0.999882	0.999774	0.999631	0.999421	0.999163	0.999115	0.999076	0.99873	4.894057	0.460446	0.421549	2.0			
X222950-GM2222308-1-CEN-F-EGG5_S47_L001	targets	685969.0	1.0	2283626055.0	1185309590.0	2808711369.0	0.552585	0.447415	0.658307	3329.051393	0.359903	0.131285	1663.799711	7803257.0	5.637082	5.662755	5.682722	5.705542	5.72608	5.849309	685969.0	3137454505.0	43740690.0	43740690.0	6345120814.0	27511947.0	27465811.0	6277647014.0	3945241430.0	833016613.0	1.0	0.628978	0.998323	1214.364808	1232.0	2487.0	0.0	0.000269	0.371541	0.0	0.039422	0.010121	0.112117	0.33414	1.185903	0.999942	0.999786	0.999636	0.999487	0.999439	0.999312	0.999211	0.998914	4.533765	0.435827	0.162983	1.0			
X222954-GM2222249-1-CEN-M-EGG5_S42_L001	targets	685969.0	1.0	2055647610.0	1082806479.0	2694409666.0	0.538064	0.461936	0.654987	2996.70628	0.348692	0.138751	1611.906263	7998214.0	5.763737	5.78687	5.810004	5.833137	5.853187	5.976565	685969.0	3137454505.0	40380276.0	40380276.0	5895304324.0	26497430.0	26454996.0	5832863755.0	3824241669.0	817980956.0	1.0	0.656197	0.998399	1192.44595	1241.0	3547.0	0.0	0.00025	0.344363	0.0	0.045821	0.010209	0.111921	0.347487	1.22806	0.999961	0.999793	0.999576	0.999437	0.999273	0.999128	0.99909	0.998826	4.980101	0.692183	0.209167	1.0			
X222955-GM2222251-1-CEN-F-EGG5_S43_L001	targets	685969.0	1.0	2921130255.0	1521131496.0	3722356943.0	0.544087	0.455913	0.657577	4258.399804	0.353903	0.130839	1636.394319	10145723.0	5.678575	5.700743	5.711826	5.733994	5.747294	5.835964	685969.0	3137454505.0	56734618.0	56734618.0	8254045511.0	35924902.0	35853774.0	8164618694.0	5163189198.0	1079947960.0	1.0	0.63321	0.99802	1574.339307	1601.0	3328.0	0.0	0.000288	0.367614	0.0	0.046291	0.009855	0.110628	0.333378	1.184604	0.999862	0.999784	0.999564	0.999459	0.999363	0.999312	0.999204	0.999023	4.319573	0.461495	0.028439	0.0			
X222956-GM2222246-1-CEN-F-EGG5_S41_L001	targets	685969.0	1.0	1531934636.0	800551471.0	1966004102.0	0.542629	0.457371	0.656782	2233.241788	0.352669	0.144178	1630.036168	6361625.0	5.509184	5.531618	5.55779	5.587702	5.614623	5.758199	685969.0	3137454505.0	29886468.0	29886468.0	4343832241.0	20004351.0	19977048.0	4298490209.0	2875787631.0	626286148.0	1.0	0.669345	0.998635	912.994826	924.0	1918.0	0.0	0.000423	0.330977	0.0	0.049331	0.01025	0.117621	0.346161	1.193457	0.999771	0.999695	0.999465	0.999268	0.999134	0.999016	0.998968	0.998593	4.657571	0.48824	0.656603	5.0			
X222957-GM2222195-1-CEN-F-EGG5_S40_L001	targets	685969.0	1.0	2374926198.0	1232390881.0	3010992341.0	0.545051	0.454949	0.658364	3462.147995	0.35505	0.13482	1641.254758	8545754.0	5.926574	5.952966	5.979358	5.996952	6.028622	6.141227	685969.0	3137454505.0	45919514.0	45919514.0	6688998008.0	29077432.0	29028686.0	6618309420.0	4187708034.0	901807481.0	1.0	0.633226	0.998324	1314.647573	1291.0	3479.0	0.0	0.00025	0.367254	0.0	0.048622	0.009936	0.109472	0.328492	1.27265	0.999808	0.99979	0.999733	0.999617	0.999417	0.999331	0.999189	0.999004	7.957635	0.391451	0.157097	1.0			
X222958-GM2222171-1-CEN-F-EGG5_S39_L001	targets	685969.0	1.0	2299874635.0	1191695916.0	2948062804.0	0.5422	0.4578	0.658693	3352.73844	0.353572	0.142729	1633.48808	9199457.0	5.505275	5.522027	5.544363	5.563908	5.582335	5.676149	685969.0	3137454505.0	44691618.0	44691618.0	6504684278.0	29285387.0	29240349.0	6439633355.0	4216582842.0	928409971.0	1.0	0.655277	0.998462	1353.428465	1368.0	3578.0	0.0	0.000365	0.345214	0.0	0.046314	0.009134	0.117309	0.337894	1.208418	0.999799	0.999784	0.999528	0.999322	0.999188	0.999087	0.999063	0.998866	5.103659	0.473095	0.101148	0.0			
