Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5_S47_L001	targets	685969.0	1.0	3169078591.0	1427038298.0	3395553289.0	0.575113	0.424887	0.689512	4619.856861	0.393057	0.086257	1813.712328	5501346.0	7.264602	7.316717	7.360146	7.407918	7.457427	7.718001	685969.0	3137454505.0	56307814.0	56307814.0	8062638677.0	27084847.0	27028465.0	7991670178.0	3835092914.0	695460912.0	1.0	0.481014	0.997918	1013.837232	1028.0	2130.0	0.0	0.000423	0.520114	0.0	0.043745	0.005023	0.09758	0.24655	1.309867	0.999794	0.999771	0.999554	0.999382	0.999214	0.999077	0.998968	0.998291	9.265463	0.208812	0.451186	3.0			
X224665-GM2304717-1-N2301763-CEN-F-EGG5_S1_L001	targets	685969.0	1.0	2006921317.0	1025894849.0	2667377727.0	0.532055	0.467945	0.661735	2925.673488	0.348575	0.170121	1610.32548	12077944.0	5.348572	5.362328	5.371498	5.38984	5.400845	5.477878	685969.0	3137454505.0	39606734.0	39606734.0	5757499101.0	28865994.0	28826515.0	5700193893.0	4152429542.0	979473157.0	1.0	0.728815	0.998632	1427.867961	1419.0	2897.0	0.0	0.000442	0.271528	0.0	0.049433	0.009783	0.136946	0.36052	1.258033	0.999793	0.999778	0.999471	0.999325	0.999208	0.999128	0.999017	0.998735	6.78723	0.438227	0.101118	0.0			
X224725-GM2304915-1-N2301873-CEN-F-EGG5_S4_L001	targets	685969.0	1.0	1977792795.0	1029386008.0	2517152154.0	0.544352	0.455648	0.65769	2883.210167	0.354426	0.17252	1637.472627	11694650.0	5.115225	5.128571	5.146366	5.155263	5.171278	5.23534	685969.0	3137454505.0	38278260.0	38278260.0	5580273173.0	27686869.0	27643925.0	5524330957.0	3993010837.0	962708612.0	1.0	0.723305	0.998449	1403.428744	1417.0	2684.0	0.0	0.000288	0.277196	0.0	0.045659	0.01056	0.132046	0.360313	1.229999	0.999787	0.999657	0.999417	0.999219	0.999111	0.99906	0.998998	0.998694	5.196254	0.491489	0.093199	0.0			
X224726-GM2304929-1-N2301837-CEN-F-EGG5_S3_L001	targets	685969.0	1.0	1912334881.0	1028333686.0	2515875898.0	0.538925	0.461075	0.650306	2787.786155	0.346956	0.172237	1602.947119	11545779.0	5.346277	5.359524	5.37277	5.386017	5.399264	5.473445	685969.0	3137454505.0	37667604.0	37667604.0	5511745301.0	27527158.0	27490790.0	5456544465.0	3984944058.0	949327786.0	1.0	0.730791	0.998679	1383.922285	1373.0	2965.0	0.0	0.000403	0.269695	0.0	0.046378	0.011043	0.124095	0.37485	1.269653	0.999794	0.999761	0.999481	0.999249	0.999147	0.999067	0.999029	0.998631	7.246123	0.475822	0.124825	1.0			
X224728-GM2304888-1-N2301893-CEN-F-EGG5_S2_L001	targets	685969.0	1.0	2892287492.0	1522086684.0	3977737883.0	0.526015	0.473985	0.655198	4216.35306	0.341079	0.147024	1576.315451	12840244.0	6.260365	6.271076	6.299639	6.31392	6.322489	6.408177	685969.0	3137454505.0	57995682.0	57995682.0	8479818736.0	39320783.0	39253398.0	8392112059.0	5683441281.0	1246739097.0	1.0	0.677995	0.998286	1817.486063	1730.0	4367.0	0.0	0.000269	0.322764	0.0	0.058988	0.009629	0.112105	0.347989	1.36962	0.999624	0.999611	0.999516	0.999449	0.99937	0.999185	0.999144	0.998939	10.797578	0.444994	0.04096	0.0			
X224772-GM2305030-1-N2301894-CEN-F-EGG5_S8_L001	targets	685969.0	1.0	1718855646.0	903270968.0	2180582802.0	0.545968	0.454032	0.65552	2505.733708	0.354403	0.175999	1636.914672	10393424.0	5.479642	5.491408	5.511018	5.526706	5.545531	5.630246	685969.0	3137454505.0	33192634.0	33192634.0	4850004347.0	24558372.0	24521753.0	4802709416.0	3549402012.0	853594199.0	1.0	0.739874	0.998509	1244.362645	1238.0	2490.0	0.0	0.000346	0.260958	0.0	0.048267	0.0109	0.127384	0.374798	1.312619	0.999971	0.999745	0.999475	0.999375	0.999213	0.999117	0.999052	0.998703	8.317159	0.398371	0.231572	1.0			
X224773-GM2305029-1-N2301916-CEN-F-EGG5_S7_L001	targets	685969.0	1.0	2099945428.0	1080962561.0	2615849951.0	0.548739	0.451261	0.660172	3061.283277	0.358837	0.16857	1656.898064	11387891.0	5.288982	5.303281	5.315197	5.331879	5.341888	5.421963	685969.0	3137454505.0	40150552.0	40150552.0	5852094582.0	28714709.0	28679460.0	5796757940.0	4142383066.0	986488805.0	1.0	0.715176	0.998772	1438.095315	1452.0	2588.0	0.0	0.000269	0.285397	0.0	0.045427	0.010372	0.130639	0.358027	1.255978	0.999863	0.999767	0.999481	0.999292	0.999131	0.999054	0.999016	0.998745	6.277547	0.43072	0.098629	0.0			
X224774-GM2305028-1-N2301918-CEN-F-EGG5_S6_L001	targets	685969.0	1.0	2572459451.0	1389771919.0	3354293241.0	0.541546	0.458454	0.649245	3750.110356	0.348218	0.156168	1608.113313	12280827.0	5.244892	5.263087	5.275218	5.290381	5.303117	5.368622	685969.0	3137454505.0	50524380.0	50524380.0	7387504998.0	34287707.0	34241536.0	7316524611.0	4961126579.0	1153690408.0	1.0	0.678637	0.998653	1681.840445	1708.0	3001.0	0.0	0.000327	0.321929	0.0	0.045991	0.009645	0.113496	0.351292	1.217842	0.999975	0.999959	0.999504	0.999265	0.999217	0.999159	0.999083	0.998797	4.767433	0.526193	0.02994	0.0			
X224775-GM2305027-1-N2301924-CEN-F-EGG5_S5_L001	targets	685969.0	1.0	2358101905.0	1233786039.0	3098938359.0	0.536838	0.463162	0.656508	3437.621678	0.348618	0.140918	1611.965568	9263647.0	7.248144	7.283243	7.318342	7.353441	7.374501	7.542976	685969.0	3137454505.0	46246284.0	46246284.0	6764133338.0	30363729.0	30302437.0	6690826303.0	4385332821.0	953188376.0	1.0	0.656566	0.997981	1389.550222	1318.0	3074.0	0.0	0.00025	0.344575	0.0	0.057124	0.010183	0.106376	0.339315	1.570113	0.999974	0.99981	0.999723	0.999625	0.999459	0.999389	0.999321	0.999006	13.864134	0.550778	0.280119	1.0			
X224798-GM2305396-1-N2301969-CEN-F-EGG5_S11_L001	targets	685969.0	1.0	2198646925.0	1142977601.0	2615962266.0	0.560902	0.439098	0.657958	3205.169512	0.365589	0.170722	1687.944108	11671146.0	5.133513	5.148161	5.162809	5.177458	5.192106	5.262418	685969.0	3137454505.0	41342704.0	41342704.0	6013986239.0	29133607.0	29097577.0	5957586792.0	4197490045.0	1026721286.0	1.0	0.704686	0.998763	1496.745897	1503.0	3765.0	0.0	0.000423	0.295438	0.0	0.047057	0.009374	0.12488	0.35095	1.252507	0.999612	0.999593	0.999316	0.999195	0.999103	0.998994	0.998876	0.998522	6.331931	0.471229	0.075442	0.0			
X224799-GM2305312-1-N2302017-CEN-F-EGG5_S9_L001	targets	685969.0	1.0	2012700805.0	1029870925.0	2400564899.0	0.558974	0.441026	0.661513	2934.098779	0.366117	0.176656	1691.231005	11780963.0	5.086133	5.099321	5.11031	5.13229	5.145478	5.208779	685969.0	3137454505.0	37923734.0	37923734.0	5497420623.0	27402042.0	27362643.0	5443136629.0	3932676171.0	971153076.0	1.0	0.722557	0.998562	1415.739014	1426.0	3621.0	0.0	0.000384	0.277498	0.0	0.046164	0.010747	0.133957	0.353258	1.252866	0.999797	0.999773	0.999545	0.999296	0.999153	0.999071	0.998994	0.998513	6.06537	0.450739	0.102421	0.0			
X224800-GM2305311-1-N2301857-CEN-F-EGG5_S10_L001	targets	685969.0	1.0	2482789724.0	1281481883.0	2891090491.0	0.5656	0.4344	0.659567	3619.390561	0.369374	0.159707	1706.244237	11241554.0	5.396863	5.41365	5.430437	5.447224	5.464011	5.544589	685969.0	3137454505.0	46202326.0	46202326.0	6721623590.0	31202787.0	31156267.0	6655362098.0	4493346700.0	1073493502.0	1.0	0.675351	0.998509	1564.930051	1534.0	4085.0	0.0	0.000384	0.324853	0.0	0.041978	0.009485	0.120392	0.342033	1.286949	0.999614	0.999599	0.999466	0.999306	0.999173	0.999087	0.99899	0.998786	8.376022	0.350401	0.06943	0.0			
X224833-GM2305539-1-N2302034-CEN-F-EGG5_S17_L001	targets	685969.0	1.0	2081398027.0	1094339254.0	2731326212.0	0.537617	0.462383	0.655406	3034.245027	0.348877	0.155669	1611.596987	10008996.0	5.482063	5.50415	5.518875	5.533599	5.554214	5.636672	685969.0	3137454505.0	40978820.0	40978820.0	5965988260.0	28030661.0	27992385.0	5907063493.0	4041462633.0	928720955.0	1.0	0.684028	0.998634	1353.881815	1342.0	3612.0	0.0	0.000423	0.315825	0.0	0.046992	0.009665	0.119584	0.350749	1.25592	0.999119	0.999111	0.998883	0.998786	0.998672	0.998429	0.998175	0.997721	7.107325	0.480159	0.128173	1.0			
X224834-GM2305494-1-N2301994-CEN-F-EGG5_S15_L001	targets	685969.0	1.0	2726877247.0	1399487548.0	3275166458.0	0.557502	0.442498	0.660843	3975.219357	0.365003	0.152872	1685.066164	11561065.0	5.438416	5.457282	5.473004	5.485582	5.500675	5.583688	685969.0	3137454505.0	51424536.0	51424536.0	7470835076.0	34010814.0	33965321.0	7401531253.0	4892232665.0	1142080365.0	1.0	0.661373	0.998662	1664.915419	1669.0	3671.0	0.0	0.000307	0.339024	0.0	0.046436	0.008648	0.117759	0.333866	1.267059	0.99984	0.999776	0.999554	0.999453	0.99929	0.99916	0.999082	0.998921	7.111148	0.34375	0.046347	0.0			
